Cell_Line,group1,group2,Description,Project_id,Disease,Origin,Stage,Primary.Metastatic,Age.at.diagnosis..months.,MYCN.amplification,Laterality.of.tumour,RB1.mutation.allele.1...allele.2,DSMZ_Cell_line_norm,PATHS,LIBRARY,PATH_CELL_LINE,PATH_alt_id,sample_name,organ,tcga_codes
KELLY,Nb1,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,brain,NONE,NONE,12,Yes,NONE,NONE,KELLY,./NG-A0611/2024-01-12/NG-A0611_KELLY_libLAB6075_1.fastq.gz,libLAB6075,KELLY,NONE,NG-A0611_KELLY_libLAB6075,Adrenal/SNS,ACC;PCPG
LAN-1,Nb1,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,bone marrow,NONE,NONE,24,Yes,NONE,NONE,LAN1,./NG-A0611/2024-01-12/NG-A0611_LAN1_libLAB6085_1.fastq.gz,libLAB6085,LAN1,NONE,NG-A0611_LAN1_libLAB6085,Adrenal/SNS,ACC;PCPG
LAN-2,Nb2,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,primary tumour,NONE,NONE,36,Yes,NONE,NONE,LAN2,./NG-A0611/2024-01-12/NG-A0611_LAN2_libLAB6083_1.fastq.gz,libLAB6083,LAN2,NONE,NG-A0611_LAN2_libLAB6083,Adrenal/SNS,ACC;PCPG
LAN-5,Nb1,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,bone marrow,NONE,NONE,4,Yes,NONE,NONE,LAN5,./NG-A0611/2024-01-12/NG-A0611_LAN5_libLAB6087_1.fastq.gz,libLAB6087,LAN5,NONE,NG-A0611_LAN5_libLAB6087,Adrenal/SNS,ACC;PCPG
LAN-6,Nb2,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,bone marrow,NONE,NONE,72,No,NONE,NONE,LAN6,./NG-A0611/2024-01-12/NG-A0611_LAN6_libLAB6089_1.fastq.gz,libLAB6089,LAN6,NONE,NG-A0611_LAN6_libLAB6089,Adrenal/SNS,ACC;PCPG
LS,Nb1,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,abdomen,NONE,NONE,16,Yes,NONE,NONE,LS,./NG-A0611/2024-01-12/NG-A0611_LS_libLAB6078_1.fastq.gz,libLAB6078,LS,NONE,NG-A0611_LS_libLAB6078,Adrenal/SNS,ACC;PCPG
MHH-NB-11,Nb2,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,adrenal gland,NONE,NONE,48,Yes,NONE,NONE,MHH_NB_11,./NG-A0611/2024-01-12/NG-A0611_MHHNB11_libLAB6084_1.fastq.gz,libLAB6084,MHHNB11,MHH_NB_11,NG-A0611_MHHNB11_libLAB6084,Adrenal/SNS,ACC;PCPG
NBL-S,Nb2,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,adrenal gland,NONE,NONE,36,No,NONE,NONE,NBL_S,./NG-A0611/2024-01-12/NG-A0611_NBLS_libLAB6077_1.fastq.gz,libLAB6077,NBLS,NBL_S,NG-A0611_NBLS_libLAB6077,Adrenal/SNS,ACC;PCPG
NGP,Nb1,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,lung,NONE,NONE,30,Yes,NONE,NONE,NGP,./NG-A0611/2024-01-12/NG-A0611_NGP_libLAB6082_1.fastq.gz,libLAB6082,NGP,NONE,NG-A0611_NGP_libLAB6082,Adrenal/SNS,ACC;PCPG
NMB,Nb1,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,bone marrow,NONE,NONE,10,Yes,NONE,NONE,NMB,./NG-A0611/2024-01-12/NG-A0611_NMB_libLAB6080_1.fastq.gz,libLAB6080,NMB,NONE,NG-A0611_NMB_libLAB6080,Adrenal/SNS,ACC;PCPG
SH-SY5Y,Nb2,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,bone marrow,NONE,NONE,48,No,NONE,NONE,SH_SY5Y,./NG-A0611/2024-01-12/NG-A0611_SHSY5Y_libLAB6081_1.fastq.gz,libLAB6081,SHSY5Y,SH_SY5Y,NG-A0611_SHSY5Y_libLAB6081,Adrenal/SNS,ACC;PCPG
SIMA,Nb2,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,adrenal gland,NONE,NONE,20,Yes,NONE,NONE,SIMA,./NG-A0611/2024-01-12/NG-A0611_SIMA_libLAB6086_1.fastq.gz,libLAB6086,SIMA,NONE,NG-A0611_SIMA_libLAB6086,Adrenal/SNS,ACC;PCPG
SK-N-BE-2,Nb1,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,NONE,NONE,NONE,NONE,NONE,NONE,NONE,SK_N_BE_2,./NG-A0611/2024-01-12/NG-A0611_SKNBE2_libLAB6076_1.fastq.gz,libLAB6076,SKNBE2,SK_N_BE_2,NG-A0611_SKNBE2_libLAB6076,Adrenal/SNS,ACC;PCPG
BT-474,NONE,Breast Cancer,Breast Cancer,NG-29643,NA,Breast ductal carcinoma,invasive,P,NONE,NONE,NONE,NONE,BT_474,./NG-29643/2022-03-28/NG-29643_BT_474_lib581288_7997_4_1.fastq.gz,lib581288_7997_4,BT_474,NONE,NG-29643_BT_474_lib581288_7997_4,Breast,BRCA
RBL-13,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,18,NONE,unilateral,hypermethylation / Q62*,RBL_13,./NG-30919/2022-09-12/NG-30919_RBL_13_lib628469_10098_1_1.fastq.gz,lib628469_10098_1,RBL_13,NONE,NG-30919_RBL_13_lib628469_10098_1,Uveal/Eye,UVM
RBL-14,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,23,NONE,unilateral,hypermethylation / LOH,RBL_14,./NG-30919/2022-09-12/NG-30919_RBL_14_lib628470_10098_1_1.fastq.gz,lib628470_10098_1,RBL_14,NONE,NG-30919_RBL_14_lib628470_10098_1,Uveal/Eye,UVM
RBL-15,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,11,NONE,bilateral,R320* / L797*,RBL_15,./NG-30919/2022-09-19/NG-30919_RBL_15_lib626622_10098_2_1.fastq.gz,lib626622_10098_2,RBL_15_10098_2,RBL_15,NG-30919_RBL_15_lib626622_10098_2,Uveal/Eye,UVM
RBL-15,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,11,NONE,bilateral,R320* / L797*,RBL_15,./NG-30919/2022-09-19/NG-30919_RBL_15_lib626622_10102_4_1.fastq.gz,lib626622_10102_4,RBL_15_10102_4,RBL_15,NG-30919_RBL_15_lib626622_10102_4,Uveal/Eye,UVM
RBL-18,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,15,NONE,unilateral,M484Vfs*8 / LOH,RBL_18,./NG-30919/2022-09-12/NG-30919_RBL_18_lib626623_10098_1_1.fastq.gz,lib626623_10098_1,RBL_18,NONE,NG-30919_RBL_18_lib626623_10098_1,Uveal/Eye,UVM
RBL-20,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,16,NONE,bilateral,IVS6+1G>T / LOH,RBL_20,./NG-30919/2022-09-19/NG-30919_RBL_20_lib626624_10098_1_1.fastq.gz,lib626624_10098_1,RBL_20_10098_1,RBL_20,NG-30919_RBL_20_lib626624_10098_1,Uveal/Eye,UVM
RBL-20,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,16,NONE,bilateral,IVS6+1G>T / LOH,RBL_20,./NG-30919/2022-09-19/NG-30919_RBL_20_lib626624_10102_3_1.fastq.gz,lib626624_10102_3,RBL_20_10102_3,RBL_20,NG-30919_RBL_20_lib626624_10102_3,Uveal/Eye,UVM
RBL-30,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,30,NONE,unilateral,R251* / LOH,RBL_30,./NG-30919/2022-09-12/NG-30919_RBL_30_lib628471_10098_1_1.fastq.gz,lib628471_10098_1,RBL_30,NONE,NG-30919_RBL_30_lib628471_10098_1,Uveal/Eye,UVM
RBL-7,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,16,NONE,bilateral,unknown,RBL_7,./NG-30919/2022-09-12/NG-30919_RBL_7_lib628468_10098_1_1.fastq.gz,lib628468_10098_1,RBL_7,NONE,NG-30919_RBL_7_lib628468_10098_1,Uveal/Eye,UVM
WERI-RB1,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,30,NONE,unilateral,Del ex2-ex6 / IVS20+1G>A,WERI_RB1,./NG-30919/2022-09-12/NG-30919_WERI_RB1_lib628472_10098_1_1.fastq.gz,lib628472_10098_1,WERI_RB1,NONE,NG-30919_WERI_RB1_lib628472_10098_1,Uveal/Eye,UVM
Y-79,Retinoblastoma,Retinoblastoma,Retinoblastoma,NG-30919,NA,NONE,NONE,NONE,12,NONE,unilateral,Del / Del,Y_79,./NG-30919/2022-09-12/NG-30919_Y_79_lib626626_10098_1_1.fastq.gz,lib626626_10098_1,Y_79,NONE,NG-30919_Y_79_lib626626_10098_1,Uveal/Eye,UVM
