Cell_Line,group1,group2,Description,Project_id,Disease,Origin,Stage,Primary.Metastatic,Age.at.diagnosis..months.,MYCN.amplification,Laterality.of.tumour,RB1.mutation.allele.1...allele.2,DSMZ_Cell_line_norm,PATHS,LIBRARY,PATH_CELL_LINE,PATH_alt_id,sample_name,organ,tcga_codes
MDA-MB-231,Breast carcinoma,Breast cancer,Breast cancer;basal_like;Breast carcinoma;triple_negative,NG-29643,NA,Breast carcinoma,invasive,M,NONE,NONE,NONE,NONE,MDA_MB_231,./NG-29643/2022-04-04/NG-29643_MDA_MB_231_lib581314_8005_3_1.fastq.gz,lib581314_8005_3,MDA_MB_231,NONE,NG-29643_MDA_MB_231_lib581314_8005_3,Breast,BRCA
MDA-MB-453,Breast carcinoma,Breast cancer,Breast cancer;luminal;Breast carcinoma;,NG-29643,NA,Breast carcinoma,invasive,M,NONE,NONE,NONE,NONE,MDA_MB_453,./NG-29643/2022-03-28/NG-29643_MDA_MB_453_lib581289_7997_4_1.fastq.gz,lib581289_7997_4,MDA_MB_453,NONE,NG-29643_MDA_MB_453_lib581289_7997_4,Breast,BRCA
MDA-MB-468,Breast carcinoma,Breast cancer,Breast cancer;basal_like;Breast carcinoma;,NG-29643,NA,Breast carcinoma,invasive,M,NONE,NONE,NONE,NONE,MDA_MB_468,./NG-30919/2022-09-12/NG-30919_MDA_MB_468_B_lib628474_10098_2_1.fastq.gz,lib628474_10098_2,MDA_MB_468_B,MDA_MB_468,NG-30919_MDA_MB_468_B_lib628474_10098_2,Breast,BRCA
MFM-223,Breast ductal carcinoma,Breast cancer,Breast cancer;luminal;Breast ductal carcinoma;triple_negative,NG-29643,NA,Breast ductal carcinoma,invasive,M,NONE,NONE,NONE,NONE,MFM_223,./NG-29643/2022-03-28/NG-29643_MFM_223_lib581297_7997_4_1.fastq.gz,lib581297_7997_4,MFM_223,NONE,NG-29643_MFM_223_lib581297_7997_4,Breast,BRCA
SK-BR-3,Breast adenocarcinoma,Breast cancer,Breast cancer;luminal;Breast adenocarcinoma;,NG-29643,NA,Breast adenocarcinoma,invasive,M,NONE,NONE,NONE,NONE,SK_BR_3,./NG-29643/2022-03-28/NG-29643_SK_BR_3_lib581307_7997_4_1.fastq.gz,lib581307_7997_4,SK_BR_3,NONE,NG-29643_SK_BR_3_lib581307_7997_4,Breast,BRCA
T-47D,Breast carcinoma,Breast cancer,Breast cancer;luminal;Breast carcinoma;,NG-29643,NA,Breast ductal carcinoma,invasive,M,NONE,NONE,NONE,NONE,T_47D,./NG-29643/2022-04-04/NG-29643_T_47D_lib581309_8005_3_1.fastq.gz,lib581309_8005_3,T_47D,NONE,NG-29643_T_47D_lib581309_8005_3,Breast,BRCA
BC-3,PEL,LL-100,leukemia and lymphoma panel,NG-13640,Primary effusion lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,BC_3,./NG-13640/2018-01-15/NG-13640_BC3_lib236396_5774_5_1.fastq.gz,lib236396_5774_5,BC_3,BC3,NG-13640_BC3_lib236396_5774_5,Lymphoid,DLBC
BCBL-1,PEL,LL-100,leukemia and lymphoma panel,NG-13640,Primary effusion lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,BCBL_1,./NG-13640/2018-01-29/NG-13640_BCBL_1_lib241208_5808_6_1.fastq.gz,lib241208_5808_6,BCBL_1,NONE,NG-13640_BCBL_1_lib241208_5808_6,Lymphoid,DLBC
BJAB,BURKITT B ALL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,BJAB,./NG-13640/2017-12-04/NG-13640_BJAB_lib227474_5697_7_1.fastq.gz,lib227474_5697_7,BJAB,NONE,NG-13640_BJAB_lib227474_5697_7,Hematologic,DLBC;LAML
BONNA-12,HCL,LL-100,leukemia and lymphoma panel,NG-13640,Hairy cell leukemia,NA,NONE,NONE,NONE,NONE,NONE,NONE,BONNA_12,./NG-13640/2018-01-15/NG-13640_BONNA12_lib236392_5774_5_1.fastq.gz,lib236392_5774_5,BONNA12,BONNA_12,NG-13640_BONNA12_lib236392_5774_5,Lymphoid,DLBC
