cohort	sample_id	cell_line_name	normalised_cell_line_id	source_object	analysis_status	data_level	notes
BRCA	NG-29643_HCC_1599_lib581304_7997_4	HCC-1599	HCC_1599	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_HCC_1937_lib581305_7997_4	HCC-1937	HCC_1937	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_HDQ_P1_lib581303_8005_3	HDQ-P1	HDQ_P1	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-30919_HS_578T_B_lib628473_10098_2	HS-578T	HS_578T	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_IPH_926_lib581313_7997_4	IPH-926	IPH_926	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT-1	JIMT_1	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_KPL_1_lib581296_7997_4	KPL-1	KPL_1	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_MCF_7_lib581315_7997_4	MCF-7	MCF_7	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_MDA_MB_231_lib581314_8005_3	MDA-MB-231	MDA_MB_231	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_MDA_MB_453_lib581289_7997_4	MDA-MB-453	MDA_MB_453	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA-MB-468	MDA_MB_468	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_MFM_223_lib581297_7997_4	MFM-223	MFM_223	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_SK_BR_3_lib581307_7997_4	SK-BR-3	SK_BR_3	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_T_47D_lib581309_8005_3	T-47D	T_47D	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
BRCA	NG-29643_BT_474_lib581288_7997_4	BT-474	BT_474	data/brca/tmp/brca_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	BRCA-associated DSMZ cell-line subset
NBL	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_CHP126_libLAB6088	CHP-126	CHP_126	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_CHP134_libLAB6074	CHP-134	CHP_134	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_GIMEN_libLAB6073	GI-ME-N	GI_ME_N	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_IMR32_libLAB6079	IMR-32	IMR_32	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_KELLY_libLAB6075	KELLY	KELLY	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_LAN1_libLAB6085	LAN-1	LAN1	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_LAN2_libLAB6083	LAN-2	LAN2	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_LAN5_libLAB6087	LAN-5	LAN5	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_LAN6_libLAB6089	LAN-6	LAN6	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_LS_libLAB6078	LS	LS	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_MHHNB11_libLAB6084	MHH-NB-11	MHH_NB_11	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_NBLS_libLAB6077	NBL-S	NBL_S	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_NGP_libLAB6082	NGP	NGP	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_NMB_libLAB6080	NMB	NMB	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_SHSY5Y_libLAB6081	SH-SY5Y	SH_SY5Y	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_SIMA_libLAB6086	SIMA	SIMA	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
NBL	NG-A0611_SKNBE2_libLAB6076	SK-N-BE-2	SK_N_BE_2	data/nbl/tmp/nbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	NBL-associated DSMZ cell-line subset
RBL	NG-30919_RBL_13_lib628469_10098_1	RBL-13	RBL_13	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
RBL	NG-30919_RBL_14_lib628470_10098_1	RBL-14	RBL_14	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
RBL	NG-30919_RBL_15_lib626622_10098_2	RBL-15	RBL_15	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
RBL	NG-30919_RBL_15_lib626622_10102_4	RBL-15	RBL_15	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
RBL	NG-30919_RBL_18_lib626623_10098_1	RBL-18	RBL_18	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
RBL	NG-30919_RBL_20_lib626624_10098_1	RBL-20	RBL_20	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
RBL	NG-30919_RBL_20_lib626624_10102_3	RBL-20	RBL_20	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
RBL	NG-30919_RBL_30_lib628471_10098_1	RBL-30	RBL_30	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
RBL	NG-30919_RBL_7_lib628468_10098_1	RBL-7	RBL_7	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
RBL	NG-30919_WERI_RB1_lib628472_10098_1	WERI-RB1	WERI_RB1	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
RBL	NG-30919_Y_79_lib626626_10098_1	Y-79	Y_79	data/rbl/tmp/rbl_vst_joint_cell_lines.rds	used_in_reported_analysis	transformed_expression	RBL-associated DSMZ cell-line subset
HEME	heme_cellline_1	NA	NA	data/heme/dsmz_ll100_cellline_vst_batch_corrected.rds	used_in_reported_analysis	batch_corrected_transformed_expression	LL-100/DSMZ heme cell-line subset; object is small and should be confirmed before public release
HEME	heme_cellline_2	NA	NA	data/heme/dsmz_ll100_cellline_vst_batch_corrected.rds	used_in_reported_analysis	batch_corrected_transformed_expression	LL-100/DSMZ heme cell-line subset; object is small and should be confirmed before public release
