cell_line_group	cell_line_cancer_type	top_n_cutoff_used	component_id	component_label	component_dominant_lineage	component_size	component_tumour_count	component_purity	n_top50_tumours_retained	n_top50_tumours_in_component	fraction_top50_tumours_in_component	n_same_cancer_type_tumours_in_top50	fraction_top50_tumours_matching_cell_line_cancer_type
MCF_7	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
MDA_MB_231	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	49	0.98
MDA_MB_231	BRCA	50	12	Component 12	BRCA	2	2	1	50	1	0.02	49	0.98
MDA_MB_453	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
MDA_MB_468_B	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	48	0.96	50	1
MDA_MB_468_B	BRCA	50	16	Component 16	BRCA	2	2	1	50	1	0.02	50	1
MDA_MB_468_B	BRCA	50	26	Component 26	BRCA	3	3	1	50	1	0.02	50	1
MFM_223	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
MFM_223	BRCA	50	26	Component 26	BRCA	3	3	1	50	1	0.02	50	1
SK_BR_3	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	47	0.94	50	1
SK_BR_3	BRCA	50	16	Component 16	BRCA	2	2	1	50	1	0.02	50	1
SK_BR_3	BRCA	50	26	Component 26	BRCA	3	3	1	50	1	0.02	50	1
SK_BR_3	BRCA	50	39	Component 39	BRCA	1	1	1	50	1	0.02	50	1
T_47D	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
CCLF_PEDS_0051_T	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	15	0.3
CHP126	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
CHP134	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	47	0.94	50	1
CHP134	NBL	50	58	Component 58	NBL	3	1	1	50	1	0.02	50	1
CHP134	NBL	50	62	Component 62	NBL	1	1	1	50	1	0.02	50	1
CHP134	NBL	50	64	Component 64	NBL	1	1	1	50	1	0.02	50	1
GIMEN	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	48	0.96	44	0.88
GIMEN	NBL	50	12	Component 12	BRCA	2	2	1	50	1	0.02	44	0.88
GIMEN	NBL	50	36	Component 36	BRCA	2	2	0.5	50	1	0.02	44	0.88
IMR32	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
IMR32	NBL	50	62	Component 62	NBL	1	1	1	50	1	0.02	50	1
KELLY	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
KELLY	NBL	50	64	Component 64	NBL	1	1	1	50	1	0.02	50	1
LAN1	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	48	0.96	50	1
LAN1	NBL	50	36	Component 36	BRCA	2	2	0.5	50	1	0.02	50	1
LAN1	NBL	50	62	Component 62	NBL	1	1	1	50	1	0.02	50	1
LAN2	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
LAN5	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
LAN6	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	48	0.96	50	1
LAN6	NBL	50	60	Component 60	NBL	5	3	1	50	2	0.04	50	1
LS	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
LS	NBL	50	36	Component 36	BRCA	2	2	0.5	50	1	0.02	50	1
MHHNB11	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
NBLS	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
NGP	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
NMB	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
SHSY5Y	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
SIMA	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
SKNBE2	NBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
RBL_13	RBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
RBL_13	RBL	50	70	Component 70	RBL	9	8	1	50	1	0.02	50	1
RBL_14	RBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
RBL_15	RBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
RBL_15	RBL	50	70	Component 70	RBL	9	8	1	50	1	0.02	50	1
RBL_18	RBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
RBL_18	RBL	50	69	Component 69	RBL	2	1	1	50	1	0.02	50	1
RBL_20	RBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
RBL_20	RBL	50	69	Component 69	RBL	2	1	1	50	1	0.02	50	1
RBL_30	RBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
RBL_7	RBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	48	0.96	50	1
RBL_7	RBL	50	69	Component 69	RBL	2	1	1	50	1	0.02	50	1
RBL_7	RBL	50	70	Component 70	RBL	9	8	1	50	1	0.02	50	1
WERI_RB1	RBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	42	0.84	50	1
WERI_RB1	RBL	50	70	Component 70	RBL	9	8	1	50	6	0.12	50	1
WERI_RB1	RBL	50	69	Component 69	RBL	2	1	1	50	1	0.02	50	1
WERI_RB1	RBL	50	71	Component 71	RBL	2	1	1	50	1	0.02	50	1
Y_79	RBL	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	41	0.82	50	1
Y_79	RBL	50	70	Component 70	RBL	9	8	1	50	7	0.14	50	1
Y_79	RBL	50	69	Component 69	RBL	2	1	1	50	1	0.02	50	1
Y_79	RBL	50	71	Component 71	RBL	2	1	1	50	1	0.02	50	1
