cell_line1	cell_line2	similarity	sample_id1	cell_line1_display	sample_id2	cell_line2_display
GI_ME_N	MHH_NB_11	-0.06373626373626373	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
IMR_32	MHH_NB_11	0.02490842490842491	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
KELLY	MHH_NB_11	0.11355311355311355	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
LAN1	MHH_NB_11	0.02490842490842491	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
LAN2	MHH_NB_11	0.02490842490842491	NG-A0611_LAN2_libLAB6083	LAN2	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
LAN5	MHH_NB_11	0.24652014652014653	NG-A0611_LAN5_libLAB6087	LAN5	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
LAN6	MHH_NB_11	-0.10805860805860806	NG-A0611_LAN6_libLAB6089	LAN6	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
LS	MHH_NB_11	0.15787545787545787	NG-A0611_LS_libLAB6078	LS	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
CCLF_PEDS_0051_T	NBL_S	-0.10805860805860806	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_NBLS_libLAB6077	NBL_S
CHP_126	NBL_S	0.2021978021978022	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_NBLS_libLAB6077	NBL_S
CHP_134	NBL_S	0.15787545787545787	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_NBLS_libLAB6077	NBL_S
GI_ME_N	NBL_S	0.02490842490842491	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_NBLS_libLAB6077	NBL_S
IMR_32	NBL_S	0.02490842490842491	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_NBLS_libLAB6077	NBL_S
KELLY	NBL_S	0.24652014652014653	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_NBLS_libLAB6077	NBL_S
LAN1	NBL_S	0.33516483516483514	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_NBLS_libLAB6077	NBL_S
LAN2	NBL_S	-0.10805860805860806	NG-A0611_LAN2_libLAB6083	LAN2	NG-A0611_NBLS_libLAB6077	NBL_S
LAN5	NBL_S	0.11355311355311355	NG-A0611_LAN5_libLAB6087	LAN5	NG-A0611_NBLS_libLAB6077	NBL_S
LAN6	NBL_S	0.37948717948717947	NG-A0611_LAN6_libLAB6089	LAN6	NG-A0611_NBLS_libLAB6077	NBL_S
LS	NBL_S	0.02490842490842491	NG-A0611_LS_libLAB6078	LS	NG-A0611_NBLS_libLAB6077	NBL_S
MHH_NB_11	NBL_S	0.02490842490842491	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	NG-A0611_NBLS_libLAB6077	NBL_S
CCLF_PEDS_0051_T	NGP	-0.10805860805860806	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_NGP_libLAB6082	NGP
CHP_126	NGP	0.4238095238095238	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_NGP_libLAB6082	NGP
CHP_134	NGP	0.15787545787545787	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_NGP_libLAB6082	NGP
GI_ME_N	NGP	0.06923076923076923	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_NGP_libLAB6082	NGP
IMR_32	NGP	0.15787545787545787	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_NGP_libLAB6082	NGP
KELLY	NGP	0.37948717948717947	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_NGP_libLAB6082	NGP
LAN1	NGP	0.5124542124542124	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_NGP_libLAB6082	NGP
LAN2	NGP	-0.1967032967032967	NG-A0611_LAN2_libLAB6083	LAN2	NG-A0611_NGP_libLAB6082	NGP
LAN5	NGP	0.2021978021978022	NG-A0611_LAN5_libLAB6087	LAN5	NG-A0611_NGP_libLAB6082	NGP
LAN6	NGP	0.37948717948717947	NG-A0611_LAN6_libLAB6089	LAN6	NG-A0611_NGP_libLAB6082	NGP
LS	NGP	0.2021978021978022	NG-A0611_LS_libLAB6078	LS	NG-A0611_NGP_libLAB6082	NGP
