Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7828572_1	SRR7828572_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31890916.0	0.0	50.0	43.0	61.03870398014677	50.0	50	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
SRR7828572_2	SRR7828572_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31890916.0	0.0	50.0	43.0	63.238182737479896	50.0	50	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828573_1	SRR7828573_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43247592.0	0.0	50.0	40.0	81.18143203862479	50.0	50	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
SRR7828573_2	SRR7828573_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43247592.0	0.0	50.0	40.0	82.19358849577489	50.0	50	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
SRR7828574_1	SRR7828574_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35915255.0	0.0	50.0	43.0	55.02512627752382	50.0	50	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
SRR7828574_2	SRR7828574_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35915255.0	0.0	50.0	43.0	57.08048516869977	50.0	50	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828575_1	SRR7828575_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37586621.0	0.0	50.0	43.0	51.63661658655341	50.0	50	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
SRR7828575_2	SRR7828575_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37586621.0	0.0	50.0	43.0	56.6879248333396	50.0	50	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
SRR7828576_1	SRR7828576_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37514010.0	0.0	50.0	43.0	51.725594854249756	50.0	50	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
SRR7828576_2	SRR7828576_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37514010.0	0.0	50.0	43.0	54.70216032848975	50.0	50	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
