query_name	query_type	submitted_genes	recognised_genes	background_name	background_size	source_databases	correction_method	significant_terms	status	skipped_reason
ranked_marker_source_panel__cohort_brca_marker_source_class_isolate_direction_up	cohort_marker_source_class_direction	11	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_nbl_marker_source_class_isolate_direction_up	cohort_marker_source_class_direction	3	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_rbl_marker_source_class_isolate_direction_up	cohort_marker_source_class_direction	13	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__direction_down	direction	304	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_brca_direction_down	cohort_direction	173	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_nbl_direction_down	cohort_direction	88	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_rbl_direction_down	cohort_direction	43	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__marker_source_class_anchor_direction_down	marker_source_class_direction	228	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_brca_marker_source_class_anchor_direction_down	cohort_marker_source_class_direction	145	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_nbl_marker_source_class_anchor_direction_down	cohort_marker_source_class_direction	62	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
