Sample	TOTAL_READS	PF_READS	READ_LENGTH	TOTAL_BASES	PF_BASES	Q20_BASES	PF_Q20_BASES	Q30_BASES	PF_Q30_BASES	Q20_EQUIVALENT_YIELD	PF_Q20_EQUIVALENT_YIELD
SRR22373296	60883738	60883738	101	6149257538	6149257538	6065591313	6065591313	5875961823	5875961823	11153383144	11153383144
SRR22373297	57090268	57090268	101	5766117068	5766117068	5681366732	5681366732	5496477587	5496477587	10446020600	10446020600
SRR22373298	59353400	59353400	101	5994693400	5994693400	5910426518	5910426518	5728668103	5728668103	10871385570	10871385570
SRR22373299	55580046	55580046	101	5613584646	5613584646	5534928814	5534928814	5358345390	5358345390	10176746957	10176746957
SRR22373300	49832198	49832198	101	5033051998	5033051998	4968300277	4968300277	4821756375	4821756375	9138878907	9138878907
SRR22373301	45928232	45928232	101	4638751432	4638751432	4580771423	4580771423	4445970042	4445970042	8425285520	8425285520
SRR22373302	58770356	58770356	101	5935805956	5935805956	5852379964	5852379964	5667897018	5667897018	10761904865	10761904865
SRR22373303	52581504	52581504	101	5310731904	5310731904	5231197207	5231197207	5060416176	5060416176	9618817427	9618817427
SRR22373304	56030334	56030334	101	5659063734	5659063734	5572790499	5572790499	5384531778	5384531778	10243972830	10243972830
SRR22373305	55957288	55957288	101	5651686088	5651686088	5582202596	5582202596	5419505617	5419505617	10267489055	10267489055
SRR22373306	53147090	53147090	101	5367856090	5367856090	5295219139	5295219139	5132653183	5132653183	9738391697	9738391697
SRR22373307	47970750	47970750	101	4845045750	4845045750	4773906559	4773906559	4618588648	4618588648	8777506200	8777506200
SRR22373308	45555990	45555990	101	4601154990	4601154990	4529076917	4529076917	4374980313	4374980313	8325828247	8325828247
SRR22373309	48286394	48286394	101	4876925794	4876925794	4811484797	4811484797	4664851694	4664851694	8849101444	8849101444
SRR22373310	51508054	51508054	101	5202313454	5202313454	5128577381	5128577381	4967999063	4967999063	9431906643	9431906643
SRR22373311	43331326	43331326	101	4376463926	4376463926	4313652443	4313652443	4172983835	4172983835	7930260457	7930260457
SRR22373312	40502628	40502628	101	4090765428	4090765428	4038106815	4038106815	3918489305	3918489305	7427556934	7427556934
SRR22373313	59120514	59120514	101	5971171914	5971171914	5882376209	5882376209	5684002890	5684002890	10812016274	10812016274
SRR22373314	57135162	57135162	101	5770651362	5770651362	5687445197	5687445197	5501786979	5501786979	10455954972	10455954972
