Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR22373293_2	SRR22373293_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28029145.0	0.0	101.0	47.0	56.779417191133355	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373294_1	SRR22373294_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31746452.0	0.0	101.0	46.0	68.95983493555374	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373294_2	SRR22373294_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31746452.0	0.0	101.0	45.0	73.35399476606943	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
SRR22373295_1	SRR22373295_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33762222.0	0.0	101.0	48.0	57.46255976526097	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373295_2	SRR22373295_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33762222.0	0.0	101.0	47.0	61.73196063844375	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373296_1	SRR22373296_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32831629.0	0.0	101.0	47.0	53.99446108325164	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373296_2	SRR22373296_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32831629.0	0.0	101.0	47.0	56.830715259679046	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373297_1	SRR22373297_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31141130.0	0.0	101.0	46.0	62.416399327463054	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373297_2	SRR22373297_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31141130.0	0.0	101.0	46.0	65.51918093057792	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373298_1	SRR22373298_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33496705.0	0.0	101.0	50.0	38.01424047366436	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR22373298_2	SRR22373298_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33496705.0	0.0	101.0	50.0	42.66124910151671	101.0	101	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
SRR22373299_1	SRR22373299_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30217568.0	0.0	101.0	48.0	50.7404645894476	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373299_2	SRR22373299_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30217568.0	0.0	101.0	48.0	54.39109061103964	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373300_1	SRR22373300_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27610558.0	0.0	101.0	48.0	56.06242830784707	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	warn
SRR22373300_2	SRR22373300_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27610558.0	0.0	101.0	48.0	58.751818532118804	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	warn
SRR22373301_1	SRR22373301_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24902265.0	0.0	101.0	48.0	56.91130849542135	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
SRR22373301_2	SRR22373301_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24902265.0	0.0	101.0	47.0	59.976951511776036	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373302_1	SRR22373302_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32494133.0	0.0	101.0	48.0	53.84504650735361	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	warn
SRR22373302_2	SRR22373302_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32494133.0	0.0	101.0	48.0	57.56751267690833	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	warn
SRR22373303_1	SRR22373303_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29078007.0	0.0	101.0	48.0	51.63953110576699	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
SRR22373303_2	SRR22373303_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29078007.0	0.0	101.0	48.0	55.40032327236791	101.0	101	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
SRR22373304_1	SRR22373304_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30476609.0	0.0	101.0	49.0	46.59963715559402	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR22373304_2	SRR22373304_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30476609.0	0.0	101.0	49.0	50.84995700823403	101.0	101	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
SRR22373305_1	SRR22373305_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30098404.0	0.0	101.0	48.0	40.34936359107132	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
SRR22373305_2	SRR22373305_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30098404.0	0.0	101.0	47.0	43.84592552498709	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
SRR22373306_1	SRR22373306_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28642530.0	0.0	101.0	49.0	41.39584689172038	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR22373306_2	SRR22373306_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28642530.0	0.0	101.0	49.0	45.11907366638273	101.0	101	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
SRR22373307_1	SRR22373307_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26235753.0	0.0	101.0	47.0	57.486470080547825	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
SRR22373307_2	SRR22373307_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26235753.0	0.0	101.0	47.0	61.5928879478207	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373308_1	SRR22373308_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25868721.0	0.0	101.0	46.0	64.36207504551739	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
SRR22373308_2	SRR22373308_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25868721.0	0.0	101.0	46.0	66.04251362840527	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373309_1	SRR22373309_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26945470.0	0.0	101.0	45.0	59.89841746296952	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373309_2	SRR22373309_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26945470.0	0.0	101.0	45.0	64.15975094487808	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373310_1	SRR22373310_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28326948.0	0.0	101.0	48.0	50.61224712010216	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
SRR22373310_2	SRR22373310_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28326948.0	0.0	101.0	48.0	54.83337971017449	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373311_1	SRR22373311_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23244244.0	0.0	101.0	47.0	54.63150947396384	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373311_2	SRR22373311_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23244244.0	0.0	101.0	47.0	57.91566275442111	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373312_1	SRR22373312_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22350869.0	0.0	101.0	48.0	52.950298878792736	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
SRR22373312_2	SRR22373312_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22350869.0	0.0	101.0	48.0	56.69317049692041	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373313_1	SRR22373313_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32070286.0	0.0	101.0	46.0	50.02771492334991	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373313_2	SRR22373313_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32070286.0	0.0	101.0	46.0	53.56945770332304	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373314_1	SRR22373314_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30589912.0	0.0	101.0	46.0	50.160896464612726	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
SRR22373314_2	SRR22373314_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30589912.0	0.0	101.0	46.0	51.98970051880488	101.0	101	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
