Sample	Picard_mqc-generalstats-picard-TOTAL_READS	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR22373290_2							34.55734340900263	46.0	101.0	101	0.0	46304984.0
SRR22373291	51608776	1.0	140	153.10062	79.28	22820382.0						
SRR22373291._STARpass1					79.84	22981248.0						
SRR22373291_1							44.20159899475984	50.0	101.0	101	27.27272727272727	28783393.0
SRR22373291_2							40.206447433592714	49.0	101.0	101	0.0	28783393.0
SRR22373292	57966826	1.0	148	167.740979	75.69	23688159.0						
SRR22373292._STARpass1					77.31	24197366.0						
SRR22373292_1							60.07498635824969	52.0	101.0	101	36.36363636363637	31297361.0
SRR22373292_2							56.653229960273244	52.0	101.0	101	18.181818181818183	31297361.0
SRR22373293	51055062	1.0	149	166.093924	81.25	22772853.0						
SRR22373293._STARpass1					82.29	23063988.0						
SRR22373293_1							48.03424828145242	47.0	101.0	101	18.181818181818183	28029145.0
SRR22373293_2							43.220582808866645	47.0	101.0	101	0.0	28029145.0
SRR22373294	59072502	1.0	146	159.879854	87.69	27837128.0						
SRR22373294._STARpass1					87.96	27923967.0						
SRR22373294_1							31.040165064446256	46.0	101.0	101	18.181818181818183	31746452.0
SRR22373294_2							26.646005233930566	45.0	101.0	101	0.0	31746452.0
SRR22373295	59409804	1.0	144	158.960691	77.52	26172927.0						
SRR22373295._STARpass1					78.75	26586910.0						
SRR22373295_1							42.53744023473903	48.0	101.0	101	18.181818181818183	33762222.0
SRR22373295_2							38.26803936155625	47.0	101.0	101	0.0	33762222.0
SRR22373296	60883738	1.0	146	161.355473	83.35	27366644.0						
SRR22373296._STARpass1					84.02	27586376.0						
SRR22373296_1							46.00553891674836	47.0	101.0	101	18.181818181818183	32831629.0
SRR22373296_2							43.169284740320954	47.0	101.0	101	0.0	32831629.0
SRR22373297	57090268	1.0	148	165.727264	82.67	25745304.0						
SRR22373297._STARpass1					83.17	25898797.0						
SRR22373297_1							37.583600672536946	46.0	101.0	101	18.181818181818183	31141130.0
SRR22373297_2							34.48081906942208	46.0	101.0	101	0.0	31141130.0
SRR22373298	59353400	1.0	150	170.565899	77.33	25903167.0						
SRR22373298._STARpass1					78.69	26356991.0						
SRR22373298_1							61.98575952633564	50.0	101.0	101	36.36363636363637	33496705.0
SRR22373298_2							57.33875089848329	50.0	101.0	101	18.181818181818183	33496705.0
SRR22373299	55580046	1.0	151	166.864339	83.16	25129511.0						
SRR22373299._STARpass1					83.96	25370257.0						
SRR22373299_1							49.2595354105524	48.0	101.0	101	18.181818181818183	30217568.0
SRR22373299_2							45.60890938896036	48.0	101.0	101	0.0	30217568.0
SRR22373300	49832198	1.0	147	158.910084	79.83	22040208.0						
SRR22373300._STARpass1					80.75	22294837.0						
SRR22373300_1							43.93757169215293	48.0	101.0	101	18.181818181818183	27610558.0
SRR22373300_2							41.248181467881196	48.0	101.0	101	0.0	27610558.0
SRR22373301	45928232	1.0	151	167.362334	81.92	20400508.0						
SRR22373301._STARpass1					83.14	20704727.0						
SRR22373301_1							43.08869150457865	48.0	101.0	101	27.27272727272727	24902265.0
SRR22373301_2							40.023048488223964	47.0	101.0	101	0.0	24902265.0
SRR22373302	58770356	1.0	151	166.161366	81.57	26504494.0						
SRR22373302._STARpass1					82.35	26757912.0						
SRR22373302_1							46.15495349264639	48.0	101.0	101	27.27272727272727	32494133.0
SRR22373302_2							42.43248732309167	48.0	101.0	101	0.0	32494133.0
SRR22373303	52581504	1.0	151	167.82319800000002	78.25	22753724.0						
SRR22373303._STARpass1					79.64	23156413.0						
SRR22373303_1							48.36046889423301	48.0	101.0	101	27.27272727272727	29078007.0
SRR22373303_2							44.59967672763209	48.0	101.0	101	9.090909090909092	29078007.0
SRR22373304	56030334	1.0	150	169.25041100000004	80.63	24574743.0						
SRR22373304._STARpass1					81.72	24906579.0						
SRR22373304_1							53.40036284440598	49.0	101.0	101	36.36363636363637	30476609.0
SRR22373304_2							49.15004299176597	49.0	101.0	101	9.090909090909092	30476609.0
SRR22373305	55957288	1.0	148	168.768828	84.4	25404170.0						
SRR22373305._STARpass1					85.19	25641492.0						
SRR22373305_1							59.65063640892868	48.0	101.0	101	27.27272727272727	30098404.0
SRR22373305_2							56.15407447501291	47.0	101.0	101	9.090909090909092	30098404.0
SRR22373306	53147090	1.0	149	169.97265999999996	81.21	23261671.0						
SRR22373306._STARpass1					81.95	23471349.0						
SRR22373306_1							58.60415310827962	49.0	101.0	101	36.36363636363637	28642530.0
SRR22373306_2							54.88092633361727	49.0	101.0	101	18.181818181818183	28642530.0
SRR22373307	47970750	1.0	149	167.158335	83.68	21953713.0						
SRR22373307._STARpass1					84.26	22107372.0						
SRR22373307_1							42.513529919452175	47.0	101.0	101	27.27272727272727	26235753.0
SRR22373307_2							38.4071120521793	47.0	101.0	101	0.0	26235753.0
SRR22373308	45555990	1.0	140	153.30216	77.65	20088016.0						
SRR22373308._STARpass1					78.06	20192756.0						
SRR22373308_1							35.637924954482614	46.0	101.0	101	27.27272727272727	25868721.0
SRR22373308_2							33.957486371594726	46.0	101.0	101	0.0	25868721.0
SRR22373309	48286394	1.0	144	159.101549	80.92	21805593.0						
SRR22373309._STARpass1					81.7	22013761.0						
SRR22373309_1							40.10158253703048	45.0	101.0	101	18.181818181818183	26945470.0
SRR22373309_2							35.840249055121916	45.0	101.0	101	0.0	26945470.0
SRR22373310	51508054	1.0	149	168.223333	81.3	23029331.0						
SRR22373310._STARpass1					82.26	23302079.0						
SRR22373310_1							49.38775287989784	48.0	101.0	101	27.27272727272727	28326948.0
SRR22373310_2							45.16662028982551	48.0	101.0	101	0.0	28326948.0
