"sample_id","project_id","paper_Purity","paper_purity","paper_SAMP.Purity_Absolute","paper_Absolute.extract.purity","paper_Tumor.purity.from.ABSOLUTE","paper_ABSOLUTE.purity","paper_Purity.ABSOLUTE.calls","paper_ABSOLUTE.Purity.1","paper_Purity.Class..high.or.low.","paper_DNA.hypermethylation.mode.purity","paper_mRNA.Moffitt.clusters..76.High.Purity.Samples.Only...1basal..2classical","paper_Methylation.Clusters..76.High.Purity.Samples.Only.","paper_RPPA.Clusters..76.High.Purity.Samples.Only.","paper_PURITY..ABSOLUTE.","paper_ABSOLUTE_purity","paper_CLONET_purity","paper_avgDNA_purity","paper_ISOpure_purity","paper_DeMix_purity","paper_avgRNA_purity","paper_ABSOLUTE.Purity","paper_purity_A_SNP6","paper_purity_B_Allelic.CapSeg","paper_Purity..FACETS.","paper_AC_purity","paper_AF_purity","paper_SNP_purity","purity","purity_selected"
"TCGA-E2-A158-01A-11R-A12D-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.962569744160713",0.962569744160713
"TCGA-A1-A0SD-01A-11R-A115-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.780372283338896",0.780372283338896
"TCGA-E9-A5FL-01A-11R-A27Q-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.81851046725984",0.81851046725984
"TCGA-BH-A1FU-11A-23R-A14D-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.79355933487804",0.79355933487804
"TCGA-A1-A0SE-01A-11R-A084-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.844102332256354",0.844102332256354
"TCGA-A2-A0YG-01A-21R-A109-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.888427194806766",0.888427194806766
"TCGA-B6-A0RQ-01A-11R-A115-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.919922173173405",0.919922173173405
"TCGA-A7-A6VY-01A-12R-A33J-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.713617987397583",0.713617987397583
"TCGA-A7-A13D-01B-04R-A277-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.892159830457235",0.892159830457235
"TCGA-BH-A203-11A-42R-A169-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.828367233041153",0.828367233041153
"TCGA-EW-A1OW-01A-21R-A144-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.812111900579945",0.812111900579945
"TCGA-BH-A18M-01A-11R-A12D-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.75857561096732",0.75857561096732
"TCGA-A8-A090-01A-11R-A00Z-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.754168630523814",0.754168630523814
"TCGA-AC-A2FM-01A-11R-A19W-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.921581685993648",0.921581685993648
"TCGA-BH-A1FJ-11B-42R-A13Q-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.704846795989262",0.704846795989262
"TCGA-A8-A099-01A-11R-A00Z-07","TCGA-BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.833165655717022",0.833165655717022
