"sample_id","organ","tcga_code","best_tcga_overall","best_rho_overall","rho_allowed"
"NG-13640_RPMI_8226_lib241212_5808_7","Hematologic-Lymphoid","DLBC","LUAD",0.514412028945094,0.328481520467244
"NG-13640_RPMI_8402_lib241221_5808_2","Hematologic-Lymphoid","DLBC","UCS",0.465600659533599,0.290848507434016
"NG-13640_SEM_lib227473_5697_7","Hematologic-Lymphoid","DLBC","SKCM",0.510290764301298,0.374902418567773
"NG-13640_SUDHL4_lib236389_5774_5","Hematologic-Lymphoid","DLBC","DLBC",0.567159438599905,0.567159438599905
"NG-13640_SUDHL6_lib236390_5774_5","Hematologic-Lymphoid","DLBC","DLBC",0.56929479001098,0.56929479001098
"NG-13640_SUP_HD_1_lib241216_5808_7","Hematologic-Lymphoid","DLBC","ESCA",0.403853689645171,0.342863764947491
"NG-13640_U_266_lib241213_5808_7","Hematologic-Lymphoid","DLBC","LUSC",0.44637800725449,0.353352851598406
"NG-13640_U_2932_lib241205_5808_6","Hematologic-Lymphoid","DLBC","DLBC",0.565519375583916,0.565519375583916
"NG-13640_U_2940_lib248378_5885_5","Hematologic-Lymphoid","DLBC","DLBC",0.527646168188416,0.527646168188416
"NG-13640_U2946_lib236385_5767_8","Hematologic-Lymphoid","DLBC","DLBC",0.575067830027791,0.575067830027791
"NG-13640_WSUDLCL2_lib236391_5774_5","Hematologic-Lymphoid","DLBC","DLBC",0.582023820077435,0.582023820077435
"NG-13640_YT_lib248385_5885_5","Hematologic-Lymphoid","DLBC","SKCM",0.350353866089313,0.300724641395128
"NG-13640_DEL_lib250969_5908_5","Hematologic-Lymphoid","DLBC","ESCA",0.46736976217619,0.26010950987708
"NG-13640_SR_786_lib248387_5885_5","Hematologic-Lymphoid","DLBC","ESCA",0.445219404597516,0.290181206360687
"NG-13640_SU_DHL_1_lib248388_5885_6","Hematologic-Lymphoid","DLBC","SKCM",0.464216555303538,0.318657121136643
"NG-13640_SUP_M2_lib248389_5885_6","Hematologic-Lymphoid","DLBC","ESCA",0.451687764212324,0.239206068223202
"NG-13640_SUP_M2_lib248389_5904_3","Hematologic-Lymphoid","DLBC","ESCA",0.427883179121048,0.270420686235482
"NG-13640_SET_2_lib259821_5981_7","Hematologic-Myeloid","LAML","LUAD",0.508704318601939,0.378381706181373
"NG-13640_BV_173_lib227468_5681_8","Hematologic-Myeloid","LAML","LAML",0.466115496748391,0.466115496748391
"NG-13640_CMK_lib259808_5981_3","Hematologic-Myeloid","LAML","SKCM",0.463364425573244,0.460868994453823
"NG-13640_CML_T1_lib259818_5981_7","Hematologic-Myeloid","LAML","THYM",0.496617803960127,0.367528764942879
"NG-13640_ELF_153_lib259809_5981_3","Hematologic-Myeloid","LAML","LAML",0.526125077094074,0.526125077094074
"NG-13640_EM_2_lib259814_5981_7","Hematologic-Myeloid","LAML","LAML",0.542511729605444,0.542511729605444
"NG-13640_EOL_1_lib248390_5885_6","Hematologic-Myeloid","LAML","LAML",0.544219475891718,0.544219475891718
"NG-13640_F_36P_lib248396_5885_1","Hematologic-Myeloid","LAML","LUAD",0.475474190691086,0.39423925350621
"NG-13640_HEL_lib248397_5885_1","Hematologic-Myeloid","LAML","KIRC",0.430328001823466,0.360764221299909
