"sample_id","organ","tcga_code"
"NG-13640_TK_6_lib259820_5981_7","Hematologic-Myeloid","LAML"
"NG-13640_U_937_lib248395_5885_6","Hematologic-Myeloid","LAML"
"NG-13640_UT_7_lib259813_5981_7","Hematologic-Myeloid","LAML"
"NG-30919_RBL_13_lib628469_10098_1","Uveal/Eye","UVM"
"NG-30919_RBL_14_lib628470_10098_1","Uveal/Eye","UVM"
"NG-30919_RBL_15_lib626622_10098_2","Uveal/Eye","UVM"
"NG-30919_RBL_15_lib626622_10102_4","Uveal/Eye","UVM"
"NG-30919_RBL_18_lib626623_10098_1","Uveal/Eye","UVM"
"NG-30919_RBL_20_lib626624_10098_1","Uveal/Eye","UVM"
"NG-30919_RBL_20_lib626624_10102_3","Uveal/Eye","UVM"
"NG-30919_RBL_30_lib628471_10098_1","Uveal/Eye","UVM"
"NG-30919_RBL_7_lib628468_10098_1","Uveal/Eye","UVM"
"NG-30919_WERI_RB1_lib628472_10098_1","Uveal/Eye","UVM"
"NG-30919_Y_79_lib626626_10098_1","Uveal/Eye","UVM"
