cell_line_group	cell_lineage	k	k_type	n_topk	n_same_lineage_topk	precision_at_k	recall_at_k	expected_same_lineage_fraction	null_expected_count	observed_count	enrichment_at_k	p_value_hypergeometric	q_value_BH
ETCC_006	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
ETCC_007	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
EVSA_T	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
GIMEN	NBL	12	percentile	12	11	0.916666666666667	0.0450819672131148	0.216312056737589	2.59574468085106	11	4.23770491803279	3.93383798694867e-07	6.74372226334058e-07
HCC_1143	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
HCC_1599	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
HCC_1937	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
HDQ_P1	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
HS_578T_B	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
IMR32	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
IPH_926	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
JIMT_1_B	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
KELLY	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
KPL_1	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
LAN1	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
LAN2	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
LAN5	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
LAN6	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
LS	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
MCF_7	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
MDA_MB_231	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
MDA_MB_453	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
MDA_MB_468_B	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
MFM_223	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
MHHNB11	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
NBLS	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
NGP	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
NMB	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
RBL_13	RBL	12	percentile	12	12	1	0.181818181818182	0.0585106382978723	0.702127659574468	12	17.0909090909091	5.89311093234292e-16	1.82216436190235e-15
RBL_14	RBL	12	percentile	12	12	1	0.181818181818182	0.0585106382978723	0.702127659574468	12	17.0909090909091	5.89311093234292e-16	1.82216436190235e-15
RBL_15	RBL	12	percentile	12	12	1	0.181818181818182	0.0585106382978723	0.702127659574468	12	17.0909090909091	5.89311093234292e-16	1.82216436190235e-15
RBL_18	RBL	12	percentile	12	12	1	0.181818181818182	0.0585106382978723	0.702127659574468	12	17.0909090909091	5.89311093234292e-16	1.82216436190235e-15
RBL_20	RBL	12	percentile	12	12	1	0.181818181818182	0.0585106382978723	0.702127659574468	12	17.0909090909091	5.89311093234292e-16	1.82216436190235e-15
RBL_30	RBL	12	percentile	12	12	1	0.181818181818182	0.0585106382978723	0.702127659574468	12	17.0909090909091	5.89311093234292e-16	1.82216436190235e-15
RBL_7	RBL	12	percentile	12	12	1	0.181818181818182	0.0585106382978723	0.702127659574468	12	17.0909090909091	5.89311093234292e-16	1.82216436190235e-15
SHSY5Y	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
SIMA	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
SKNBE2	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
SK_BR_3	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
T_47D	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
WERI_RB1	RBL	12	percentile	12	12	1	0.181818181818182	0.0585106382978723	0.702127659574468	12	17.0909090909091	5.89311093234292e-16	1.82216436190235e-15
Y_79	RBL	12	percentile	12	12	1	0.181818181818182	0.0585106382978723	0.702127659574468	12	17.0909090909091	5.89311093234292e-16	1.82216436190235e-15
BT_474	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
CAL_120	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
CAL_148	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
CAL_51	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
CAL_85_1	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
CCLF_PEDS_0051_T	NBL	25	absolute	25	8	0.32	0.0327868852459016	0.216312056737589	5.40780141843972	8	1.47934426229508	0.151841094492675	0.178803531832496
CHP126	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
CHP134	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
COLO_824	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
DU_4475	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
EFM_19	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
EFM_192A	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
EFM_192B	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
EFM_192C	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
ETCC_006	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
ETCC_007	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
EVSA_T	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
GIMEN	NBL	25	absolute	25	21	0.84	0.0860655737704918	0.216312056737589	5.40780141843972	21	3.88327868852459	2.91224737105548e-11	7.30235161697493e-11
HCC_1143	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
HCC_1599	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
HCC_1937	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
HDQ_P1	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
HS_578T_B	BRCA	25	absolute	25	24	0.96	0.0293398533007335	0.725177304964539	18.1294326241135	24	1.3238141809291	0.00315067795217057	0.00449841837930303
IMR32	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
IPH_926	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
JIMT_1_B	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
KELLY	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
KPL_1	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
LAN1	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
LAN2	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
LAN5	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
LAN6	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
LS	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
MCF_7	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
MDA_MB_231	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
MDA_MB_453	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
MDA_MB_468_B	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
MFM_223	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
MHHNB11	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
NBLS	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
NGP	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
NMB	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
RBL_13	RBL	25	absolute	25	25	1	0.378787878787879	0.0585106382978723	1.46276595744681	25	17.0909090909091	1.04729026156681e-33	4.75526389035742e-33
RBL_14	RBL	25	absolute	25	25	1	0.378787878787879	0.0585106382978723	1.46276595744681	25	17.0909090909091	1.04729026156681e-33	4.75526389035742e-33
RBL_15	RBL	25	absolute	25	25	1	0.378787878787879	0.0585106382978723	1.46276595744681	25	17.0909090909091	1.04729026156681e-33	4.75526389035742e-33
RBL_18	RBL	25	absolute	25	25	1	0.378787878787879	0.0585106382978723	1.46276595744681	25	17.0909090909091	1.04729026156681e-33	4.75526389035742e-33
RBL_20	RBL	25	absolute	25	25	1	0.378787878787879	0.0585106382978723	1.46276595744681	25	17.0909090909091	1.04729026156681e-33	4.75526389035742e-33
RBL_30	RBL	25	absolute	25	25	1	0.378787878787879	0.0585106382978723	1.46276595744681	25	17.0909090909091	1.04729026156681e-33	4.75526389035742e-33
RBL_7	RBL	25	absolute	25	25	1	0.378787878787879	0.0585106382978723	1.46276595744681	25	17.0909090909091	1.04729026156681e-33	4.75526389035742e-33
SHSY5Y	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
SIMA	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
SKNBE2	NBL	25	absolute	25	25	1	0.102459016393443	0.216312056737589	5.40780141843972	25	4.62295081967213	8.72111781258997e-18	3.40732044770957e-17
SK_BR_3	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
T_47D	BRCA	25	absolute	25	25	1	0.0305623471882641	0.725177304964539	18.1294326241135	25	1.37897310513447	0.000292794744150683	0.000441822009137557
WERI_RB1	RBL	25	absolute	25	25	1	0.378787878787879	0.0585106382978723	1.46276595744681	25	17.0909090909091	1.04729026156681e-33	4.75526389035742e-33
Y_79	RBL	25	absolute	25	25	1	0.378787878787879	0.0585106382978723	1.46276595744681	25	17.0909090909091	1.04729026156681e-33	4.75526389035742e-33
BT_474	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
CAL_120	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
CAL_148	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
CAL_51	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
CAL_85_1	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
CCLF_PEDS_0051_T	NBL	50	absolute	50	15	0.3	0.0614754098360656	0.216312056737589	10.8156028368794	15	1.38688524590164	0.100514690569888	0.118918788843248
CHP126	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
CHP134	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
COLO_824	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
DU_4475	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
EFM_19	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
EFM_192A	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
EFM_192B	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
EFM_192C	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
ETCC_006	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
ETCC_007	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
EVSA_T	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
GIMEN	NBL	50	absolute	50	44	0.88	0.180327868852459	0.216312056737589	10.8156028368794	44	4.06819672131148	1.00073853818433e-24	4.46347100216729e-24
HCC_1143	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
HCC_1599	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
HCC_1937	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
HDQ_P1	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
HS_578T_B	BRCA	50	absolute	50	47	0.94	0.0574572127139364	0.725177304964539	36.258865248227	47	1.29623471882641	0.000102095295135559	0.000168156956693861
IMR32	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
IPH_926	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
JIMT_1_B	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
KELLY	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
KPL_1	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
LAN1	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
LAN2	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
LAN5	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
LAN6	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
LS	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
MCF_7	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
MDA_MB_231	BRCA	50	absolute	50	49	0.98	0.0599022004889976	0.725177304964539	36.258865248227	49	1.35139364303178	1.45354744917331e-06	2.40982866573469e-06
MDA_MB_453	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
MDA_MB_468_B	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
MFM_223	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
MHHNB11	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
NBLS	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
NGP	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
NMB	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
RBL_13	RBL	50	absolute	50	50	1	0.757575757575758	0.0585106382978723	2.92553191489362	50	17.0909090909091	1.89886812585486e-73	1.42840229168783e-72
RBL_14	RBL	50	absolute	50	50	1	0.757575757575758	0.0585106382978723	2.92553191489362	50	17.0909090909091	1.89886812585486e-73	1.42840229168783e-72
RBL_15	RBL	50	absolute	50	50	1	0.757575757575758	0.0585106382978723	2.92553191489362	50	17.0909090909091	1.89886812585486e-73	1.42840229168783e-72
RBL_18	RBL	50	absolute	50	50	1	0.757575757575758	0.0585106382978723	2.92553191489362	50	17.0909090909091	1.89886812585486e-73	1.42840229168783e-72
RBL_20	RBL	50	absolute	50	50	1	0.757575757575758	0.0585106382978723	2.92553191489362	50	17.0909090909091	1.89886812585486e-73	1.42840229168783e-72
RBL_30	RBL	50	absolute	50	50	1	0.757575757575758	0.0585106382978723	2.92553191489362	50	17.0909090909091	1.89886812585486e-73	1.42840229168783e-72
RBL_7	RBL	50	absolute	50	50	1	0.757575757575758	0.0585106382978723	2.92553191489362	50	17.0909090909091	1.89886812585486e-73	1.42840229168783e-72
SHSY5Y	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
SIMA	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
SKNBE2	NBL	50	absolute	50	50	1	0.204918032786885	0.216312056737589	10.8156028368794	50	4.62295081967213	7.72420789383892e-36	3.81666742989688e-35
SK_BR_3	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
T_47D	BRCA	50	absolute	50	50	1	0.0611246943765281	0.725177304964539	36.258865248227	50	1.37897310513447	6.87060045739914e-08	1.26378928121502e-07
WERI_RB1	RBL	50	absolute	50	50	1	0.757575757575758	0.0585106382978723	2.92553191489362	50	17.0909090909091	1.89886812585486e-73	1.42840229168783e-72
Y_79	RBL	50	absolute	50	50	1	0.757575757575758	0.0585106382978723	2.92553191489362	50	17.0909090909091	1.89886812585486e-73	1.42840229168783e-72
BT_474	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
CAL_120	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
CAL_148	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
CAL_51	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
CAL_85_1	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
CCLF_PEDS_0051_T	NBL	57	percentile	57	18	0.315789473684211	0.0737704918032787	0.216312056737589	12.3297872340426	18	1.45987920621225	0.0480482917501685	0.0586352034917311
CHP126	NBL	57	percentile	57	57	1	0.233606557377049	0.216312056737589	12.3297872340426	57	4.62295081967213	4.31585509678948e-41	2.529291824165e-40
CHP134	NBL	57	percentile	57	57	1	0.233606557377049	0.216312056737589	12.3297872340426	57	4.62295081967213	4.31585509678948e-41	2.529291824165e-40
COLO_824	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
DU_4475	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
EFM_19	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
EFM_192A	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
EFM_192B	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
EFM_192C	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
ETCC_006	BRCA	57	percentile	57	56	0.982456140350877	0.0684596577017115	0.725177304964539	41.3351063829787	56	1.35478059451808	1.5359527384812e-07	2.79465769023295e-07
ETCC_007	BRCA	57	percentile	57	56	0.982456140350877	0.0684596577017115	0.725177304964539	41.3351063829787	56	1.35478059451808	1.5359527384812e-07	2.79465769023295e-07
EVSA_T	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
GIMEN	NBL	57	percentile	57	49	0.859649122807018	0.200819672131148	0.216312056737589	12.3297872340426	49	3.97411561691113	1.47758511486903e-26	6.64913301691063e-26
HCC_1143	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
HCC_1599	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
HCC_1937	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
HDQ_P1	BRCA	57	percentile	57	57	1	0.0696821515892421	0.725177304964539	41.3351063829787	57	1.37897310513447	6.34980461546582e-09	1.39143544617164e-08
