tumour	tumour_cancer_type	tumour_cohort	first_matching_cell_line_group_rank_at10	reciprocal_rank_at10	top_ranked_cell_line_group	top_ranked_cell_line_group_cancer_type	rank1_correct	n_ranked_biological_cell_line_groups	n_displayed_top10_biological_cell_line_groups
TCGA-A2-A4S2-01A-12R-A266-07	BRCA	BRCA	1	1	CAL_148	BRCA	TRUE	56	10
TCGA-A2-A4S3-01A-21R-A266-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A7-A0CD-01A-11R-A00Z-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A7-A0CE-01A-11R-A00Z-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-A7-A0CH-01A-21R-A00Z-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A7-A0CJ-01A-21R-A00Z-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-A7-A0D9-01A-31R-A056-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-A7-A0DA-01A-31R-A115-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A7-A0DB-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A7-A0DB-01A-11R-A277-07	BRCA	BRCA	2	0.5	CCLF_PEDS_0051_T	NBL	FALSE	56	10
TCGA-A7-A0DB-01C-02R-A277-07	BRCA	BRCA	8	0.125	RBL_14	RBL	FALSE	56	10
TCGA-A7-A0DC-01A-11R-A00Z-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A7-A0DC-01B-04R-A22O-07	BRCA	BRCA	NA	0	RBL_18	RBL	FALSE	56	10
TCGA-A7-A13D-01A-13R-A12P-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A7-A13D-01A-13R-A277-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-A7-A13D-01B-04R-A277-07	BRCA	BRCA	NA	0	RBL_14	RBL	FALSE	56	10
TCGA-A7-A13E-01A-11R-A12P-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-A7-A13E-01A-11R-A277-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-A7-A13F-01A-11R-A12P-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
