sample	component	community_size	lineage	degree	weighted_degree	algorithm
NG-13640_KU812_lib236377_5767_8	5	33	HEME	20	16.0979863274915	Louvain
NG-13640_K_562_RNA_lib206692_5568_1	5	33	HEME	20	14.5400522365269	Louvain
NG-13640_LAMA_84_lib259816_5981_7	5	33	HEME	20	15.8122569158379	Louvain
NG-13640_MEGAL_lib259811_5981_3	5	33	HEME	27	20.7657144567331	Louvain
NG-13640_ME_1_lib248393_5885_6	5	33	HEME	28	21.9637158082824	Louvain
NG-13640_MKPL_1_lib259812_5981_3	5	33	HEME	21	17.2721060540647	Louvain
NG-13640_MOLM13_lib236379_5767_8	5	33	HEME	24	19.1259075211661	Louvain
NG-13640_MOLM_20_lib259817_5981_7	5	33	HEME	32	24.5277950188973	Louvain
NG-13640_MONO_MAC_6_lib248394_5885_6	5	33	HEME	29	22.9054041533334	Louvain
NG-13640_MONO_MAC_6_lib248394_5904_3	5	33	HEME	22	17.7398473961001	Louvain
NG-13640_MUTZ_3_lib259806_5981_3	5	33	HEME	31	24.1764484803409	Louvain
NG-13640_MUTZ_3_lib259806_5991_5	5	33	HEME	28	22.1440917882702	Louvain
NG-13640_M_07e_lib259810_5981_3	5	33	HEME	22	17.360169933038	Louvain
NG-13640_NB4_lib236380_5767_8	5	33	HEME	25	19.9074897042059	Louvain
NG-13640_OCI_AML_3_lib248392_5885_6	5	33	HEME	27	20.0713212792401	Louvain
NG-13640_OCI_M2_lib259807_5981_3	5	33	HEME	21	15.1426522964109	Louvain
NG-13640_SET_2_lib259821_5981_7	5	33	HEME	24	19.2292498121749	Louvain
NG-13640_SKNO_1_lib259805_5981_3	5	33	HEME	36	29.0118280608482	Louvain
NG-13640_SKNO_1_lib259805_5991_5	5	33	HEME	35	27.9000638562084	Louvain
NG-13640_TF_1_lib259824_5972_8	5	33	HEME	22	17.1115124494731	Louvain
NG-13640_THP_1_lib248383_5885_5	5	33	HEME	21	16.3975496650377	Louvain
NG-13640_UT_7_lib259813_5981_7	5	33	HEME	21	16.85634231994	Louvain
NG-13640_U_937_lib248395_5885_6	5	33	HEME	29	21.9755238890091	Louvain
