cell_line	max_p__Variance_euc	max_p__Variance_corr	max_p__MAD_euc	max_p__MAD_corr	max_p__MeanAbsDev_euc	max_p__MeanAbsDev_corr	max_p__Entropy_euc	max_p__Entropy_corr	max_p__PCA_euc	max_p__PCA_corr	max_p__Spearman_euc	max_p__Spearman_corr	max_p__MX_euc	max_p__MX_corr	max_p__kTotal_euc	max_p__kTotal_corr	max_p__HVG_euc	max_p__HVG_corr	frac_ge_thr__Variance_euc	frac_ge_thr__Variance_corr	frac_ge_thr__MAD_euc	frac_ge_thr__MAD_corr	frac_ge_thr__MeanAbsDev_euc	frac_ge_thr__MeanAbsDev_corr	frac_ge_thr__Entropy_euc	frac_ge_thr__Entropy_corr	frac_ge_thr__PCA_euc	frac_ge_thr__PCA_corr	frac_ge_thr__Spearman_euc	frac_ge_thr__Spearman_corr	frac_ge_thr__MX_euc	frac_ge_thr__MX_corr	frac_ge_thr__kTotal_euc	frac_ge_thr__kTotal_corr	frac_ge_thr__HVG_euc	frac_ge_thr__HVG_corr	median_p__Variance_euc	median_p__Variance_corr	median_p__MAD_euc	median_p__MAD_corr	median_p__MeanAbsDev_euc	median_p__MeanAbsDev_corr	median_p__Entropy_euc	median_p__Entropy_corr	median_p__PCA_euc	median_p__PCA_corr	median_p__Spearman_euc	median_p__Spearman_corr	median_p__MX_euc	median_p__MX_corr	median_p__kTotal_euc	median_p__kTotal_corr	median_p__HVG_euc	median_p__HVG_corr	n_pairs__Variance_euc	n_pairs__Variance_corr	n_pairs__MAD_euc	n_pairs__MAD_corr	n_pairs__MeanAbsDev_euc	n_pairs__MeanAbsDev_corr	n_pairs__Entropy_euc	n_pairs__Entropy_corr	n_pairs__PCA_euc	n_pairs__PCA_corr	n_pairs__Spearman_euc	n_pairs__Spearman_corr	n_pairs__MX_euc	n_pairs__MX_corr	n_pairs__kTotal_euc	n_pairs__kTotal_corr	n_pairs__HVG_euc	n_pairs__HVG_corr	best_max_p	best_dir_max_p	best_frac_ge_thr	best_dir_frac_ge_thr
EFM_192B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.39215686274509803	0.20754716981132076	0.4666666666666667	0.3953488372093023	0.5	0.26	0.574468085106383	0.1111111111111111	0.6923076923076923	0.625	0.7142857142857143	0.8	0.5769230769230769	0.3953488372093023	0.4186046511627907	0.5384615384615384	0.46551724137931033	0.34782608695652173	0.5	0.5	0.5	0.5	0.625	0.5	0.75	0.5	1	1	1	1	0.75	0.5	0.5	1	0.5	0.5	51	53	45	43	50	50	47	54	39	40	42	40	52	43	43	39	58	46	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	0.8	Spearman_corr
ETCC_007	0.5	1	0.5	1	0.5	1	0.5	1	0.5	1	1	1	0.5	1	1	1	0.75	0.5	0	0.9354838709677419	0	0.9354838709677419	0	0.875	0	0.9354838709677419	0	0.875	0.8108108108108109	0.015384615384615385	0	0.014084507042253521	0.8695652173913043	0.8666666666666667	0.5	0	0.5	1	0.5	1	0.5	1	0.5	1	0.5	1	1	0.5	0.5	0.5	1	1	0.625	0.5	69	31	68	31	69	32	68	31	69	32	37	65	69	71	46	45	68	67	1	Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_corr;Spearman_euc;Spearman_corr;MX_corr;kTotal_euc;kTotal_corr	0.9354838709677419	Variance_corr;MAD_corr;Entropy_corr
ETCC_006	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014925373134328358	0.9354838709677419	0.014925373134328358	0.9354838709677419	0.014925373134328358	0.875	0.014925373134328358	0.9354838709677419	0.014925373134328358	0.875	0.8108108108108109	0.03125	0.045454545454545456	0.02857142857142857	0.8695652173913043	0.8666666666666667	0.5074626865671642	0.015151515151515152	0.5	1	0.5	1	0.5	1	0.5	1	0.5	1	1	0.5	0.5	0.5	1	1	0.75	0.5	67	31	67	31	67	32	67	31	67	32	37	64	66	70	46	45	67	66	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	0.9354838709677419	Variance_corr;MAD_corr;Entropy_corr
MDA_MB_468	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7647058823529411	1	0.7142857142857143	1	0.7647058823529411	0.9354838709677419	0.6216216216216216	1	0.875	0.875	0.03333333333333333	0.1	0.8181818181818182	1	0.07142857142857142	0.68	0.7428571428571429	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5	1	1	0.5	1	1	1	34	30	35	30	34	31	37	30	32	32	60	60	33	30	56	50	35	30	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	Variance_corr;MAD_corr;Entropy_corr;MX_corr;HVG_corr
CAL_85_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.75	1	1	1	0.9354838709677419	1	0.90625	1	0.9354838709677419	0.9354838709677419	0.875	1	0.9354838709677419	0.9354838709677419	0.05084745762711865	0.11864406779661017	1	1	0.24390243902439024	0.8666666666666667	0.90625	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5	1	1	0.25	1	1	1	31	30	32	30	31	31	32	30	31	31	59	59	30	30	82	45	32	30	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_corr;HVG_euc;HVG_corr	1	Variance_corr;MAD_corr;Entropy_corr;MX_euc;MX_corr;HVG_corr
HS_578T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014705882352941176	0.9354838709677419	0.014925373134328358	0.9354838709677419	0.014705882352941176	0.9354838709677419	0.014925373134328358	0.9354838709677419	0.014705882352941176	0.9354838709677419	0.8108108108108109	0.015384615384615385	0.014705882352941176	0.02857142857142857	0.8695652173913043	0.8666666666666667	0.5074626865671642	0.015151515151515152	0.5	1	0.5	1	0.5	1	0.5	1	0.5	1	1	0.5	0.5	0.5	1	1	0.75	0.5	68	31	67	31	68	31	67	31	68	31	37	65	68	70	46	45	67	66	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	0.9354838709677419	Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_corr
HCC_1599	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9354838709677419	1	0.967741935483871	1	0.9354838709677419	1	0.875	1	1	1	1	1	1	1	0.22448979591836735	0.8666666666666667	0.9354838709677419	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	31	30	31	30	31	30	32	30	30	30	30	30	30	30	49	45	31	30	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;HVG_corr
HDQ_P1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.75	1	1	1	0.967741935483871	1	0.9375	1	1	0.9354838709677419	0.875	1	1	0.9354838709677419	0.7435897435897436	0.2222222222222222	1	1	0.4177215189873418	0.8666666666666667	0.967741935483871	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	0.25	1	1	1	31	30	32	30	30	31	32	30	30	31	39	54	30	30	79	45	31	30	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_corr;HVG_euc;HVG_corr	1	Variance_corr;MAD_corr;MeanAbsDev_euc;Entropy_corr;PCA_euc;MX_euc;MX_corr;HVG_corr
MDA_MB_231	0.5	1	1	1	0.5	1	1	1	0.5	1	1	1	1	1	0.75	1	0.5	0.5	0	0.9354838709677419	0.9354838709677419	0.9354838709677419	0	0.875	0.9354838709677419	0.9354838709677419	0	0.875	0.42	0.08196721311475409	0.875	0.014084507042253521	0.275	0.8666666666666667	0	0	0.5	1	1	1	0.5	1	1	1	0.5	1	0.5	0.5	1	0.5	0.25	1	0.25	0.5	60	31	31	31	60	32	31	31	61	32	50	61	32	71	80	45	94	67	1	Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_corr	0.9354838709677419	Variance_corr;MAD_euc;MAD_corr;Entropy_euc;Entropy_corr
HCC_1937	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.75	1	1	1	0.6486486486486487	1	0.6944444444444444	0.9354838709677419	0.6944444444444444	1	0.7647058823529411	1	0.8181818181818182	0.9354838709677419	0.03333333333333333	0.11864406779661017	0.7142857142857143	1	0.16883116883116883	0.08695652173913043	0.8181818181818182	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5	1	1	0.25	0.5	1	1	37	30	36	31	36	30	34	30	33	31	60	59	35	30	77	69	33	30	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_corr;HVG_euc;HVG_corr	1	Variance_corr;MeanAbsDev_corr;Entropy_corr;MX_corr;HVG_corr
HCC_1143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.875	1	1	1	0.9354838709677419	0.9354838709677419	1	1	0.10909090909090909	0.8666666666666667	0.967741935483871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	30	30	30	30	30	30	32	30	30	30	31	31	30	30	55	45	31	30	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_corr;PCA_euc;PCA_corr;MX_euc;MX_corr;HVG_corr
COLO_824	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	0.9354838709677419	0.967741935483871	1	1	1	1	1	0.6216216216216216	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	30	30	30	30	30	30	30	31	31	30	30	30	30	30	37	75	30	30	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;HVG_euc;HVG_corr	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;HVG_euc;HVG_corr
EFM_19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.28	0.5952380952380952	0.5384615384615384	0.675	0.4	0.8571428571428571	0.30434782608695654	0.9090909090909091	0.7567567567567568	0.8	0.8461538461538461	0.7692307692307693	0.5789473684210527	1	0.7142857142857143	0.6382978723404256	0.631578947368421	0.625	0.5	0.75	1	1	0.5	1	0.5	1	1	1	1	1	1	1	1	0.75	1	44	50	42	39	40	45	35	46	33	37	40	39	39	38	30	35	47	38	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	kTotal_euc
EVSA_T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6410256410256411	0.391304347826087	0.8	0.5789473684210527	0.7435897435897436	0.4318181818181818	0.8529411764705882	0.4634146341463415	0.9090909090909091	0.8571428571428571	0.8	0.8461538461538461	0.8823529411764706	0.7647058823529411	1	0.7142857142857143	0.6744186046511628	0.7714285714285715	1	0.5	1	1	1	0.5	1	0.5	1	1	1	1	1	1	1	1	0.75	1	39	46	35	38	39	44	34	41	33	35	40	39	34	34	30	35	43	35	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	kTotal_euc
IPH_926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6842105263157895	0.45454545454545453	0.75	0.7142857142857143	0.7435897435897436	0.5	0.8823529411764706	0.5384615384615384	0.9090909090909091	0.8571428571428571	0.8	0.8461538461538461	0.8823529411764706	0.8181818181818182	1	0.8181818181818182	0.7317073170731707	0.7222222222222222	1	0.5	1	1	1	0.75	1	1	1	1	1	1	1	1	1	1	1	1	38	44	36	35	39	42	34	39	33	35	40	39	34	33	30	33	41	36	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	kTotal_euc
MDA_MB_453	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7297297297297297	0.3617021276595745	0.8235294117647058	0.5789473684210527	0.7777777777777778	0.4318181818181818	0.8787878787878788	0.36363636363636365	0.9090909090909091	0.8571428571428571	0.8	0.8461538461538461	0.8823529411764706	0.7647058823529411	1	0.6216216216216216	0.7692307692307693	0.6756756756756757	1	0.5	1	1	1	0.5	1	0.5	1	1	1	1	1	1	1	1	1	1	37	47	34	38	36	44	33	44	33	35	40	39	34	34	30	37	39	37	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	kTotal_euc
SK_BR_3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5116279069767442	0.16363636363636364	0.625	0.3333333333333333	0.5625	0.21153846153846154	0.717948717948718	0.22448979591836735	0.7777777777777778	0.5853658536585366	0.7804878048780488	0.8461538461538461	0.8571428571428571	0.8181818181818182	1	0.7142857142857143	0.6304347826086957	0.5121951219512195	0.75	0.5	1	0.5	0.75	0.5	1	0.5	1	1	1	1	1	1	1	1	0.75	1	43	55	40	45	48	52	39	49	36	41	41	39	35	33	30	35	46	41	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	kTotal_euc
EFM_192C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6842105263157895	0.45454545454545453	0.7027027027027027	0.6216216216216216	0.7368421052631579	0.75	0.8108108108108109	0.5384615384615384	0.9090909090909091	0.7567567567567568	0.8	0.8461538461538461	0.8571428571428571	0.7647058823529411	0.9354838709677419	0.8181818181818182	0.7142857142857143	0.7714285714285715	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.75	1	38	44	37	37	38	36	37	39	33	37	40	39	35	34	31	33	42	35	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	0.9354838709677419	kTotal_euc
