figure_label	tex_file	old_includegraphics_path	new_includegraphics_path	source_file	sha256	caption_start
fig:supp_retained_haematological_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/cll_tpa/CLL_purity_diagnostics.pdf	a60481f7fcd7f9df0f36cde16334b2b8b0bf56c06bd5b781d1f24a03bda59034	Retained haematological supplementary purity assessments.
fig:supp_retained_haematological_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/cll_tpa/CLL_purity_immune_score.pdf	d262d835a3bc89d6b2ec958795a0cd2b213d9c8d23b59273c7a9c96f3efcaf9e	Retained haematological supplementary purity assessments.
fig:supp_retained_haematological_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/cll_tpa/CLL_purity_stromal_scores.pdf	331078632d468c2af33eac65bf4c9367430f9c733e1fafdffc6796bf0f20cee3	Retained haematological supplementary purity assessments.
fig:supp_retained_haematological_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/cll_tpa/CLL_sample_retention_by_project_same_axis.pdf	ded50ae15066d267fda6502612d49ba6eac6318644e1a0c0244d8b99a8f691b8	Retained haematological supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/dlbc_tpa/dlbc_tumour_distribution.pdf	149f25882957ffb7e8fc1778606707ed5dbb26006f35bba531803628f7da241b	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/dlbc_tpa/dlbc_tumour_purity_immune.pdf	bfbbf9bdeef1d19c52794e1d32603604b6c7ddf4c3779962b93b691793d72293	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/dlbc_tpa/dlbc_tumour_purity_stromal.pdf	44d85a5e624bb00de84feba8a6ae736c070f4e21a9cf4087f1aea71ad042d5f7	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/dlbc_tpa/tcga_dlbc_sample_retention_by_project_same_axis_purity0.7.pdf	cdecf79ee47576775623ba47df7f6921f01ae4b05a1efeb4ec4677f18c3bd99f	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_retained_haematological_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/laml_tpa/TCGA-LAML_retention_before_after.pdf	6c149e73c7b3b27a76ccb47cf89df4490c49fffa41cf4fffae78a54a6b3942bb	Retained haematological supplementary purity assessments.
fig:supp_retained_haematological_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/laml_tpa/TCGA-LAML_tumour_purity_diagnostics.pdf	c08fd3b4dd80c6645be348796373b9a42267f307a23062d935d4afb0055a97e9	Retained haematological supplementary purity assessments.
fig:supp_retained_haematological_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/laml_tpa/laml_tumour_immune.pdf	51ebb1f2b3830af914c4fc99447c037e3b51cdc5bbd1274b1325678f2425e10d	Retained haematological supplementary purity assessments.
fig:supp_retained_haematological_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/laml_tpa/laml_tumour_stromal.pdf	f28139337785a9e874819e1cf43ceac887ab53f2b0ca54acfd6d0f97625587d4	Retained haematological supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/mpn_tpa/MPN_purity_distribution.pdf	94f59b12f3293989d88341a309d60723287aea00133f31cbba6a918d117f82d6	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/mpn_tpa/MPN_purity_immune_score.pdf	adea913c7732d91c8bc0a372adfd48726498c69185c32ac0bed95109f1c80e42	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/mpn_tpa/MPN_purity_stromal.pdf	4cf2aa2728103d943658cfaab7fa2fea0fb19b175bcf7f95c95926a55b0b1eae	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/mpn_tpa/MPN_sample_retention_by_project_same_axis.pdf	51190082a824539b77c5ac619419b4bb0e3bf71aef13ca7f9696215da64547ec	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_solid_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/nbl_tpa/nbl_sample_retention.pdf	89061751f4b493ea47c7ec36ff8759aaa244b01a14ea7b17a8857354e03548f4	Solid-tumour supplementary purity assessments.
fig:supp_solid_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/nbl_tpa/nbl_tumour_immune_score.pdf	ffdd59b1e0f2c8cf2542195a34b5256f68b7951abde1583df3b895559b2a7720	Solid-tumour supplementary purity assessments.
fig:supp_solid_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/nbl_tpa/nbl_tumour_purity_distribution.pdf	ff1fb1c2c30d6a38124e6ebc62b591fdd05c396e81dc479b64372ab7619af65a	Solid-tumour supplementary purity assessments.
fig:supp_solid_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/nbl_tpa/nbl_tumour_stromal.pdf	219e7739c99a8b34cf2955eb60a9ce1afe7b7540cd63f41a3e3cd1bbc0dad62c	Solid-tumour supplementary purity assessments.
fig:supp_solid_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/rbl_tpa/rbl_tumour_ImmuneScore.pdf	9673b6890aef1aa0a9e72c88c92139ed95be3abe907802373e9e3d67b2510247	Solid-tumour supplementary purity assessments.
fig:supp_solid_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/rbl_tpa/rbl_tumour_distribution.pdf	5caaa4081efc4e669003baefc86d593d16fd4c23302a9b5e4d460731536697d3	Solid-tumour supplementary purity assessments.
fig:supp_solid_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/rbl_tpa/rbl_tumour_stromalScore.pdf	59ab007f9ef7da376cb905b2b3aa6a6c601e2005244b5463bdace5cd31e3264d	Solid-tumour supplementary purity assessments.
fig:supp_solid_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/rbl_tpa/sample_retention_and_purity_retention.pdf	c9304f81832b91798cf1085e848a4d222af4e26935dc494df33a7f8317189563	Solid-tumour supplementary purity assessments.
