sample_id,cluster,dataset
SRP409177_SRR22373287,C3,TCGA
SRP409177_SRR22373288,C3,TCGA
SRP409177_SRR22373289,C3,TCGA
SRP409177_SRR22373290,C3,TCGA
SRP409177_SRR22373291,C3,TCGA
SRP409177_SRR22373293,C3,TCGA
SRP409177_SRR22373294,C3,TCGA
SRP409177_SRR22373295,C3,TCGA
SRP409177_SRR22373296,C3,TCGA
SRP409177_SRR22373297,C3,TCGA
SRP409177_SRR22373299,C3,TCGA
SRP409177_SRR22373300,C3,TCGA
SRP409177_SRR22373301,C3,TCGA
SRP409177_SRR22373302,C3,TCGA
SRP409177_SRR22373304,C3,TCGA
SRP409177_SRR22373305,C3,TCGA
SRP409177_SRR22373306,C3,TCGA
SRP409177_SRR22373307,C3,TCGA
SRP409177_SRR22373308,C3,TCGA
SRP409177_SRR22373309,C3,TCGA
SRP409177_SRR22373310,C3,TCGA
SRP409177_SRR22373311,C3,TCGA
SRP409177_SRR22373312,C3,TCGA
SRP409177_SRR22373313,C3,TCGA
SRP409177_SRR22373314,C3,TCGA
TARGET-30-PAMZMG-01A-01R,C4,TCGA
TARGET-30-PARVLK-01A-01R,C4,TCGA
TARGET-30-PAIFXV-01A-01R,C4,TCGA
TARGET-30-PAPKWN-01A-01R,C4,TCGA
TARGET-30-PAPEFE-01A-01R,C4,TCGA
TARGET-30-PAPHPE-01A-01R,C4,TCGA
TARGET-30-PATHVK-01A-01R,C4,TCGA
TARGET-30-PANYGR-01A-01R,C4,TCGA
TARGET-30-PAMBMJ-01A-01R,C4,TCGA
TARGET-30-PATCFL-01A-01R,C4,TCGA
TARGET-30-PATDXC-01A-01R,C4,TCGA
TARGET-30-PASYPX-01A-01R,C4,TCGA
TARGET-30-PATBMM-01A-01R,C4,TCGA
TARGET-30-PASXHE-01A-01R,C4,TCGA
TARGET-30-PASXIE-01A-01R,C4,TCGA
TARGET-30-PALUYS-01A-01R,C4,TCGA
TARGET-30-PALKUC-01A-01R,C4,TCGA
TARGET-30-PAPUEB-01A-01R,C4,TCGA
TARGET-30-PAMEZH-01A-01R,C4,TCGA
TARGET-30-PATESI-01A-01R,C4,TCGA
TARGET-30-PATFCY-01A-01R,C4,TCGA
TARGET-30-PASTKC-01A-01R,C4,TCGA
TARGET-30-PASTCN-01A-01R,C4,TCGA
TARGET-30-PASSRS-01A-01R,C4,TCGA
TARGET-30-PASSRN-01A-01R,C4,TCGA
TARGET-30-PASVRU-01A-01R,C4,TCGA
TARGET-30-PAIVHE-01A-01R,C4,TCGA
TARGET-30-PASUCB-01A-01R,C4,TCGA
TARGET-30-PAKYZS-01A-01R,C4,TCGA
TARGET-30-PAITCI-01A-01R,C4,TCGA
TARGET-30-PALIIN-01A-01R,C4,TCGA
TARGET-30-PALZZV-01A-01R,C4,TCGA
TARGET-30-PALBFW-01A-01R,C4,TCGA
TARGET-30-PALETP-01A-01R,C4,TCGA
TARGET-30-PANBJH-01A-01R,C4,TCGA
TARGET-30-PANZRV-01A-01R,C4,TCGA
TARGET-30-PASNPG-01A-01R,C4,TCGA
TARGET-30-PARBAJ-01A-01R,C4,TCGA
TARGET-30-PATHKB-01A-01R,C4,TCGA
TARGET-30-PATGJU-01A-01R,C4,TCGA
TARGET-30-PATAYJ-01A-01R,C4,TCGA
TARGET-30-PASZKE-01A-01R,C4,TCGA
TARGET-30-PASUML-01A-01R,C4,TCGA
TARGET-30-PALEVG-01A-01R,C4,TCGA
TARGET-30-PATYIL-01A-01R,C4,TCGA
TARGET-30-PATYIL-02A-01R,C4,TCGA
TARGET-30-PAUDDK-01A-01R,C4,TCGA
TARGET-30-PAUDDK-02A-01R,C4,TCGA
TARGET-30-PANRHJ-01A-01R,C4,TCGA
TARGET-30-PANUIF-01A-01R,C4,TCGA
TARGET-30-PAMZGT-01A-01R,C4,TCGA
TARGET-30-PANWRR-01A-01R,C4,TCGA
TARGET-30-PANNMS-01A-01R,C4,TCGA
TARGET-30-PASXGP-01A-01R,C4,TCGA
TARGET-30-PAIXIF-01A-01R,C4,TCGA
TARGET-30-PATDWN-01A-01R,C4,TCGA
TARGET-30-PAMVRA-01A-01R,C4,TCGA
TARGET-30-PALTEG-01A-01R,C4,TCGA
TARGET-30-PAPLSD-01A-01R,C4,TCGA
TARGET-30-PATDXG-01A-01R,C4,TCGA
TARGET-30-PANRRW-01A-01R,C4,TCGA
TARGET-30-PARZIP-01A-01R,C4,TCGA
TARGET-30-PASEGA-01A-01R,C4,TCGA
TARGET-30-PASWIJ-01A-01R,C4,TCGA
TARGET-30-PASWYR-01A-01R,C4,TCGA
TARGET-30-PAMNLH-01A-01R,C4,TCGA
TARGET-30-PAPUAR-01A-01R,C4,TCGA
TARGET-30-PAPZYP-01A-01R,C4,TCGA
TARGET-30-PARACM-01A-01R,C4,TCGA
TARGET-30-PASPBZ-01A-01R,C4,TCGA
TARGET-30-PASSWW-01A-01R,C4,TCGA
TARGET-30-PASFIC-01A-01R,C4,TCGA
TARGET-30-PASJZC-01A-01R,C4,TCGA
TARGET-30-PASMDM-01A-01R,C4,TCGA
TARGET-30-PASNML-01A-01R,C4,TCGA
TARGET-30-PARNNC-01A-01R,C4,TCGA
TARGET-30-PARZHA-01A-01R,C4,TCGA
TARGET-30-PASCFC-01A-01R,C4,TCGA
TARGET-30-PASCTR-01A-01R,C4,TCGA
TARGET-30-PATEKG-01A-01R,C4,TCGA
TARGET-30-PATINJ-01A-01R,C4,TCGA
TARGET-30-PALXTB-01A-01R,C4,TCGA
TARGET-30-PALNVP-01A-01R,C4,TCGA
TARGET-30-PAPVRN-01A-01R,C4,TCGA
TARGET-30-PAPVFD-01A-01R,C4,TCGA
TARGET-30-PAISNS-01A-01R,C4,TCGA
TARGET-30-PARAMT-01A-01R,C4,TCGA
TARGET-30-PARFWB-01A-01R,C4,TCGA
TARGET-30-PAMMXF-01A-01R,C4,TCGA
TARGET-30-PAMYCE-01A-01R,C4,TCGA
TARGET-30-PASGAP-01A-01R,C4,TCGA
TARGET-30-PAKZRH-01A-01R,C4,TCGA
TARGET-30-PARJVP-01A-01R,C4,TCGA
TARGET-30-PARFRE-01A-01R,C4,TCGA
TARGET-30-PAPTLV-01A-01R,C4,TCGA
TARGET-30-PANJLH-01A-01R,C4,TCGA
TARGET-30-PANLET-01A-01R,C4,TCGA
TARGET-30-PANRVJ-01A-01R,C4,TCGA
TARGET-30-PALWVJ-01A-01R,C4,TCGA
TARGET-30-PAPTAN-01A-01R,C4,TCGA
TARGET-30-PAPTFZ-01A-01R,C4,TCGA
TARGET-30-PANUKV-01A-01R,C4,TCGA
TARGET-30-PAPKXS-01A-01R,C4,TCGA
TARGET-30-PAPBGH-01A-01R,C4,TCGA
TARGET-30-PAPBZI-01A-01R,C4,TCGA
TARGET-30-PANBMJ-01A-01R,C4,TCGA
TARGET-30-PASXRG-01A-01R,C4,TCGA
TARGET-30-PATEPF-01A-01R,C4,TCGA
TARGET-30-PASUYG-01A-01R,C4,TCGA
TARGET-30-PASWVY-01A-01R,C4,TCGA
TARGET-30-PAIPGU-01A-01R,C4,TCGA
TARGET-30-PASHFA-01A-01R,C4,TCGA
TARGET-30-PARZCJ-02A-01R,C4,TCGA
TARGET-30-PARHAM-02A-01R,C4,TCGA
TARGET-30-PARHAM-01A-01R,C4,TCGA
TARGET-30-PARBAJ-02A-01R,C4,TCGA
TARGET-30-PASNPG-02A-01R,C4,TCGA
TARGET-30-PANZVU-01A-01R,C4,TCGA
TARGET-30-PASXRJ-01A-01R,C4,TCGA
TARGET-30-PARYNK-01A-01R,C4,TCGA
TARGET-30-PASFGG-01A-01R,C4,TCGA
TARGET-30-PASGUT-01A-01R,C4,TCGA
TARGET-30-PASNEF-01A-01R,C4,TCGA
TARGET-30-PASNZU-01A-01R,C4,TCGA
TARGET-30-PASPER-01A-01R,C4,TCGA
TARGET-30-PASRFS-01A-01R,C4,TCGA
TARGET-30-PAPUNH-01A-01R,C4,TCGA
TARGET-30-PARDCK-01A-01R,C4,TCGA
TARGET-30-PARBGP-01A-01R,C4,TCGA
TARGET-30-PATNKP-02A-01R,C4,TCGA
TARGET-30-PAPVEB-04A-01R,C4,TCGA
TARGET-30-PARDIW-01A-01R,C4,TCGA
TARGET-30-PARACS-01A-01R,C4,TCGA
TARGET-30-PATGLU-01A-01R,C4,TCGA
TARGET-30-PATFXV-01A-01R,C4,TCGA
TARGET-30-PASGAP-02A-01R,C4,TCGA
TARGET-30-PAPEAV-01A-01R,C4,TCGA
TARGET-30-PAPTDH-01A-01R,C4,TCGA
TARGET-30-PAPICY-01A-01R,C4,TCGA
TARGET-30-PAPVXS-01A-01R,C4,TCGA
TARGET-30-PASWFB-01A-01R,C4,TCGA
TARGET-30-PARGKK-01A-01R,C4,TCGA
TARGET-30-PASMNT-01A-01R,C4,TCGA
TARGET-30-PAPUWY-01A-01R,C4,TCGA
TARGET-30-PAPCTS-01A-01R,C4,TCGA
TARGET-30-PANBSP-01A-01R,C4,TCGA
TARGET-30-PAPBJE-01A-01R,C4,TCGA
TARGET-30-PANZPV-01A-01R,C4,TCGA
NG-A2798_CCLF_PEDS_0051_T_libLAI2540,C1,DSMZ
NG-A0611_CHP126_libLAB6088,C1,DSMZ
NG-A0611_CHP134_libLAB6074,C1,DSMZ
NG-A0611_GIMEN_libLAB6073,C1,DSMZ
NG-A0611_IMR32_libLAB6079,C1,DSMZ
NG-A0611_KELLY_libLAB6075,C1,DSMZ
NG-A0611_LAN1_libLAB6085,C1,DSMZ
NG-A0611_LAN2_libLAB6083,C1,DSMZ
NG-A0611_LAN5_libLAB6087,C1,DSMZ
NG-A0611_LAN6_libLAB6089,C1,DSMZ
NG-A0611_LS_libLAB6078,C1,DSMZ
NG-A0611_MHHNB11_libLAB6084,C1,DSMZ
NG-A0611_NBLS_libLAB6077,C1,DSMZ
NG-A0611_NGP_libLAB6082,C1,DSMZ
NG-A0611_NMB_libLAB6080,C1,DSMZ
NG-A0611_SHSY5Y_libLAB6081,C1,DSMZ
NG-A0611_SIMA_libLAB6086,C1,DSMZ
NG-A0611_SKNBE2_libLAB6076,C1,DSMZ
