sample_id,organ,sample_name,Cell_Line,group1,group2,Disease,Origin,Stage,Primary.Metastatic,MYCN.amplification
NG-29643_CAL_148_lib581302_7997_4,Breast,NG-29643_CAL_148_lib581302_7997_4,CAL-148,Breast adenocarcinoma,Breast cancer,Breast cancer,Breast adenocarcinoma,invasive,M,NONE
NG-29643_CAL_51_lib581295_7997_4,Breast,NG-29643_CAL_51_lib581295_7997_4,CAL-51,Breast adenocarcinoma,Breast cancer,Breast cancer,Breast adenocarcinoma,invasive,M,NONE
NG-29643_CAL_85_1_lib581300_7997_4,Breast,NG-29643_CAL_85_1_lib581300_7997_4,CAL-85-1,Breast adenocarcinoma,Breast cancer,Breast cancer,Breast adenocarcinoma,invasive,M,NONE
NG-29643_COLO_824_lib581290_7997_4,Breast,NG-29643_COLO_824_lib581290_7997_4,COLO-824,Breast carcinoma,Breast cancer,Breast cancer,Breast carcinoma,invasive,M,NONE
NG-29643_DU_4475_lib581298_7997_4,Breast,NG-29643_DU_4475_lib581298_7997_4,DU-4475,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,invasive,M,NONE
NG-29643_EFM_19_lib581291_7997_4,Breast,NG-29643_EFM_19_lib581291_7997_4,EFM-19,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,invasive,M,NONE
NG-29643_EFM_192A_lib581292_7997_4,Breast,NG-29643_EFM_192A_lib581292_7997_4,EFM-192A,Breast adenocarcinoma,Breast cancer,Breast cancer,Breast adenocarcinoma,invasive,M,NONE
NG-29643_EFM_192B_lib581293_7997_4,Breast,NG-29643_EFM_192B_lib581293_7997_4,EFM-192B,Breast adenocarcinoma,Breast cancer,Breast cancer,Breast adenocarcinoma,invasive,M,NONE
NG-29643_EFM_192C_lib581294_7997_4,Breast,NG-29643_EFM_192C_lib581294_7997_4,EFM-192C,Breast adenocarcinoma,Breast cancer,Breast cancer,Breast adenocarcinoma,invasive,M,NONE
NG-29643_ETCC_006_lib581311_8005_3,Breast,NG-29643_ETCC_006_lib581311_8005_3,ETCC-006,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,in situ,P,NONE
NG-29643_ETCC_007_lib581312_7997_4,Breast,NG-29643_ETCC_007_lib581312_7997_4,ETCC-007,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,in situ,P,NONE
NG-29643_EVSA_T_lib581299_7997_4,Breast,NG-29643_EVSA_T_lib581299_7997_4,EVSA-T,Breast carcinoma,Breast cancer,Breast cancer,Breast carcinoma,invasive,M,NONE
NG-29643_HCC_1143_lib581306_7997_4,Breast,NG-29643_HCC_1143_lib581306_7997_4,HCC-1143,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,invasive,P,NONE
NG-29643_HCC_1599_lib581304_7997_4,Breast,NG-29643_HCC_1599_lib581304_7997_4,HCC-1599,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,invasive,P,NONE
NG-29643_HCC_1937_lib581305_7997_4,Breast,NG-29643_HCC_1937_lib581305_7997_4,HCC-1937,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,invasive,P,NONE
NG-29643_HDQ_P1_lib581303_8005_3,Breast,NG-29643_HDQ_P1_lib581303_8005_3,HDQ-P1,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,invasive,P,NONE
NG-30919_HS_578T_B_lib628473_10098_2,Breast,NG-30919_HS_578T_B_lib628473_10098_2,HS-578T,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast carcinosarcoma,invasive,P,NONE
NG-29643_IPH_926_lib581313_7997_4,Breast,NG-29643_IPH_926_lib581313_7997_4,IPH-926,Breast lobular carcinoma,Breast cancer,Breast cancer,Breast lobular carcinoma,invasive,M,NONE
NG-29643_JIMT_1_B_lib581287_7997_4,Breast,NG-29643_JIMT_1_B_lib581287_7997_4,JIMT-1,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,invasive,M,NONE
NG-29643_KPL_1_lib581296_7997_4,Breast,NG-29643_KPL_1_lib581296_7997_4,KPL-1,Breast adenocarcinoma,Breast cancer,Breast cancer,Breast adenocarcinoma,invasive,M,NONE
NG-29643_MCF_7_lib581315_7997_4,Breast,NG-29643_MCF_7_lib581315_7997_4,MCF-7,Breast adenocarcinoma,Breast cancer,Breast cancer,Breast adenocarcinoma,invasive,M,NONE
NG-29643_MDA_MB_231_lib581314_8005_3,Breast,NG-29643_MDA_MB_231_lib581314_8005_3,MDA-MB-231,Breast carcinoma,Breast cancer,Breast cancer,Breast carcinoma,invasive,M,NONE
NG-29643_MDA_MB_453_lib581289_7997_4,Breast,NG-29643_MDA_MB_453_lib581289_7997_4,MDA-MB-453,Breast carcinoma,Breast cancer,Breast cancer,Breast carcinoma,invasive,M,NONE
NG-30919_MDA_MB_468_B_lib628474_10098_2,Breast,NG-30919_MDA_MB_468_B_lib628474_10098_2,MDA-MB-468,Breast carcinoma,Breast cancer,Breast cancer,Breast carcinoma,invasive,M,NONE
NG-29643_MFM_223_lib581297_7997_4,Breast,NG-29643_MFM_223_lib581297_7997_4,MFM-223,Breast ductal carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,invasive,M,NONE
NG-29643_SK_BR_3_lib581307_7997_4,Breast,NG-29643_SK_BR_3_lib581307_7997_4,SK-BR-3,Breast adenocarcinoma,Breast cancer,Breast cancer,Breast adenocarcinoma,invasive,M,NONE
NG-29643_T_47D_lib581309_8005_3,Breast,NG-29643_T_47D_lib581309_8005_3,T-47D,Breast carcinoma,Breast cancer,Breast cancer,Breast ductal carcinoma,invasive,M,NONE
NG-29643_BT_474_lib581288_7997_4,Breast,NG-29643_BT_474_lib581288_7997_4,BT-474,Breast ductal carcinoma,Breast Cancer,Breast Cancer,Breast ductal carcinoma,invasive,P,NONE
NG-13640_BC3_lib236396_5774_5,Hematologic-Lymphoid,NG-13640_BC3_lib236396_5774_5,BC-3,PEL,LL-100,Primary effusion lymphoma,NA,NONE,NONE,NONE
NG-13640_BCBL_1_lib241208_5808_6,Hematologic-Lymphoid,NG-13640_BCBL_1_lib241208_5808_6,BCBL-1,PEL,LL-100,Primary effusion lymphoma,NA,NONE,NONE,NONE
NG-13640_BJAB_lib227474_5697_7,Hematologic-Lymphoid,NG-13640_BJAB_lib227474_5697_7,BJAB,BURKITT B ALL,LL-100,Burkitt lymphoma / B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE
NG-13640_DAUDI_lib227475_5697_7,Hematologic-Lymphoid,NG-13640_DAUDI_lib227475_5697_7,DAUDI,BURKITT B ALL,LL-100,Burkitt lymphoma / B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE
NG-13640_DERL7_lib236383_5767_8,Hematologic-Lymphoid,NG-13640_DERL7_lib236383_5767_8,DERL-7,M T MAL,LL-100,Mature T-malignancy ,NA,NONE,NONE,NONE
NG-13640_HG_3_lib227479_5697_4,Hematologic-Lymphoid,NG-13640_HG_3_lib227479_5697_4,HG-3,PLL,LL-100,Chronic lymphocytic leukemia / prolymphocytic leukemia ,NA,NONE,NONE,NONE
NG-13640_HH_lib241222_5808_1,Hematologic-Lymphoid,NG-13640_HH_lib241222_5808_1,HH,M T MAL,LL-100,Mature T-malignancy ,NA,NONE,NONE,NONE
NG-13640_HT_1080_lib259823_5972_8,Hematologic-Lymphoid,NG-13640_HT_1080_lib259823_5972_8,HT-1080,S_FISA,LL-100,NONE,NA,NONE,NONE,NONE
NG-13640_HT_1080_lib259823_5988_1,Hematologic-Lymphoid,NG-13640_HT_1080_lib259823_5988_1,HT-1080,S_FISA,LL-100,NONE,NA,NONE,NONE,NONE
NG-13640_JVM_13_lib227481_5697_4,Hematologic-Lymphoid,NG-13640_JVM_13_lib227481_5697_4,JVM-13,PLL,LL-100,Chronic lymphocytic leukemia / prolymphocytic leukemia ,NA,NONE,NONE,NONE
NG-13640_JVM_3_lib227480_5697_4,Hematologic-Lymphoid,NG-13640_JVM_3_lib227480_5697_4,JVM-3,PLL,LL-100,Chronic lymphocytic leukemia / prolymphocytic leukemia ,NA,NONE,NONE,NONE
NG-13640_MEC_1_lib227482_5697_4,Hematologic-Lymphoid,NG-13640_MEC_1_lib227482_5697_4,MEC-1,PLL,LL-100,Chronic lymphocytic leukemia / prolymphocytic leukemia ,NA,NONE,NONE,NONE
NG-13640_MOTN_1_lib250968_5908_5,Hematologic-Lymphoid,NG-13640_MOTN_1_lib250968_5908_5,MOTN-1,M T MAL,LL-100,Mature T-malignancy ,NA,NONE,NONE,NONE
NG-13640_NC_NC_lib259822_5972_8,Hematologic-Lymphoid,NG-13640_NC_NC_lib259822_5972_8,NC-NC,NORMAL,LL-100,DLBCL-Cell_Control,NA,NONE,NONE,NONE
NG-13640_PGA_1_lib227483_5697_4,Hematologic-Lymphoid,NG-13640_PGA_1_lib227483_5697_4,PGA-1,PLL,LL-100,Chronic lymphocytic leukemia / prolymphocytic leukemia ,NA,NONE,NONE,NONE
NG-13640_RAJI_lib227476_5684_6,Hematologic-Lymphoid,NG-13640_RAJI_lib227476_5684_6,RAJI,BURKITT B ALL,LL-100,Burkitt lymphoma / B-acute lymphoblastic leukemia ,NA,NONE,NONE,NONE
NG-13640_RAMOS_lib227477_5697_7,Hematologic-Lymphoid,NG-13640_RAMOS_lib227477_5697_7,RAMOS,BURKITT B ALL,LL-100,Burkitt lymphoma / B-acute lymphoblastic leukemia ,NA,NONE,NONE,NONE
NG-13640_VAL_lib227478_5697_4,Hematologic-Lymphoid,NG-13640_VAL_lib227478_5697_4,VAL,BURKITT B ALL,LL-100,Burkitt lymphoma / B-acute lymphoblastic leukemia ,NA,NONE,NONE,NONE
NG-13640_BONNA12_lib236392_5774_5,Hematologic-Lymphoid,NG-13640_BONNA12_lib236392_5774_5,BONNA-12,HCL,LL-100,Hairy cell leukemia,NA,NONE,NONE,NONE
NG-13640_CCRF_CEM_lib241217_5826_6,Hematologic-Lymphoid,NG-13640_CCRF_CEM_lib241217_5826_6,CCRF-CEM,T_ALL_TLL,LL-100,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE
NG-13640_CRO_AP2_lib241209_5808_6,Hematologic-Lymphoid,NG-13640_CRO_AP2_lib241209_5808_6,CRO-AP2,PEL,LL-100,Primary effusion lymphoma,NA,NONE,NONE,NONE
NG-13640_CRO_AP5_lib227485_5684_6,Hematologic-Lymphoid,NG-13640_CRO_AP5_lib227485_5684_6,CRO-AP5,PEL,LL-100,Primary effusion lymphoma,NA,NONE,NONE,NONE
NG-13640_DND_41_lib241218_5808_7,Hematologic-Lymphoid,NG-13640_DND_41_lib241218_5808_7,DND-41,T_ALL_TLL,LL-100,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE
NG-13640_DOHH2_lib236386_5774_8,Hematologic-Lymphoid,NG-13640_DOHH2_lib236386_5774_8,DOHH-2,DLBCL_GCB,LL-100,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE
NG-13640_GRANTA_519_lib241206_5808_6,Hematologic-Lymphoid,NG-13640_GRANTA_519_lib241206_5808_6,GRANTA-519,MCL,LL-100,Mantle cell lymphoma,NA,NONE,NONE,NONE
NG-13640_HAIRM_lib236393_5774_5,Hematologic-Lymphoid,NG-13640_HAIRM_lib236393_5774_5,HAIR-M,HCL,LL-100,Hairy cell leukemia,NA,NONE,NONE,NONE
NG-13640_HC1_lib236394_5774_5,Hematologic-Lymphoid,NG-13640_HC1_lib236394_5774_5,HC-1,HCL,LL-100,Hairy cell leukemia,NA,NONE,NONE,NONE
NG-13640_HDLM_2_lib227487_5697_4,Hematologic-Lymphoid,NG-13640_HDLM_2_lib227487_5697_4,HDLM-2,HL,LL-100,Hodgkin lymphoma,NA,NONE,NONE,NONE
NG-13640_HPB_ALL_lib241219_5808_7,Hematologic-Lymphoid,NG-13640_HPB_ALL_lib241219_5808_7,HPB-ALL,T_ALL_TLL,LL-100,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE
NG-13640_JEKO1_lib236395_5774_5,Hematologic-Lymphoid,NG-13640_JEKO1_lib236395_5774_5,JEKO-1,MCL,LL-100,Mantle cell lymphoma,NA,NONE,NONE,NONE
NG-13640_JURKAT_lib236382_5794_6,Hematologic-Lymphoid,NG-13640_JURKAT_lib236382_5794_6,JURKAT,T_ALL_TLL,LL-100,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE
NG-13640_JVM2_lib236381_5767_8,Hematologic-Lymphoid,NG-13640_JVM2_lib236381_5767_8,JVM-2,MCL,LL-100,Mantle cell lymphoma,NA,NONE,NONE,NONE
NG-13640_KHYG_1_lib248382_5885_5,Hematologic-Lymphoid,NG-13640_KHYG_1_lib248382_5885_5,KHYG-1,NK MAL,LL-100,Natural killer malignancy,NA,NONE,NONE,NONE
NG-13640_KM_H2_lib248380_5885_5,Hematologic-Lymphoid,NG-13640_KM_H2_lib248380_5885_5,KM-H2,HL,LL-100,Hodgkin lymphoma,NA,NONE,NONE,NONE
NG-13640_KM_H2_lib248380_5904_3,Hematologic-Lymphoid,NG-13640_KM_H2_lib248380_5904_3,KM-H2,HL,LL-100,Hodgkin lymphoma,NA,NONE,NONE,NONE
NG-13640_KMS_12_BM_lib248379_5885_5,Hematologic-Lymphoid,NG-13640_KMS_12_BM_lib248379_5885_5,KMS-12-BM,MM_PCL,LL-100,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE
NG-13640_KOPN_8_lib227470_5697_7,Hematologic-Lymphoid,NG-13640_KOPN_8_lib227470_5697_7,KOPN-8,Pre_B_ALL,LL-100,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE
NG-13640_L_1236_lib241215_5808_7,Hematologic-Lymphoid,NG-13640_L_1236_lib241215_5808_7,L-1236,HL,LL-100,Hodgkin lymphoma,NA,NONE,NONE,NONE
NG-13640_L_363_lib241210_5808_6,Hematologic-Lymphoid,NG-13640_L_363_lib241210_5808_6,L-363,MM_PCL,LL-100,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE
NG-13640_L_428_lib241214_5808_7,Hematologic-Lymphoid,NG-13640_L_428_lib241214_5808_7,L-428,HL,LL-100,Hodgkin lymphoma,NA,NONE,NONE,NONE
NG-13640_LP_1_lib241211_5808_7,Hematologic-Lymphoid,NG-13640_LP_1_lib241211_5808_7,LP-1,MM_PCL,LL-100,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE
NG-13640_MINO_lib248384_5885_5,Hematologic-Lymphoid,NG-13640_MINO_lib248384_5885_5,MINO,MCL,LL-100,Mantle cell lymphoma,NA,NONE,NONE,NONE
NG-13640_MOLT_4_lib241220_5808_2,Hematologic-Lymphoid,NG-13640_MOLT_4_lib241220_5808_2,MOLT-4,T_ALL_TLL,LL-100,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE
NALM_6,Hematologic-Lymphoid,NALM_6,NALM-6,Pre-B-ALL,LL-100,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE
NG-13640_NALM_6_lib227471_5697_7,Hematologic-Lymphoid,NG-13640_NALM_6_lib227471_5697_7,NALM-6,Pre-B-ALL,LL-100,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE
NG-13640_NALM_6_lib227471_5706_1,Hematologic-Lymphoid,NG-13640_NALM_6_lib227471_5706_1,NALM-6,Pre-B-ALL,LL-100,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE
NG-13640_NK_92_lib227486_5684_6,Hematologic-Lymphoid,NG-13640_NK_92_lib227486_5684_6,NK-92,NK MAL,LL-100,Natural killer malignancy,NA,NONE,NONE,NONE
NG-13640_NU_DHL_1_lib227484_5697_4,Hematologic-Lymphoid,NG-13640_NU_DHL_1_lib227484_5697_4,NU-DHL-1,DLBCL_ABC,LL-100,"Diffuse large B-cell lymphoma, activated B-cell",NA,NONE,NONE,NONE
NG-13640_OCILY19_lib236388_5774_8,Hematologic-Lymphoid,NG-13640_OCILY19_lib236388_5774_8,OCI-LY19,DLBCL_GCB,LL-100,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE
NG-13640_OCI_LY_3_lib241204_5808_6,Hematologic-Lymphoid,NG-13640_OCI_LY_3_lib241204_5808_6,OCI-LY3,DLBCL_ABC,LL-100,"Diffuse large B-cell lymphoma, activated B-cell",NA,NONE,NONE,NONE
NG-13640_OCILY7_lib236387_5774_8,Hematologic-Lymphoid,NG-13640_OCILY7_lib236387_5774_8,OCI-LY7,DLBCL_GCB,LL-100,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE
NG-13640_OPM2_lib236378_5767_8,Hematologic-Lymphoid,NG-13640_OPM2_lib236378_5767_8,OPM-2,MM_PCL,LL-100,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE
NG-13640_REC_1_lib241207_5808_6,Hematologic-Lymphoid,NG-13640_REC_1_lib241207_5808_6,REC-1,MCL,LL-100,Mantle cell lymphoma,NA,NONE,NONE,NONE
NG-13640_REH_lib227472_5697_7,Hematologic-Lymphoid,NG-13640_REH_lib227472_5697_7,REH,Pre-B -ALL,LL-100,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE
NG-13640_Ri_1_lib241203_5808_6,Hematologic-Lymphoid,NG-13640_Ri_1_lib241203_5808_6,RI-1,DLBCL_ABC,LL-100,"Diffuse large B-cell lymphoma, activated B-cell",NA,NONE,NONE,NONE
NG-13640_RPMI_8226_lib241212_5808_7,Hematologic-Lymphoid,NG-13640_RPMI_8226_lib241212_5808_7,RPMI-8226,MM_PCL,LL-100,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE
NG-13640_RPMI_8402_lib241221_5808_2,Hematologic-Lymphoid,NG-13640_RPMI_8402_lib241221_5808_2,RPMI-8402,T_ALL_TLL,LL-100,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE
NG-13640_SEM_lib227473_5697_7,Hematologic-Lymphoid,NG-13640_SEM_lib227473_5697_7,SEM,Pre_B_ALL,LL-100,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE
NG-13640_SUDHL4_lib236389_5774_5,Hematologic-Lymphoid,NG-13640_SUDHL4_lib236389_5774_5,SU-DHL-4,DLBCL_GCB,LL-100,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE
NG-13640_SUDHL6_lib236390_5774_5,Hematologic-Lymphoid,NG-13640_SUDHL6_lib236390_5774_5,SU-DHL-6,DLBCL_GCB,LL-100,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE
NG-13640_SUP_HD_1_lib241216_5808_7,Hematologic-Lymphoid,NG-13640_SUP_HD_1_lib241216_5808_7,SUP-HD1,HL,LL-100,Hodgkin lymphoma,NA,NONE,NONE,NONE
NG-13640_U_266_lib241213_5808_7,Hematologic-Lymphoid,NG-13640_U_266_lib241213_5808_7,U-266,MM_PCL,LL-100,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE
NG-13640_U_2932_lib241205_5808_6,Hematologic-Lymphoid,NG-13640_U_2932_lib241205_5808_6,U-2932,DLBCL_ABC,LL-100,"Diffuse large B-cell lymphoma, activated B-cell",NA,NONE,NONE,NONE
NG-13640_U_2940_lib248378_5885_5,Hematologic-Lymphoid,NG-13640_U_2940_lib248378_5885_5,U-2940,PMBL,LL-100,Primary mediastinal B-cell lymphoma,NA,NONE,NONE,NONE
NG-13640_U2946_lib236385_5767_8,Hematologic-Lymphoid,NG-13640_U2946_lib236385_5767_8,U-2946,DLBCL_ABC,LL-100,"Diffuse large B-cell lymphoma, activated B-cell",NA,NONE,NONE,NONE
NG-13640_WSUDLCL2_lib236391_5774_5,Hematologic-Lymphoid,NG-13640_WSUDLCL2_lib236391_5774_5,WSU-DLCL2,DLBCL_GCB,LL-100,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE
NG-13640_YT_lib248385_5885_5,Hematologic-Lymphoid,NG-13640_YT_lib248385_5885_5,YT,NK MAL,LL-100,Natural killer malignancy,NA,NONE,NONE,NONE
NG-13640_DEL_lib250969_5908_5,Hematologic-Lymphoid,NG-13640_DEL_lib250969_5908_5,DEL,ALCL,LL-100,Anaplastic large cell lymphoma,NA,NONE,NONE,NONE
NG-13640_SR_786_lib248387_5885_5,Hematologic-Lymphoid,NG-13640_SR_786_lib248387_5885_5,SR-786,ALCL,LL-100,Anaplastic large cell lymphoma,NA,NONE,NONE,NONE
NG-13640_SU_DHL_1_lib248388_5885_6,Hematologic-Lymphoid,NG-13640_SU_DHL_1_lib248388_5885_6,SU-DHL-1,ALCL,LL-100,Anaplastic large cell lymphoma,NA,NONE,NONE,NONE
NG-13640_SUP_M2_lib248389_5885_6,Hematologic-Lymphoid,NG-13640_SUP_M2_lib248389_5885_6,SUP-M2,ALCL,LL-100,Anaplastic large cell lymphoma,NA,NONE,NONE,NONE
NG-13640_SUP_M2_lib248389_5904_3,Hematologic-Lymphoid,NG-13640_SUP_M2_lib248389_5904_3,SUP-M2,ALCL,LL-100,Anaplastic large cell lymphoma,NA,NONE,NONE,NONE
NG-13640_SET_2_lib259821_5981_7,Hematologic-Myeloid,NG-13640_SET_2_lib259821_5981_7,SET-2,MYELOPRO NEO,LL-100,Myeloproliferative neoplasm,NA,NONE,NONE,NONE
NG-13640_BV_173_lib227468_5681_8,Hematologic-Myeloid,NG-13640_BV_173_lib227468_5681_8,BV-173,CML_lympho,LL-100,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE
NG-13640_CMK_lib259808_5981_3,Hematologic-Myeloid,NG-13640_CMK_lib259808_5981_3,CMK,AML_mega,LL-100,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE
NG-13640_CML_T1_lib259818_5981_7,Hematologic-Myeloid,NG-13640_CML_T1_lib259818_5981_7,CML-T1,CML_lympho,LL-100,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE
NG-13640_ELF_153_lib259809_5981_3,Hematologic-Myeloid,NG-13640_ELF_153_lib259809_5981_3,ELF-153,AML_mega,LL-100,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE
NG-13640_EM_2_lib259814_5981_7,Hematologic-Myeloid,NG-13640_EM_2_lib259814_5981_7,EM-2,CML_myelo,LL-100,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE
NG-13640_EOL_1_lib248390_5885_6,Hematologic-Myeloid,NG-13640_EOL_1_lib248390_5885_6,EOL-1,AML_myelo,LL-100,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE
NG-13640_F_36P_lib248396_5885_1,Hematologic-Myeloid,NG-13640_F_36P_lib248396_5885_1,F-36P,AML_ery,LL-100,"Acute myeloid leukemia, erythroid",NA,NONE,NONE,NONE
NG-13640_HEL_lib248397_5885_1,Hematologic-Myeloid,NG-13640_HEL_lib248397_5885_1,HEL,AML_ery,LL-100,"Acute myeloid leukemia, erythroid",NA,NONE,NONE,NONE
NG-13640_HL60_lib236384_5767_8,Hematologic-Myeloid,NG-13640_HL60_lib236384_5767_8,HL-60,AML_myelo,LL-100,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE
NG-13640_K_562_RNA_lib206692_5568_1,Hematologic-Myeloid,NG-13640_K_562_RNA_lib206692_5568_1,K-562,CML_myelo,LL-100,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE
