id	filename	md5	size	state
0b0286b3-ecee-450e-ab37-eed9db15b9e7	5d19132c-f26a-44e3-b580-89b202eb917a.rna_seq.augmented_star_gene_counts.tsv	eac879716e4837ada0f4a5849afea41c	4268538	released
0fffc9cc-b598-4976-871f-d7d3d1dc801e	ac467659-d0d2-42be-9ca1-aec806cc910c.rna_seq.augmented_star_gene_counts.tsv	e970b3516eb89cc5c14d0b3818b1fd8c	4253285	released
2497d1d3-f95a-4cf1-81c7-8caa2926dc56	e96681e7-4053-46b8-bf45-a2985fb95e20.rna_seq.augmented_star_gene_counts.tsv	aa8151b2b1e74c6cbeb1a488c3268a24	4230798	released
4999385f-7092-4797-8ea2-477af79d782d	7bb1470c-0435-4cf1-bfe2-b528b3e0b3c7.rna_seq.augmented_star_gene_counts.tsv	ef3021e828412ff594fc1e41d110ae9a	4231367	released
cdfe9b28-f088-4598-967d-4fc8394d945d	ab7525ee-f8de-4e99-a722-522ed4fbf6f1.rna_seq.augmented_star_gene_counts.tsv	f3578566af6e7e4164495d39ef646390	4249880	released
cb0e65b0-99b8-4420-9ad8-cac96a80e30e	8b50c617-a404-4555-9ab2-5c4de974fc8e.rna_seq.augmented_star_gene_counts.tsv	2034e4fae9221dd3df978afeb9595ddf	4230216	released
a05fa1a0-0ccf-4a80-9f42-a3ffbceac4eb	205a0f39-8558-45e3-8909-d6fcfae8f347.rna_seq.augmented_star_gene_counts.tsv	3119c211bc60e1c0233045d06b5af66c	4263072	released
6250e06e-6f92-415c-9315-f4862760fc13	b3e278b7-0bc4-474b-a0c3-061cf8253457.rna_seq.augmented_star_gene_counts.tsv	f8b3673463cdddaacca05f2a6357a0b4	4263596	released
cd2a9766-12ba-484e-bebf-6c2e51c68cc4	9602f466-e90a-4744-961d-8b506b06b169.rna_seq.augmented_star_gene_counts.tsv	9924050347222e3890e367d1093898de	4243194	released
f883bbed-8902-45f2-a381-5287a1f8aaf4	c6231a14-f2ec-4091-b94b-2a0d840db27d.rna_seq.augmented_star_gene_counts.tsv	2447dbf38048968ae2ab515c8cdd9e78	4264748	released
ec78e030-909c-4d52-ab39-522e30b9bbf4	012e9815-bdd1-4653-8598-d2741a33eb1e.rna_seq.augmented_star_gene_counts.tsv	b669899fe762c3390635a613791701d4	4230945	released
80a39173-599d-43d3-94f9-066cc2261c45	56b2ea78-67c5-4f3d-baee-6d2fd71971a3.rna_seq.augmented_star_gene_counts.tsv	f505538f759e84c873bff16f2dc8e642	4265119	released
95180ba5-5c31-49a5-89e8-ef8574044d9a	c9dc633b-5c74-46a1-8965-38508959bc11.rna_seq.augmented_star_gene_counts.tsv	ac1f6023d705c3e6f3cd59fea3ebbf3b	4244420	released
adadf6ed-1877-4529-b64a-41fd47fcf561	67904af5-54d8-4c97-a850-c92a390c6324.rna_seq.augmented_star_gene_counts.tsv	f3d607175b0ce8a1c19c0e2c1cb28d8f	4273461	released
dc85e1a1-79b0-4059-bb98-237ec8f003d8	3159727f-1996-4ef3-bcd5-3f01b2539b70.rna_seq.augmented_star_gene_counts.tsv	187ea90c0ae4978573191f80de7f13d8	4270224	released
daec6a48-5dd1-4a54-b32f-a98026693e15	3323c48c-ca18-4c27-81b1-8bc556b608cf.rna_seq.augmented_star_gene_counts.tsv	d5c14f143343d1914b0e24924e920ace	4259070	released
f946075f-6ef8-4984-b002-900236dbd3be	bbd14b1c-9ca2-4a0d-88fc-9d5b1f275fe1.rna_seq.augmented_star_gene_counts.tsv	e145e820789d078de05550652e676676	4268208	released
96561d7f-4d74-457d-8ff2-98d2d7157568	283afbe7-d0d8-4a17-b62c-b4d553075db3.rna_seq.augmented_star_gene_counts.tsv	c10da0e650c12b179b8590803d3ca740	4242842	released
eaecd8ef-fc93-4bed-80d0-2496f4953c45	e1bfada3-68a0-417a-b12d-56599a4a3e50.rna_seq.augmented_star_gene_counts.tsv	115633b0b6ec76698316efbc7132d7ab	4237346	released
8c539650-2438-4030-9355-d0fc218c1579	dce50242-0365-4509-af1a-d3d9b4f1374e.rna_seq.augmented_star_gene_counts.tsv	ec6502ba7f5721281f1806b9f7967566	4240628	released
1fa4775c-97a0-4970-81b1-8978d713f333	52dbdf4b-a88d-4ffc-8208-08c32da9f256.rna_seq.augmented_star_gene_counts.tsv	f51cca185017658ec9aad7b21fa20404	4237872	released
9c89f980-dac3-4fa5-806d-19ebfbc90bd4	f534423e-b298-426e-a77b-7d1c951a03e9.rna_seq.augmented_star_gene_counts.tsv	2b0fc6ba3fe298745fc25e130eca5c25	4300523	released
2c014c46-7727-489e-b38e-ba48908353c7	524db55b-d419-4426-a608-c479514bbd0f.rna_seq.augmented_star_gene_counts.tsv	061cb9f0f0cc114624351bec2bf8d5a7	4270424	released
6b73e53a-6ea3-4057-b789-70aad686beef	7bc6dedd-f7c7-4699-82bc-535b7dbb23a7.rna_seq.augmented_star_gene_counts.tsv	22ca6d9e018a6a5e1cfea58b1f8c8bbb	4267719	released
6db8b2db-c9d6-4e2f-a752-c916bfeb7e32	ee0253c1-4364-4752-9c04-047d6b8eb855.rna_seq.augmented_star_gene_counts.tsv	21516ca58e666fad6cc51ef2e7255556	4271134	released
7950624f-4a23-40a8-98ca-65aeda725c72	ae72e06a-0ca8-4064-8310-71b78988210b.rna_seq.augmented_star_gene_counts.tsv	35c8873cdf935f08119a4dce7f8f2277	4261384	released
e8349cf7-6ce1-4175-ae1b-8b50c3c1aa66	f166603b-14a1-46f6-a774-0a1df38643e9.rna_seq.augmented_star_gene_counts.tsv	d170e0ea946ce863d6fb7ae7c0e81f07	4266904	released
42356fe2-5745-4b56-ac1d-98bfe917c2ce	efcf8d5b-7254-4ecd-8b18-0850657e189a.rna_seq.augmented_star_gene_counts.tsv	e0b1288b3b75f94030a04a60c4c6b313	4249934	released
3dac5610-7a93-4ec0-b119-fc8e82432d24	dad30bf4-32ac-478c-b141-829926a5f194.rna_seq.augmented_star_gene_counts.tsv	ff6030437a6e582ea2ded0589223e6a0	4261724	released
