Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
NG-13640_BV_173_lib227468_5681_8_1	(1, 1.0469746191795244)	(2, 0.00810136463487296)	(3, 0.0)	(4, 0.003932373098151132)	(5, 1.971820321422487e-05)	(6, 0.0)	(7, 0.00028450550351953027)	(8, 5.633772346921391e-06)	(9, 0.0)	(10, 0.0)	(15, 1.5774562571379897e-05)	(20, 6.704189092836455e-05)	(25, 0.0004766171405495497)	(30, 0.00021802698982585785)	(35, 0.0012816832089246164)	(40, 0.0010467549020579945)	(45, 0.0015904139335359087)	(50, 0.002159424940574969)	(55, 0.0011030926255272083)	(60, 0.0012766128138123874)	(65, 0.002069284583024227)	(70, 0.0016940753447192624)	(75, 0.001590977310770601)	(80, 0.002465338779012801)	(85, 0.0013357674234550619)	(90, 0.00046929323649855194)	(95, 0.001486189145117863)	(100, 0.0023881560978599777)	(105, 4.7323687714139685e-05)	(110, 0.0003814063878865782)	(115, 0.0029808289487561084)	(120, 0.001794919869729155)	(125, 0.002859139466062606)	(130, 0.0025763240942471522)	(135, 0.0008890092763441955)	(140, 0.0018771729459942077)	(145, 0.001243373556965551)	(150, 0.0005760532224727123)
NG-13640_BV_173_lib227468_5681_8_2	(1, 1.0019382430382349)	(2, 0.000416899153672183)	(3, 0.000129576763979192)	(4, 0.014628089898781392)	(5, 0.0)	(6, 0.0005295746006106108)	(7, 0.001974637207595948)	(8, 0.0)	(9, 1.971820321422487e-05)	(10, 0.0022585793338807856)	(15, 0.0005971798687736675)	(20, 0.0018523843476677534)	(25, 0.0028444916579606107)	(30, 0.002790407443430165)	(35, 0.002149284150350511)	(40, 0.0029340686382766604)	(45, 0.002032665062769238)	(50, 0.004162231009905524)	(55, 0.003849556644651386)	(60, 0.0027785765215016306)	(65, 0.0017081597755865658)	(70, 0.0027047741037569597)	(75, 0.0029695614040622653)	(80, 0.0013819643566998173)	(85, 0.00396110533712043)	(90, 0.0015509775271074589)	(95, 0.0011070362661700533)	(100, 0.002332945128860148)	(105, 0.0022653398606970916)	(110, 0.0031216732574291433)	(115, 0.0007673197936506935)	(120, 0.0030946311501639204)	(125, 0.00021070308577486005)	(130, 0.0027306894565527983)	(135, 0.00046140595521286195)	(140, 0.002761675204460866)	(145, 0.0013746404526488194)	(150, 0.00024929442635127156)
NG-13640_CCRF_CEM_lib241217_5826_6_1	(1, 0.8578006266054502)	(2, 0.0032915817060478214)	(3, 0.012814890073879223)	(4, 0.0)	(5, 0.0027424617836852203)	(6, 0.0011358937822586383)	(7, 0.00011609964072809286)	(8, 7.844570319465734e-05)	(9, 6.275656255572587e-05)	(10, 0.0001688151532749026)	(15, 0.0003426508315542632)	(20, 0.0005547680129926167)	(25, 0.009789396193067677)	(30, 0.0014659933013017562)	(35, 0.0008949085820446509)	(40, 0.0003006039346419269)	(45, 0.0002623224314829341)	(50, 0.0007424101350342369)	(55, 4.2674462537893584e-05)	(60, 0.0017433773077980648)	(65, 0.00045937803790791333)	(70, 0.00024537815959288815)	(75, 0.0012344215854711278)	(80, 0.0011245976009986076)	(85, 0.0004493369878989972)	(90, 0.001271447957379006)	(95, 0.0006947151474918854)	(100, 0.00030813472214861397)	(105, 0.00015249844701041384)	(110, 3.6398806282321e-05)	(115, 0.0009451138320892315)	(120, 0.0003708912847043399)	(125, 0.0022410368488649706)	(130, 0.001249483160484502)	(135, 0.00031315524715307206)	(140, 0.008466487854392976)	(145, 0.0021167788550046336)	(150, 5.961873442793958e-05)
NG-13640_CCRF_CEM_lib241217_5826_6_2	(1, 0.6533240566582563)	(2, 0.0)	(3, 0.0)	(4, 0.0006683573912184805)	(5, 4.392959378900811e-05)	(6, 0.0018983860173107073)	(7, 1.2551312511145175e-05)	(8, 0.0032476521122588135)	(9, 0.0)	(10, 0.004004496256680867)	(15, 0.004734982644829517)	(20, 0.006186541936743456)	(25, 0.0029439103494891)	(30, 0.013404801761903045)	(35, 0.010229319696583316)	(40, 0.005097088010776055)	(45, 0.0004248619285022641)	(50, 0.010022850605774979)	(55, 5.1460381295695205e-05)	(60, 0.0034716930405827547)	(65, 0.0047776571073674095)	(70, 0.0027525028336941367)	(75, 0.005678213780042077)	(80, 0.0031516345715485532)	(85, 0.0038212470940181477)	(90, 0.008372980576184946)	(95, 0.0005999527380327394)	(100, 0.004013909741064227)	(105, 0.005378864976651264)	(110, 0.015668430973288076)	(115, 0.012751505945697938)	(120, 0.003990062247293051)	(125, 0.009244669230083977)	(130, 0.005879662345845957)	(135, 0.0029734059338902916)	(140, 0.005842635973938078)	(145, 0.008962892264208768)	(150, 7.844570319465734e-06)
NG-13640_CMK_lib259808_5981_3_1	(1, 0.486239550253775)	(2, 0.007940988954980566)	(3, 0.0)	(4, 0.012649402394879208)	(5, 0.0)	(6, 2.229362424194432e-06)	(7, 0.0)	(8, 3.566979878711091e-05)	(9, 0.0)	(10, 0.004085083706093878)	(15, 0.0011427711786420659)	(20, 0.00028803362520592066)	(25, 0.0002300702021768654)	(30, 0.0005564488610789302)	(35, 0.0014107405420302366)	(40, 0.0026551706472155686)	(45, 0.0016269886971770967)	(50, 0.00079677413040709)	(55, 0.0005461937939276359)	(60, 0.002223120209406688)	(65, 0.008490749728786915)	(70, 0.0006215462438654076)	(75, 0.017851396675494496)	(80, 0.008668206977752791)	(85, 0.0014196579917270145)	(90, 0.015103930423917278)	(95, 0.01358528874055603)	(100, 0.0014080653071212035)	(105, 0.001017481010402339)	(110, 0.003478251254228153)	(115, 0.0009711102719790946)	(120, 0.0006500820828950965)	(125, 0.00020510134302588776)	(130, 0.0006456233580467075)	(135, 0.0017919615165674844)	(140, 0.0004717330889595419)	(145, 0.0079035356662541)	(150, 0.0007301161939236765)
NG-13640_CMK_lib259808_5981_3_2	(1, 0.4648555058809021)	(2, 0.04091102984639203)	(3, 0.001908334235110434)	(4, 8.471577211938842e-05)	(5, 0.0025927484993381244)	(6, 0.017166090666297127)	(7, 0.0)	(8, 0.019526985473519033)	(9, 0.006121829216837911)	(10, 0.008625849091693097)	(15, 0.005214478710190777)	(20, 0.008570560903573075)	(25, 0.005310787166915977)	(30, 0.010197995473235012)	(35, 0.01235245131997651)	(40, 0.007493332980202325)	(45, 0.007701555430622085)	(50, 0.00863253717896568)	(55, 0.003958901792884472)	(60, 0.0068000012662778565)	(65, 0.005796342302905523)	(70, 0.004402990787784004)	(75, 0.004974599313347456)	(80, 0.009110958355197806)	(85, 0.005871248880358457)	(90, 0.00722313425438996)	(95, 0.005092755521829761)	(100, 0.00953409134330991)	(105, 0.00472089786947413)	(110, 0.005058869212982006)	(115, 0.01257627930736563)	(120, 0.006641270661675213)	(125, 0.00874489704514508)	(130, 0.0064441950233764264)	(135, 0.0031960139713251377)	(140, 0.006155715525685665)	(145, 0.19317068707656884)	(150, 0.000428037585445331)
NG-13640_CML_T1_lib259818_5981_7_1	(1, 0.7047281113722328)	(2, 0.0)	(3, 0.000994809575349484)	(4, 0.031289834355099896)	(5, 0.0)	(6, 0.002481332808079948)	(7, 0.002167182415864322)	(8, 0.00015935164822531776)	(9, 0.0)	(10, 0.0003232562006856446)	(15, 0.0)	(20, 0.0)	(25, 0.000751229198776498)	(30, 0.000647422982218291)	(35, 0.003967856040810413)	(40, 0.00012884718985075694)	(45, 0.0003050445837456083)	(50, 0.0001557093248373105)	(55, 2.7317425410054476e-05)	(60, 0.0006856673777923673)	(65, 0.0007380257764949717)	(70, 0.0005345109571900659)	(75, 0.00011700963883973333)	(80, 0.002388453561685763)	(85, 0.000247222699960993)	(90, 0.0016399561054502702)	(95, 0.003421962823032824)	(100, 0.0010612819771806164)	(105, 0.0005131123072855232)	(110, 0.002594700123531674)	(115, 0.0006301219461252566)	(120, 6.009833590211984e-05)	(125, 0.0017000544413523903)	(130, 0.0)	(135, 0.00034283368889618366)	(140, 0.00019304313956438495)	(145, 1.0471679740520883e-05)	(150, 0.0010483062001108404)
NG-13640_CML_T1_lib259818_5981_7_2	(1, 0.7583180706704072)	(2, 0.05460753339469889)	(3, 0.0)	(4, 0.005267710199905505)	(5, 0.001176925744749847)	(6, 0.009950372205612342)	(7, 0.0)	(8, 0.00017073390881284045)	(9, 0.010143870635600228)	(10, 0.004630758897427734)	(15, 0.005233108127719436)	(20, 0.00371562514619091)	(25, 0.004015206244854507)	(30, 0.004614823732605203)	(35, 0.004645328190979763)	(40, 0.0034811505780879422)	(45, 0.004271990043709019)	(50, 0.00282826411078764)	(55, 0.004083499808379644)	(60, 0.002274630955810536)	(65, 0.007208613275289875)	(70, 0.0020875065917516627)	(75, 0.002683481756114351)	(80, 0.004029775538406536)	(85, 0.004346202382739667)	(90, 0.001640411395873771)	(95, 0.005785375411426036)	(100, 0.0014482788371563882)	(105, 0.0057266429467944194)	(110, 0.0023829900766037517)	(115, 0.005818611612341603)	(120, 0.0022263701709194397)	(125, 0.00419732241425487)	(130, 0.003598160216927675)	(135, 0.0050942445485516585)	(140, 0.0028851754137252535)	(145, 0.0034961751620634714)	(150, 0.00417728963562083)
NG-13640_CRO_AP2_lib241209_5808_6_1	(1, 0.25097927003364684)	(2, 0.1194224870646417)	(3, 0.00020184249547375624)	(4, 0.001368373388432377)	(5, 0.0)	(6, 0.0)	(7, 0.00022855694340410634)	(8, 0.0015820889718751775)	(9, 0.00021371558344280073)	(10, 0.0)	(15, 0.0002451792665607686)	(20, 0.0006850771758138668)	(25, 0.0014057736155348671)	(30, 0.0023348427491125976)	(35, 0.0013517510652757147)	(40, 0.0038302581788137507)	(45, 0.0007794682251677705)	(50, 0.00042743116688560146)	(55, 0.0009053229576396419)	(60, 0.0011611880033725506)	(65, 0.00045236465162059485)	(70, 0.0003371956983208634)	(75, 0.0009130404648195209)	(80, 0.0017720583793798892)	(85, 0.0005752511121002052)	(90, 0.021339501006763656)	(95, 0.002571117199696583)	(100, 0.0005805940016862753)	(105, 0.0019186910157975889)	(110, 0.18230057998550592)	(115, 0.0027569310264121292)	(120, 0.003933554044144438)	(125, 0.0010472063588697236)	(130, 0.0026221714779634743)	(135, 0.00337908083599006)	(140, 0.0021591210471707395)	(145, 0.0010038695877827113)	(150, 0.004921394963168939)
NG-13640_CRO_AP2_lib241209_5808_6_2	(1, 0.29064725693822446)	(2, 0.0058178131048317976)	(3, 5.9365439845222425e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.005494271457675335)	(8, 0.0)	(9, 0.0)	(10, 6.0552748642126867e-05)	(15, 0.000730788564494688)	(20, 0.00010567048292449592)	(25, 0.00099555842620438)	(30, 0.0012401440383666964)	(35, 0.0007301949100962359)	(40, 0.00067795332303244)	(45, 0.00012882300446413267)	(50, 0.0004149644245181048)	(55, 0.0008536750249742985)	(60, 0.0)	(65, 0.00027486198648337984)	(70, 0.0008352717386222796)	(75, 0.0007462235788544459)	(80, 0.0002766429496787365)	(85, 0.0003217606839611055)	(90, 0.0008233986506532351)	(95, 0.001382027439596778)	(100, 2.1371558344280074e-05)	(105, 0.000455332923612856)	(110, 0.000955783581508081)	(115, 0.0016919150355888394)	(120, 0.00063521020634388)	(125, 0.0013784655132060646)	(130, 0.001382027439596778)	(135, 0.0014520786586141405)	(140, 0.001816582459263806)	(145, 0.0005829686192800841)	(150, 0.0008934498696705975)
NG-13640_CRO_AP5_lib227485_5684_6_1	(1, 0.09716689083962383)	(2, 0.00758901133442984)	(3, 0.0)	(4, 0.021211781884386178)	(5, 0.0)	(6, 3.4045320015794554e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0001841542309945251)	(10, 0.00035530933980120133)	(15, 0.0010711895688605905)	(20, 0.001146398775804573)	(25, 0.002237396530856171)	(30, 0.0008851783204106584)	(35, 0.0007050476272361818)	(40, 0.0011662069619955806)	(45, 0.0005543197104389822)	(50, 0.0006149822806489435)	(55, 0.000378831560903023)	(60, 0.002447549006226394)	(65, 0.0011525888339892628)	(70, 0.00019127279790691847)	(75, 0.000832562825840794)	(80, 0.0008926063902322864)	(85, 0.0016883383698741753)	(90, 0.0014100952544723636)	(95, 0.0004794200064042342)	(100, 0.0035270951536363155)	(105, 0.003011153803942411)	(110, 0.0006366474842953581)	(115, 0.0035599024620151724)	(120, 0.004568881946119629)	(125, 0.0009780291931810073)	(130, 0.006473872352457951)	(135, 0.002282893458513642)	(140, 0.0017161936317052799)	(145, 0.004115769687000327)	(150, 0.00012147989187453966)
NG-13640_CRO_AP5_lib227485_5684_6_2	(1, 0.13274889279976765)	(2, 5.2615494569864314e-05)	(3, 0.005383803106134057)	(4, 0.0004982996838675385)	(5, 0.002183543024649369)	(6, 9.13033582241763e-05)	(7, 0.0016372703898504834)	(8, 0.0019885561918316363)	(9, 0.0016202477298425861)	(10, 0.004708158255275152)	(15, 0.005303022846823853)	(20, 0.007323148335397408)	(25, 0.0022739178741458415)	(30, 0.001565775217817315)	(35, 0.0016050820872900958)	(40, 0.0013150778613373732)	(45, 0.0013543847308101543)	(50, 0.0028737345122422948)	(55, 0.001852993917586927)	(60, 0.004213882109227662)	(65, 0.00130176923624029)	(70, 0.0033240612451784866)	(75, 0.0008511330003948638)	(80, 0.002433930878220076)	(85, 0.0012485347358519566)	(90, 0.0009820527310010557)	(95, 0.001943987772901869)	(100, 0.0013831685013689623)	(105, 0.001397405635193749)	(110, 0.000640980525024641)	(115, 0.005308903402099309)	(120, 0.0005246074311524706)	(125, 0.005122273147830907)	(130, 0.0015899164447376057)	(135, 0.0007567346130783426)	(140, 0.001219441462383914)	(145, 0.006949268821042137)	(150, 0.000606625702099612)
NG-13640_DAUDI_lib227475_5697_7_1	(1, 1.1042592001667835)	(2, 0.03704617524897719)	(3, 0.0)	(4, 0.01621862673883737)	(5, 0.0)	(6, 0.00039038907544534)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000620543828879533)	(15, 0.0021238331044750214)	(20, 0.0009276110568790766)	(25, 0.0)	(30, 0.0014549276438612147)	(35, 0.10099540182849504)	(40, 0.007072451638441099)	(45, 0.06363108861654299)	(50, 0.06727510843420739)	(55, 0.09897819738194015)	(60, 0.20770155489346737)	(65, 0.2386011415500969)	(70, 0.16104365100486875)	(75, 0.001054050503702418)	(80, 0.0013191654728481339)	(85, 0.0004917737010087566)	(90, 0.0006112211046897935)	(95, 0.007222780566000648)	(100, 0.0013815111908670166)	(105, 0.0008000062695320176)	(110, 4.4865610163121165e-05)	(115, 0.001041231757941526)	(120, 0.001590107144612437)	(125, 0.0011600964913607043)	(130, 0.0033014097036914874)	(135, 0.006263705314981201)	(140, 0.000156155630178136)	(145, 0.0009043042464047278)	(150, 0.0)
NG-13640_DAUDI_lib227475_5697_7_2	(1, 1.0648328168981136)	(2, 1.748010785576149e-05)	(3, 0.0)	(4, 2.913351309293582e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0012527410629962403)	(8, 0.0)	(9, 1.456675654646791e-05)	(10, 0.0013383935914894716)	(15, 0.001834828654593098)	(20, 0.001650122181583885)	(25, 0.003385314221399142)	(30, 0.004206296620358074)	(35, 0.030528425699825584)	(40, 0.007588114820186063)	(45, 0.004430042000911821)	(50, 0.0061582419975847735)	(55, 0.00018645448379478924)	(60, 0.005113514218072095)	(65, 0.007901008750804194)	(70, 0.0)	(75, 0.006451907809561567)	(80, 0.0044987970918111495)	(85, 0.0012340956146167613)	(90, 0.0033963849563744576)	(95, 0.004605425749731294)	(100, 0.0)	(105, 0.0002511308828611068)	(110, 0.004518025210452487)	(115, 0.000965484623899893)	(120, 0.006476379960559633)	(125, 0.0066523463796409645)	(130, 0.006122699111611392)	(135, 4.25349291156863e-05)	(140, 0.008750541992594202)	(145, 0.0027280621660225103)	(150, 0.010064172097954679)
