analysis.workflow_type	cases.0.project.project_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.0.sample_type	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.submitter_id	data_category	data_type	experimental_strategy	file_id	file_name	id
STAR - Counts	TARGET-NBL	TARGET-30-PASZKE-01A-01R	Primary Tumor	TARGET-30-PASZKE-01A	Tumor	TARGET-30-PASZKE	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	2ad04cac-9a3f-40ae-909c-e0c2760a8815	fe590825-6960-497d-8db1-00a65c36c259.rna_seq.augmented_star_gene_counts.tsv	2ad04cac-9a3f-40ae-909c-e0c2760a8815
STAR - Counts	TARGET-NBL	TARGET-30-PAKYZS-01A-01R	Primary Tumor	TARGET-30-PAKYZS-01A	Tumor	TARGET-30-PAKYZS	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	4d91669f-91f3-4244-9653-d629333110d2	513b2a51-c26f-4ed6-90aa-cf56073ffb9b.rna_seq.augmented_star_gene_counts.tsv	4d91669f-91f3-4244-9653-d629333110d2
STAR - Counts	TARGET-NBL	TARGET-30-PALCBW-01A-01R	Primary Tumor	TARGET-30-PALCBW-01A	Tumor	TARGET-30-PALCBW	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	bf25beb0-9446-408f-b1f3-c32e0bd223d3	1fec633d-4f96-4b9c-b161-648984cf8a91.rna_seq.augmented_star_gene_counts.tsv	bf25beb0-9446-408f-b1f3-c32e0bd223d3
STAR - Counts	TARGET-NBL	TARGET-30-PATYIL-01A-01R	Primary Tumor	TARGET-30-PATYIL-01A	Tumor	TARGET-30-PATYIL	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	c0104b35-637e-4871-9246-e52b905ee4e1	99efd5d4-7c98-4bfc-a612-a321f0a4390a.rna_seq.augmented_star_gene_counts.tsv	c0104b35-637e-4871-9246-e52b905ee4e1
STAR - Counts	TARGET-NBL	TARGET-30-PAUDDK-02A-01R	Recurrent Tumor	TARGET-30-PAUDDK-02A	Tumor	TARGET-30-PAUDDK	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	7d6ef3fb-8c4c-456e-abce-f9a9c712904b	d1d037c4-899f-409c-beb1-ef897a12d03b.rna_seq.augmented_star_gene_counts.tsv	7d6ef3fb-8c4c-456e-abce-f9a9c712904b
STAR - Counts	TARGET-NBL	TARGET-30-PANUIF-01A-01R	Primary Tumor	TARGET-30-PANUIF-01A	Tumor	TARGET-30-PANUIF	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	31b1b0d4-bb38-4151-a215-5b2408c313ea	dcacd9a2-22af-487c-811b-e11791f317a7.rna_seq.augmented_star_gene_counts.tsv	31b1b0d4-bb38-4151-a215-5b2408c313ea
STAR - Counts	TARGET-NBL	TARGET-30-PALETP-01A-01R	Primary Tumor	TARGET-30-PALETP-01A	Tumor	TARGET-30-PALETP	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	5d0732e5-a6c1-43c5-ab71-2911ecab3a6e	c1c0ea05-d0c8-4467-916a-9902b1336bf6.rna_seq.augmented_star_gene_counts.tsv	5d0732e5-a6c1-43c5-ab71-2911ecab3a6e
STAR - Counts	TARGET-NBL	TARGET-30-PAMBMJ-01A-01R	Primary Tumor	TARGET-30-PAMBMJ-01A	Tumor	TARGET-30-PAMBMJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	b11b1553-215c-49b4-8d6b-bbce1cc3ee37	94df48cb-27fc-4607-81cd-b65d74caf0a2.rna_seq.augmented_star_gene_counts.tsv	b11b1553-215c-49b4-8d6b-bbce1cc3ee37
STAR - Counts	TARGET-NBL	TARGET-30-PANZVU-01A-01R	Primary Tumor	TARGET-30-PANZVU-01A	Tumor	TARGET-30-PANZVU	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	bd2664e8-d7e2-436d-a97b-2192c3ff0c2f	ebac3706-61fa-4311-8c30-9272ff410be0.rna_seq.augmented_star_gene_counts.tsv	bd2664e8-d7e2-436d-a97b-2192c3ff0c2f
STAR - Counts	TARGET-NBL	TARGET-30-PAMVRA-01A-01R	Primary Tumor	TARGET-30-PAMVRA-01A	Tumor	TARGET-30-PAMVRA	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	14947fd3-4a7a-4c0c-aac0-e3dadcef5e02	ff28e0f7-a73d-46fa-a2e7-27f616f1bd6b.rna_seq.augmented_star_gene_counts.tsv	14947fd3-4a7a-4c0c-aac0-e3dadcef5e02
STAR - Counts	TARGET-NBL	TARGET-30-PASWVY-01A-01R	Primary Tumor	TARGET-30-PASWVY-01A	Tumor	TARGET-30-PASWVY	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	923d4ae4-76a0-4f05-874f-fcd2e4bedfd7	bb6ddfda-3f6d-465f-b707-7a19e16fecb1.rna_seq.augmented_star_gene_counts.tsv	923d4ae4-76a0-4f05-874f-fcd2e4bedfd7
STAR - Counts	TARGET-NBL	TARGET-30-PASNPG-01A-01R	Primary Tumor	TARGET-30-PASNPG-01A	Tumor	TARGET-30-PASNPG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	8397b2ce-fdde-454d-b76a-2877be305b2a	dceab63f-e8a7-42ae-a8cb-9bbc01c0d6bf.rna_seq.augmented_star_gene_counts.tsv	8397b2ce-fdde-454d-b76a-2877be305b2a
STAR - Counts	TARGET-NBL	TARGET-30-PARZIP-01A-01R	Primary Tumor	TARGET-30-PARZIP-01A	Tumor	TARGET-30-PARZIP	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	e0620b98-af31-47e3-88f7-934d5b75ef8c	b4de9ff8-1ab4-4118-87df-8bea29fe3d29.rna_seq.augmented_star_gene_counts.tsv	e0620b98-af31-47e3-88f7-934d5b75ef8c
STAR - Counts	TARGET-NBL	TARGET-30-PASFGG-01A-01R	Primary Tumor	TARGET-30-PASFGG-01A	Tumor	TARGET-30-PASFGG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	d773178a-ba85-4c3a-928e-41a72732b045	1ad2c3a2-e621-495c-87bd-473ec20facd1.rna_seq.augmented_star_gene_counts.tsv	d773178a-ba85-4c3a-928e-41a72732b045
STAR - Counts	TARGET-NBL	TARGET-30-PASPBZ-01A-01R	Primary Tumor	TARGET-30-PASPBZ-01A	Tumor	TARGET-30-PASPBZ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	7932ede4-c035-4903-b0b7-37e39d73d08a	f8bec064-a0b3-494a-80ab-9b1b9b223e8e.rna_seq.augmented_star_gene_counts.tsv	7932ede4-c035-4903-b0b7-37e39d73d08a
STAR - Counts	TARGET-NBL	TARGET-30-PASSWW-01A-01R	Primary Tumor	TARGET-30-PASSWW-01A	Tumor	TARGET-30-PASSWW	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	8c415493-859b-4c04-a2db-5f9ce3562172	09c892f3-21fc-40a0-89f2-8f1861042c0b.rna_seq.augmented_star_gene_counts.tsv	8c415493-859b-4c04-a2db-5f9ce3562172
STAR - Counts	TARGET-NBL	TARGET-30-PASFIC-01A-01R	Primary Tumor	TARGET-30-PASFIC-01A	Tumor	TARGET-30-PASFIC	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	707bffc7-10bd-42ab-8b19-29f2f0b755f9	c2a436a7-f1f3-4ca4-8030-c6ca0c2c702e.rna_seq.augmented_star_gene_counts.tsv	707bffc7-10bd-42ab-8b19-29f2f0b755f9
STAR - Counts	TARGET-NBL	TARGET-30-PASPER-01A-01R	Primary Tumor	TARGET-30-PASPER-01A	Tumor	TARGET-30-PASPER	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	2fbd9d46-d159-49d4-863d-0e8c961a5bd9	a1b9ec8a-8f92-4fe5-ac9a-1ab98b48c3f0.rna_seq.augmented_star_gene_counts.tsv	2fbd9d46-d159-49d4-863d-0e8c961a5bd9
STAR - Counts	TARGET-NBL	TARGET-30-PASRFS-01A-01R	Primary Tumor	TARGET-30-PASRFS-01A	Tumor	TARGET-30-PASRFS	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	20511209-942c-40c5-8e0e-ddbf2d6b4a41	f5510ab5-4f39-4670-b012-3c22ff3fada6.rna_seq.augmented_star_gene_counts.tsv	20511209-942c-40c5-8e0e-ddbf2d6b4a41
STAR - Counts	TARGET-NBL	TARGET-30-PARNNC-01A-01R	Primary Tumor	TARGET-30-PARNNC-01A	Tumor	TARGET-30-PARNNC	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	a80cf177-d758-458b-a41a-06060860850b	faa74473-f4b2-42af-abbe-7b246de5eaa0.rna_seq.augmented_star_gene_counts.tsv	a80cf177-d758-458b-a41a-06060860850b
STAR - Counts	TARGET-NBL	TARGET-30-PARZHA-01A-01R	Primary Tumor	TARGET-30-PARZHA-01A	Tumor	TARGET-30-PARZHA	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	fa615f96-1a2e-4b14-a353-58d7440bba09	0aa165ab-dcf1-4134-a18f-820a665113b0.rna_seq.augmented_star_gene_counts.tsv	fa615f96-1a2e-4b14-a353-58d7440bba09
STAR - Counts	TARGET-NBL	TARGET-30-PARGKK-01A-01R	Primary Tumor	TARGET-30-PARGKK-01A	Tumor	TARGET-30-PARGKK	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	de3ca0b1-c149-4637-9a72-30d62e85f83a	f9a4fa1c-aee1-4062-b769-c56153a45e7b.rna_seq.augmented_star_gene_counts.tsv	de3ca0b1-c149-4637-9a72-30d62e85f83a
STAR - Counts	TARGET-NBL	TARGET-30-PASMNT-01A-01R	Primary Tumor	TARGET-30-PASMNT-01A	Tumor	TARGET-30-PASMNT	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	046fc7b4-85f4-4d58-8b35-f07af7e19754	53a8e4d0-5f47-4bef-9e63-79ad1868b8e0.rna_seq.augmented_star_gene_counts.tsv	046fc7b4-85f4-4d58-8b35-f07af7e19754
STAR - Counts	TARGET-NBL	TARGET-30-PARSBI-01A-01R	Primary Tumor	TARGET-30-PARSBI-01A	Tumor	TARGET-30-PARSBI	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	24c59b3c-1ce6-490e-a350-36055a21c6a3	ec591c2f-127f-4070-916f-49bd0113a5a1.rna_seq.augmented_star_gene_counts.tsv	24c59b3c-1ce6-490e-a350-36055a21c6a3
STAR - Counts	TARGET-NBL	TARGET-30-PAPUWY-01A-01R	Primary Tumor	TARGET-30-PAPUWY-01A	Tumor	TARGET-30-PAPUWY	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	5ccb0324-8d16-4b9b-8ff0-0bb06173e86d	2db92238-d815-44e3-8d37-8caf70b97155.rna_seq.augmented_star_gene_counts.tsv	5ccb0324-8d16-4b9b-8ff0-0bb06173e86d
STAR - Counts	TARGET-NBL	TARGET-30-PAMZMG-01A-01R	Primary Tumor	TARGET-30-PAMZMG-01A	Tumor	TARGET-30-PAMZMG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	03810211-a528-4f8e-910f-4223cebcb641	a1ca3ae6-c2aa-4682-8213-ae547e9ee4ed.rna_seq.augmented_star_gene_counts.tsv	03810211-a528-4f8e-910f-4223cebcb641
STAR - Counts	TARGET-NBL	TARGET-30-PALWVJ-01A-01R	Primary Tumor	TARGET-30-PALWVJ-01A	Tumor	TARGET-30-PALWVJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	9a745606-2e1f-4636-b7f5-c9a1afc8c99c	ef755c86-1263-43ee-80c4-5ea682ed1efb.rna_seq.augmented_star_gene_counts.tsv	9a745606-2e1f-4636-b7f5-c9a1afc8c99c
STAR - Counts	TARGET-NBL	TARGET-30-PAPCTS-01A-01R	Primary Tumor	TARGET-30-PAPCTS-01A	Tumor	TARGET-30-PAPCTS	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	fa004817-ec19-4770-8b53-a33ae687b93a	182e9640-6986-458b-84cb-0f89816864ed.rna_seq.augmented_star_gene_counts.tsv	fa004817-ec19-4770-8b53-a33ae687b93a
STAR - Counts	TARGET-NBL	TARGET-30-PAPBZI-01A-01R	Primary Tumor	TARGET-30-PAPBZI-01A	Tumor	TARGET-30-PAPBZI	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	f9398ace-1d1c-484a-a28e-9aa82de71ed1	c96b4c27-6939-4d9f-976b-cab9a1a4ca73.rna_seq.augmented_star_gene_counts.tsv	f9398ace-1d1c-484a-a28e-9aa82de71ed1
STAR - Counts	TARGET-NBL	TARGET-30-PASYPX-01A-01R	Primary Tumor	TARGET-30-PASYPX-01A	Tumor	TARGET-30-PASYPX	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	c7ab28a1-88ff-478e-9fbe-a55f2599bae7	d446d1fc-4a0a-484b-85b5-acffced030cb.rna_seq.augmented_star_gene_counts.tsv	c7ab28a1-88ff-478e-9fbe-a55f2599bae7
STAR - Counts	TARGET-NBL	TARGET-30-PAPTCR-01A-01R	Primary Tumor	TARGET-30-PAPTCR-01A	Tumor	TARGET-30-PAPTCR	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	c92004e1-f704-469f-8140-6795e2e503e4	62c9e14e-19aa-451e-9c37-b90498cf1c8b.rna_seq.augmented_star_gene_counts.tsv	c92004e1-f704-469f-8140-6795e2e503e4
STAR - Counts	TARGET-NBL	TARGET-30-PANWRR-01A-01R	Primary Tumor	TARGET-30-PANWRR-01A	Tumor	TARGET-30-PANWRR	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	04abdf13-fc0e-4b6c-a775-1d20d4d17bf2	fa17eed3-2280-42a3-a331-6c206a49ab32.rna_seq.augmented_star_gene_counts.tsv	04abdf13-fc0e-4b6c-a775-1d20d4d17bf2
STAR - Counts	TARGET-NBL	TARGET-30-PANBJH-01A-01R	Primary Tumor	TARGET-30-PANBJH-01A	Tumor	TARGET-30-PANBJH	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	bd83eb1b-bf73-445b-a24a-98e5ec27e054	220f9c13-554d-4e80-85a4-3d904c247ee1.rna_seq.augmented_star_gene_counts.tsv	bd83eb1b-bf73-445b-a24a-98e5ec27e054
STAR - Counts	TARGET-NBL	TARGET-30-PANRRW-01A-01R	Primary Tumor	TARGET-30-PANRRW-01A	Tumor	TARGET-30-PANRRW	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	4c725468-baba-4f2e-bd44-d84e6ebb29a7	a123e5e0-deb1-4a48-a626-2f89045ae350.rna_seq.augmented_star_gene_counts.tsv	4c725468-baba-4f2e-bd44-d84e6ebb29a7
STAR - Counts	TARGET-NBL	TARGET-30-PASNPG-02A-01R	Recurrent Tumor	TARGET-30-PASNPG-02A	Tumor	TARGET-30-PASNPG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	de6d5bc1-e4d5-4371-9a94-7591d6d2605f	ff6f2a1b-d45d-4f34-8258-869ed1538c55.rna_seq.augmented_star_gene_counts.tsv	de6d5bc1-e4d5-4371-9a94-7591d6d2605f
STAR - Counts	TARGET-NBL	TARGET-30-PATDXG-01A-01R	Primary Tumor	TARGET-30-PATDXG-01A	Tumor	TARGET-30-PATDXG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	c72ab93d-99a3-4653-bcd0-5e3dc8596374	17ed9f29-565f-48d9-a018-304cf5363a33.rna_seq.augmented_star_gene_counts.tsv	c72ab93d-99a3-4653-bcd0-5e3dc8596374
STAR - Counts	TARGET-NBL	TARGET-30-PARACM-01A-01R	Primary Tumor	TARGET-30-PARACM-01A	Tumor	TARGET-30-PARACM	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	a32a53a1-8c00-4500-9e8d-b2c6ee9f5c2a	00f11140-d80f-4522-9475-2aecb8c1812a.rna_seq.augmented_star_gene_counts.tsv	a32a53a1-8c00-4500-9e8d-b2c6ee9f5c2a
STAR - Counts	TARGET-NBL	TARGET-30-PARKGJ-01A-01R	Primary Tumor	TARGET-30-PARKGJ-01A	Tumor	TARGET-30-PARKGJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	38c0990d-2af6-40c6-94c8-da8638ed6aa1	35f2dc98-322b-4686-ab75-4fd34591c25b.rna_seq.augmented_star_gene_counts.tsv	38c0990d-2af6-40c6-94c8-da8638ed6aa1
STAR - Counts	TARGET-NBL	TARGET-30-PARYNK-01A-01R	Primary Tumor	TARGET-30-PARYNK-01A	Tumor	TARGET-30-PARYNK	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	c1ad3e17-d7f0-4897-bab4-1c66d8e9078d	599d20ba-f18d-48b2-83b9-1d88f49864c9.rna_seq.augmented_star_gene_counts.tsv	c1ad3e17-d7f0-4897-bab4-1c66d8e9078d
STAR - Counts	TARGET-NBL	TARGET-30-PASEGA-01A-01R	Primary Tumor	TARGET-30-PASEGA-01A	Tumor	TARGET-30-PASEGA	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	f3ed46b1-ad4d-4b82-970d-307c3d0d813c	c1aaa049-cedc-44bd-b61b-e7542bd73228.rna_seq.augmented_star_gene_counts.tsv	f3ed46b1-ad4d-4b82-970d-307c3d0d813c
STAR - Counts	TARGET-NBL	TARGET-30-PASMDM-01A-01R	Primary Tumor	TARGET-30-PASMDM-01A	Tumor	TARGET-30-PASMDM	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	bdd7890c-28d9-4a87-a2f7-aef216352d50	5c98f707-991e-4343-af6e-d544b6bfbd6c.rna_seq.augmented_star_gene_counts.tsv	bdd7890c-28d9-4a87-a2f7-aef216352d50
STAR - Counts	TARGET-NBL	TARGET-30-PASNML-01A-01R	Primary Tumor	TARGET-30-PASNML-01A	Tumor	TARGET-30-PASNML	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	a735c368-d0f4-4f54-9c70-c15b0c2fb447	2d15b4f0-2467-42d4-adb0-f3d39f843f0b.rna_seq.augmented_star_gene_counts.tsv	a735c368-d0f4-4f54-9c70-c15b0c2fb447
STAR - Counts	TARGET-NBL	TARGET-30-PASCTR-01A-01R	Primary Tumor	TARGET-30-PASCTR-01A	Tumor	TARGET-30-PASCTR	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	011d9a43-3bc4-4cfc-b2c6-3fbe1108a5c1	de68b3ce-4e12-4473-bde1-39b07f783fea.rna_seq.augmented_star_gene_counts.tsv	011d9a43-3bc4-4cfc-b2c6-3fbe1108a5c1
STAR - Counts	TARGET-NBL	TARGET-30-PAITCI-01A-01R	Primary Tumor	TARGET-30-PAITCI-01A	Tumor	TARGET-30-PAITCI	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	307d5cb6-3177-4416-be08-fe06962148c2	9f0f9221-8b60-4be9-9ba3-118451f903ff.rna_seq.augmented_star_gene_counts.tsv	307d5cb6-3177-4416-be08-fe06962148c2
STAR - Counts	TARGET-NBL	TARGET-30-PATFCY-01A-01R	Primary Tumor	TARGET-30-PATFCY-01A	Tumor	TARGET-30-PATFCY	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	f31f91f2-f715-429e-9154-9319a7af92d2	5b1a0ee0-4f10-4afc-b017-52d6aaebf881.rna_seq.augmented_star_gene_counts.tsv	f31f91f2-f715-429e-9154-9319a7af92d2
STAR - Counts	TARGET-NBL	TARGET-30-PALZZV-01A-01R	Primary Tumor	TARGET-30-PALZZV-01A	Tumor	TARGET-30-PALZZV	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	f7a6db9b-ab73-497a-a2e0-7de2570a91a7	10541f32-0157-42c8-a4dc-1f7edd362432.rna_seq.augmented_star_gene_counts.tsv	f7a6db9b-ab73-497a-a2e0-7de2570a91a7
STAR - Counts	TARGET-NBL	TARGET-30-PASTKC-01A-01R	Primary Tumor	TARGET-30-PASTKC-01A	Tumor	TARGET-30-PASTKC	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	3d58cd38-25b6-40a0-9922-8130d881a0c6	eafe8220-0762-415e-905a-3c72476dfc86.rna_seq.augmented_star_gene_counts.tsv	3d58cd38-25b6-40a0-9922-8130d881a0c6
STAR - Counts	TARGET-NBL	TARGET-30-PALBFW-01A-01R	Primary Tumor	TARGET-30-PALBFW-01A	Tumor	TARGET-30-PALBFW	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	54134ecb-b31b-4e5d-8eb7-a49da971c3cf	69cb972a-66a9-4da3-add6-8bc3043b06a7.rna_seq.augmented_star_gene_counts.tsv	54134ecb-b31b-4e5d-8eb7-a49da971c3cf
STAR - Counts	TARGET-NBL	TARGET-30-PASSRS-01A-01R	Primary Tumor	TARGET-30-PASSRS-01A	Tumor	TARGET-30-PASSRS	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	3e2660be-55fb-4199-9a83-76aa169b5691	396dbec6-00e7-4ffc-9fa8-648939548bc4.rna_seq.augmented_star_gene_counts.tsv	3e2660be-55fb-4199-9a83-76aa169b5691
STAR - Counts	TARGET-NBL	TARGET-30-PAMZGT-01A-01R	Primary Tumor	TARGET-30-PAMZGT-01A	Tumor	TARGET-30-PAMZGT	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	d3c3f794-ac6a-4322-84f7-59d1b2970fcf	de8fcb09-0cf7-4872-b7b5-3690c143c408.rna_seq.augmented_star_gene_counts.tsv	d3c3f794-ac6a-4322-84f7-59d1b2970fcf
STAR - Counts	TARGET-NBL	TARGET-30-PATDXC-01A-01R	Primary Tumor	TARGET-30-PATDXC-01A	Tumor	TARGET-30-PATDXC	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	eef57d28-77f6-419f-99de-660dbc796170	bcf062c2-e30f-45ea-b41f-dc0483363cb5.rna_seq.augmented_star_gene_counts.tsv	eef57d28-77f6-419f-99de-660dbc796170
STAR - Counts	TARGET-NBL	TARGET-30-PAIXIF-01A-01R	Primary Tumor	TARGET-30-PAIXIF-01A	Tumor	TARGET-30-PAIXIF	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	8bd8582a-9c30-4a37-a4fd-7f9a5d34299e	a53de3f2-9fa3-4099-a5bc-6103e98ba587.rna_seq.augmented_star_gene_counts.tsv	8bd8582a-9c30-4a37-a4fd-7f9a5d34299e
STAR - Counts	TARGET-NBL	TARGET-30-PATBMM-01A-01R	Primary Tumor	TARGET-30-PATBMM-01A	Tumor	TARGET-30-PATBMM	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	d7bbc752-dce7-45f1-8c92-cd447ff288ff	c6c370a8-1db5-4e70-a6e3-3d2b4907fc22.rna_seq.augmented_star_gene_counts.tsv	d7bbc752-dce7-45f1-8c92-cd447ff288ff
STAR - Counts	TARGET-NBL	TARGET-30-PALTEG-01A-01R	Primary Tumor	TARGET-30-PALTEG-01A	Tumor	TARGET-30-PALTEG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	08166529-ec04-4c97-b2a6-1aef4c86edcf	d79b3533-7bef-4f50-8056-4f1bb30255fe.rna_seq.augmented_star_gene_counts.tsv	08166529-ec04-4c97-b2a6-1aef4c86edcf
STAR - Counts	TARGET-NBL	TARGET-30-PAPLSD-01A-01R	Primary Tumor	TARGET-30-PAPLSD-01A	Tumor	TARGET-30-PAPLSD	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	8b9875f0-61b8-453c-a2f0-308d6e92ddb3	ce30add8-e0fc-4504-8c32-3edc8dde26ab.rna_seq.augmented_star_gene_counts.tsv	8b9875f0-61b8-453c-a2f0-308d6e92ddb3
STAR - Counts	TARGET-NBL	TARGET-30-PANSBN-01A-01R	Primary Tumor	TARGET-30-PANSBN-01A	Tumor	TARGET-30-PANSBN	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	7c384a5f-0775-43e2-a155-4e3970f3b9fe	beb3aafe-713e-4205-933c-21cb757eb160.rna_seq.augmented_star_gene_counts.tsv	7c384a5f-0775-43e2-a155-4e3970f3b9fe
STAR - Counts	TARGET-NBL	TARGET-30-PANZRV-01A-01R	Primary Tumor	TARGET-30-PANZRV-01A	Tumor	TARGET-30-PANZRV	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	9173009d-aaba-4426-826f-da2bf30135dd	3b4efc48-5084-4d91-b28b-01c208d9aa99.rna_seq.augmented_star_gene_counts.tsv	9173009d-aaba-4426-826f-da2bf30135dd
STAR - Counts	TARGET-NBL	TARGET-30-PASNEF-01A-01R	Primary Tumor	TARGET-30-PASNEF-01A	Tumor	TARGET-30-PASNEF	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	ed13ccf1-aca7-4380-8ae1-20bbbeea982f	893ed305-c9e1-4d45-9230-db54d8c24bb9.rna_seq.augmented_star_gene_counts.tsv	ed13ccf1-aca7-4380-8ae1-20bbbeea982f
STAR - Counts	TARGET-NBL	TARGET-30-PASNZU-01A-01R	Primary Tumor	TARGET-30-PASNZU-01A	Tumor	TARGET-30-PASNZU	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	f6fd039b-46fd-47ec-b56b-9832a17ac3ef	6890026e-795a-4d28-b414-910110c8d029.rna_seq.augmented_star_gene_counts.tsv	f6fd039b-46fd-47ec-b56b-9832a17ac3ef
STAR - Counts	TARGET-NBL	TARGET-30-PASCFC-01A-01R	Primary Tumor	TARGET-30-PASCFC-01A	Tumor	TARGET-30-PASCFC	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	aa2117bb-fcdf-49db-8f5f-e3b5bd150664	9327299f-5544-458e-a493-100a7def01cd.rna_seq.augmented_star_gene_counts.tsv	aa2117bb-fcdf-49db-8f5f-e3b5bd150664
STAR - Counts	TARGET-NBL	TARGET-30-PASWIJ-01A-01R	Primary Tumor	TARGET-30-PASWIJ-01A	Tumor	TARGET-30-PASWIJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	43b59df4-ed05-4401-8874-efeccfaf2507	9c98afeb-ee9c-44d1-b530-62cd6331929f.rna_seq.augmented_star_gene_counts.tsv	43b59df4-ed05-4401-8874-efeccfaf2507
STAR - Counts	TARGET-NBL	TARGET-30-PAITEG-01A-01R	Primary Tumor	TARGET-30-PAITEG-01A	Tumor	TARGET-30-PAITEG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	613aed76-799c-460c-8ed9-97918765b4c4	b19c3b8e-55c3-4217-a018-de701cf74b37.rna_seq.augmented_star_gene_counts.tsv	613aed76-799c-460c-8ed9-97918765b4c4
STAR - Counts	TARGET-NBL	TARGET-30-PANUKV-01A-01R	Primary Tumor	TARGET-30-PANUKV-01A	Tumor	TARGET-30-PANUKV	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	4f08cbca-5df9-4179-86df-9db15eea400b	752f448c-c9c8-4de8-9fbc-f488ef8a1580.rna_seq.augmented_star_gene_counts.tsv	4f08cbca-5df9-4179-86df-9db15eea400b
STAR - Counts	TARGET-NBL	TARGET-30-PANBSP-01A-01R	Primary Tumor	TARGET-30-PANBSP-01A	Tumor	TARGET-30-PANBSP	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	98e6de9c-56b5-4362-9a76-110c14b46079	343f6d02-ddad-4775-96e8-a9cb223260bb.rna_seq.augmented_star_gene_counts.tsv	98e6de9c-56b5-4362-9a76-110c14b46079
STAR - Counts	TARGET-NBL	TARGET-30-PAPBGH-01A-01R	Primary Tumor	TARGET-30-PAPBGH-01A	Tumor	TARGET-30-PAPBGH	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	259e57cd-8d18-423c-84c6-f48dbb7eab30	c4c0ca6c-56d7-451d-b3b6-6d32665b3641.rna_seq.augmented_star_gene_counts.tsv	259e57cd-8d18-423c-84c6-f48dbb7eab30
