analysis.workflow_type	cases.0.project.project_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.0.sample_type	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.submitter_id	data_category	data_type	experimental_strategy	file_id	file_name	id
STAR - Counts	TARGET-NBL	TARGET-30-PASMJG-01A-01R	Primary Tumor	TARGET-30-PASMJG-01A	Tumor	TARGET-30-PASMJG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	945c7073-28ad-4f82-abdc-87a00dc50635	99a052d7-6091-479d-ad63-11bc73a2c0df.rna_seq.augmented_star_gene_counts.tsv	945c7073-28ad-4f82-abdc-87a00dc50635
STAR - Counts	TARGET-NBL	TARGET-30-PAPKXS-01A-01R	Primary Tumor	TARGET-30-PAPKXS-01A	Tumor	TARGET-30-PAPKXS	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	97787b33-694f-48fa-ab20-2eb3fd8ba0ea	309988d6-99c4-4323-b736-062af701b7d3.rna_seq.augmented_star_gene_counts.tsv	97787b33-694f-48fa-ab20-2eb3fd8ba0ea
STAR - Counts	TARGET-NBL	TARGET-30-PARVLK-01A-01R	Primary Tumor	TARGET-30-PARVLK-01A	Tumor	TARGET-30-PARVLK	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	852e6545-4574-49fb-9740-f3c8e6214d65	2ff1e95c-5116-44ca-9600-b9b6725bdf3a.rna_seq.augmented_star_gene_counts.tsv	852e6545-4574-49fb-9740-f3c8e6214d65
STAR - Counts	TARGET-NBL	TARGET-30-PATCFL-01A-01R	Primary Tumor	TARGET-30-PATCFL-01A	Tumor	TARGET-30-PATCFL	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	30388177-846d-4b12-9c18-41ef8334e6b8	a34607a6-2e78-4582-a864-27b4a54bb112.rna_seq.augmented_star_gene_counts.tsv	30388177-846d-4b12-9c18-41ef8334e6b8
STAR - Counts	TARGET-NBL	TARGET-30-PANBMJ-01A-01R	Primary Tumor	TARGET-30-PANBMJ-01A	Tumor	TARGET-30-PANBMJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	0b0286b3-ecee-450e-ab37-eed9db15b9e7	5d19132c-f26a-44e3-b580-89b202eb917a.rna_seq.augmented_star_gene_counts.tsv	0b0286b3-ecee-450e-ab37-eed9db15b9e7
STAR - Counts	TARGET-NBL	TARGET-30-PANXJL-01A-01R	Primary Tumor	TARGET-30-PANXJL-01A	Tumor	TARGET-30-PANXJL	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	0fffc9cc-b598-4976-871f-d7d3d1dc801e	ac467659-d0d2-42be-9ca1-aec806cc910c.rna_seq.augmented_star_gene_counts.tsv	0fffc9cc-b598-4976-871f-d7d3d1dc801e
STAR - Counts	TARGET-NBL	TARGET-30-PASXIE-01A-01R	Primary Tumor	TARGET-30-PASXIE-01A	Tumor	TARGET-30-PASXIE	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	2497d1d3-f95a-4cf1-81c7-8caa2926dc56	e96681e7-4053-46b8-bf45-a2985fb95e20.rna_seq.augmented_star_gene_counts.tsv	2497d1d3-f95a-4cf1-81c7-8caa2926dc56
STAR - Counts	TARGET-NBL	TARGET-30-PALKUC-01A-01R	Primary Tumor	TARGET-30-PALKUC-01A	Tumor	TARGET-30-PALKUC	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	4999385f-7092-4797-8ea2-477af79d782d	7bb1470c-0435-4cf1-bfe2-b528b3e0b3c7.rna_seq.augmented_star_gene_counts.tsv	4999385f-7092-4797-8ea2-477af79d782d
STAR - Counts	TARGET-NBL	TARGET-30-PASHFA-01A-01R	Primary Tumor	TARGET-30-PASHFA-01A	Tumor	TARGET-30-PASHFA	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	cdfe9b28-f088-4598-967d-4fc8394d945d	ab7525ee-f8de-4e99-a722-522ed4fbf6f1.rna_seq.augmented_star_gene_counts.tsv	cdfe9b28-f088-4598-967d-4fc8394d945d
STAR - Counts	TARGET-NBL	TARGET-30-PARZCJ-02A-01R	Recurrent Tumor	TARGET-30-PARZCJ-02A	Tumor	TARGET-30-PARZCJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	cb0e65b0-99b8-4420-9ad8-cac96a80e30e	8b50c617-a404-4555-9ab2-5c4de974fc8e.rna_seq.augmented_star_gene_counts.tsv	cb0e65b0-99b8-4420-9ad8-cac96a80e30e
STAR - Counts	TARGET-NBL	TARGET-30-PARZCJ-01A-01R	Primary Tumor	TARGET-30-PARZCJ-01A	Tumor	TARGET-30-PARZCJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	a05fa1a0-0ccf-4a80-9f42-a3ffbceac4eb	205a0f39-8558-45e3-8909-d6fcfae8f347.rna_seq.augmented_star_gene_counts.tsv	a05fa1a0-0ccf-4a80-9f42-a3ffbceac4eb
STAR - Counts	TARGET-NBL	TARGET-30-PARHAM-01A-01R	Primary Tumor	TARGET-30-PARHAM-01A	Tumor	TARGET-30-PARHAM	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	6250e06e-6f92-415c-9315-f4862760fc13	b3e278b7-0bc4-474b-a0c3-061cf8253457.rna_seq.augmented_star_gene_counts.tsv	6250e06e-6f92-415c-9315-f4862760fc13
STAR - Counts	TARGET-NBL	TARGET-30-PARHAM-02A-01R	Recurrent Tumor	TARGET-30-PARHAM-02A	Tumor	TARGET-30-PARHAM	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	cd2a9766-12ba-484e-bebf-6c2e51c68cc4	9602f466-e90a-4744-961d-8b506b06b169.rna_seq.augmented_star_gene_counts.tsv	cd2a9766-12ba-484e-bebf-6c2e51c68cc4
STAR - Counts	TARGET-NBL	TARGET-30-PARBAJ-01A-01R	Primary Tumor	TARGET-30-PARBAJ-01A	Tumor	TARGET-30-PARBAJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	f883bbed-8902-45f2-a381-5287a1f8aaf4	c6231a14-f2ec-4091-b94b-2a0d840db27d.rna_seq.augmented_star_gene_counts.tsv	f883bbed-8902-45f2-a381-5287a1f8aaf4
