cell_line1	cell_line2	similarity	sample_id1	cell_line1_display	sample_id2	cell_line2_display
CHP_134	MHH_NB_11	0.39926062846580407	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
GI_ME_N	MHH_NB_11	-0.07950783015907315	NG-A0611_GIMEN_libLAB6073	GI_ME_N	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
IMR_32	MHH_NB_11	0.4420402858325981	NG-A0611_IMR32_libLAB6079	IMR_32	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
KELLY	MHH_NB_11	0.5963890633237325	NG-A0611_KELLY_libLAB6075	KELLY	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
LAN1	MHH_NB_11	0.4064213371807978	NG-A0611_LAN1_libLAB6085	LAN1	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
LAN2	MHH_NB_11	0.46578625160046494	NG-A0611_LAN2_libLAB6083	LAN2	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
LAN5	MHH_NB_11	0.5895125072205692	NG-A0611_LAN5_libLAB6087	LAN5	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
LAN6	MHH_NB_11	0.5014052002522652	NG-A0611_LAN6_libLAB6089	LAN6	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
LS	MHH_NB_11	-0.02883537094134448	NG-A0611_LS_libLAB6078	LS	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11
CCLF_PEDS_0051_T	NBL_S	0.022460393641922045	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	NG-A0611_NBLS_libLAB6077	NBL_S
CHP_126	NBL_S	0.3853961211413784	NG-A0611_CHP126_libLAB6088	CHP_126	NG-A0611_NBLS_libLAB6077	NBL_S
CHP_134	NBL_S	0.2758185254575302	NG-A0611_CHP134_libLAB6074	CHP_134	NG-A0611_NBLS_libLAB6077	NBL_S
