"sample_id","tcga_cohort","rho"
"NG-A0611_LAN1_libLAB6085","THYM",0.338036551633113
"NG-A0611_LAN1_libLAB6085","UCEC",0.425767079851773
"NG-A0611_LAN1_libLAB6085","UCS",0.629432536663906
"NG-A0611_LAN1_libLAB6085","UVM",0.511774045340165
"NG-A0611_LAN2_libLAB6083","ACC",0.46740627201812
"NG-A0611_LAN2_libLAB6083","BLCA",0.293151721072939
"NG-A0611_LAN2_libLAB6083","BRCA",0.42740516233583
"NG-A0611_LAN2_libLAB6083","CESC",0.220270978226681
"NG-A0611_LAN2_libLAB6083","CHOL",0.296243815751366
"NG-A0611_LAN2_libLAB6083","COAD",0.195268562966409
"NG-A0611_LAN2_libLAB6083","DLBC",0.166852412644809
"NG-A0611_LAN2_libLAB6083","ESCA",0.284058164336468
"NG-A0611_LAN2_libLAB6083","GBM",0.538550990330268
"NG-A0611_LAN2_libLAB6083","HNSC",0.246918093658804
"NG-A0611_LAN2_libLAB6083","KICH",0.375231585190181
"NG-A0611_LAN2_libLAB6083","KIRC",0.376348791770813
"NG-A0611_LAN2_libLAB6083","KIRP",0.339506524293389
"NG-A0611_LAN2_libLAB6083","LAML",0.0856954361306366
"NG-A0611_LAN2_libLAB6083","LGG",0.57266462370432
"NG-A0611_LAN2_libLAB6083","LIHC",0.240466181967184
"NG-A0611_LAN2_libLAB6083","LUAD",0.282404382702311
"NG-A0611_LAN2_libLAB6083","LUSC",0.307660551039168
"NG-A0611_LAN2_libLAB6083","MESO",0.414120112541499
"NG-A0611_LAN2_libLAB6083","OV",0.390179127894761
"NG-A0611_LAN2_libLAB6083","PAAD",0.33193342093285
"NG-A0611_LAN2_libLAB6083","PCPG",0.59470281296423
"NG-A0611_LAN2_libLAB6083","PRAD",0.430380919997892
"NG-A0611_LAN2_libLAB6083","READ",0.206172386761861
"NG-A0611_LAN2_libLAB6083","SARC",0.572508372742076
"NG-A0611_LAN2_libLAB6083","SKCM",0.437842364202564
"NG-A0611_LAN2_libLAB6083","STAD",0.262296767870324
"NG-A0611_LAN2_libLAB6083","TGCT",0.401206170282653
"NG-A0611_LAN2_libLAB6083","THCA",0.387421294499399
"NG-A0611_LAN2_libLAB6083","THYM",0.298011458221113
"NG-A0611_LAN2_libLAB6083","UCEC",0.394931572261823
"NG-A0611_LAN2_libLAB6083","UCS",0.586599546764827
"NG-A0611_LAN2_libLAB6083","UVM",0.445182031646739
"NG-A0611_LAN5_libLAB6087","ACC",0.520623752403497
"NG-A0611_LAN5_libLAB6087","BLCA",0.33199925144793
"NG-A0611_LAN5_libLAB6087","BRCA",0.469964943178592
"NG-A0611_LAN5_libLAB6087","CESC",0.25109278354765
"NG-A0611_LAN5_libLAB6087","CHOL",0.351667146070586
"NG-A0611_LAN5_libLAB6087","COAD",0.233435068540306
"NG-A0611_LAN5_libLAB6087","DLBC",0.19704304348639
"NG-A0611_LAN5_libLAB6087","ESCA",0.326110162154661
"NG-A0611_LAN5_libLAB6087","GBM",0.581144935933081
"NG-A0611_LAN5_libLAB6087","HNSC",0.287949893453406
"NG-A0611_LAN5_libLAB6087","KICH",0.39775258555715
"NG-A0611_LAN5_libLAB6087","KIRC",0.412302371077258
"NG-A0611_LAN5_libLAB6087","KIRP",0.362284447524408
"NG-A0611_LAN5_libLAB6087","LAML",0.135389712061576
"NG-A0611_LAN5_libLAB6087","LGG",0.599765694281173
"NG-A0611_LAN5_libLAB6087","LIHC",0.28814818835932
"NG-A0611_LAN5_libLAB6087","LUAD",0.319355588950912
"NG-A0611_LAN5_libLAB6087","LUSC",0.338237187677363
"NG-A0611_LAN5_libLAB6087","MESO",0.481734733972937
"NG-A0611_LAN5_libLAB6087","OV",0.414494406864459
"NG-A0611_LAN5_libLAB6087","PAAD",0.389137950330807
"NG-A0611_LAN5_libLAB6087","PCPG",0.655128446871483
"NG-A0611_LAN5_libLAB6087","PRAD",0.487206425802726
"NG-A0611_LAN5_libLAB6087","READ",0.24556438357839
"NG-A0611_LAN5_libLAB6087","SARC",0.635570327973258
"NG-A0611_LAN5_libLAB6087","SKCM",0.485772902377743
"NG-A0611_LAN5_libLAB6087","STAD",0.30655244451821
"NG-A0611_LAN5_libLAB6087","TGCT",0.46775109137128
"NG-A0611_LAN5_libLAB6087","THCA",0.420868009199943
"NG-A0611_LAN5_libLAB6087","THYM",0.329936993651611
"NG-A0611_LAN5_libLAB6087","UCEC",0.422920285991603
"NG-A0611_LAN5_libLAB6087","UCS",0.623039073338219
"NG-A0611_LAN5_libLAB6087","UVM",0.507294696419697
"NG-A0611_LAN6_libLAB6089","ACC",0.501590875818177
"NG-A0611_LAN6_libLAB6089","BLCA",0.334701345784607
"NG-A0611_LAN6_libLAB6089","BRCA",0.471174795073471
"NG-A0611_LAN6_libLAB6089","CESC",0.263177527732708
"NG-A0611_LAN6_libLAB6089","CHOL",0.364928325289929
"NG-A0611_LAN6_libLAB6089","COAD",0.244434237400028
"NG-A0611_LAN6_libLAB6089","DLBC",0.201063369272403
