Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
NG-13640_KMS_12_BM_lib248379_5885_5_1 - polya	(1, 0.035334236639872736)	(2, 0.040502169209650045)	(3, 0.0440168975103358)	(4, 0.048490430871770934)	(5, 0.05150305512950158)	(6, 0.05447828866062918)	(7, 0.05847642564096853)	(8, 0.06479011690451042)	(9, 0.07352886386487803)	(10, 0.08916299496408339)	(15, 0.1056565786219215)	(20, 0.12264745894358005)	(25, 0.14566999761954608)	(30, 0.16606396821531846)	(35, 0.1813562412427246)	(40, 0.19479767330328027)	(45, 0.21008674141126327)	(50, 0.22501846100356868)	(55, 0.2412519120348971)	(60, 0.25553410129078397)	(65, 0.2774979482506469)	(70, 0.2951228684648455)	(75, 0.31098294638338064)	(80, 0.32459477332659875)	(85, 0.3378465809879533)	(90, 0.3516288028138338)	(95, 0.36839694123558564)	(100, 0.38598073165052094)	(105, 0.4037840590459399)	(110, 0.4197087695061746)	(115, 0.43195743738809317)	(120, 0.4438498250608086)	(125, 0.456929101226552)	(130, 0.4724531967588971)	(135, 0.4888821478750356)	(140, 0.4978949154460798)
NG-13640_KMS_12_BM_lib248379_5885_5_2 - illumina_universal_adapter	(1, 0.00020831976250265108)	(2, 0.0002136612948745139)	(3, 0.0002510520214775539)	(4, 0.00033117500705549655)	(5, 0.0004139687588193707)	(6, 0.0004593717839802049)	(7, 0.00048340867965358775)	(8, 0.0005021040429551077)	(9, 0.0005341532371862848)	(10, 0.0006580767882135029)	(15, 0.0009438487701081653)	(20, 0.001397344868479321)	(25, 0.0022284873055411804)	(30, 0.0034543689848837043)	(35, 0.005080865592115941)	(40, 0.007099430675442911)	(45, 0.009292129714092611)	(50, 0.011747097992200774)	(55, 0.014373529459445738)	(60, 0.0174673450092287)	(65, 0.02113163621632661)	(70, 0.02555015179433156)	(75, 0.031238349617128302)	(80, 0.03898143494338069)	(85, 0.05001704082364933)	(90, 0.06646415314985224)	(95, 0.09136904783366276)	(100, 0.12890880318987766)	(105, 0.18397466041141178)	(110, 0.2627563872107797)	(115, 0.36968692130339054)	(120, 0.5102546872013333)	(125, 0.6899849659900628)	(130, 0.9154644012373232)	(135, 1.1914774034885922)	(140, 1.382276405658296)
NG-13640_KMS_12_BM_lib248379_5885_5_2 - polya	(1, 0.018802193948957224)	(2, 0.024306643058161888)	(3, 0.026528720524856834)	(4, 0.030494808310965)	(5, 0.03334451583135383)	(6, 0.03559864249227995)	(7, 0.038047735084779065)	(8, 0.043715100931325544)	(9, 0.05201584223720041)	(10, 0.06516188755759207)	(15, 0.08790346163079814)	(20, 0.10864997336311344)	(25, 0.12526320734608126)	(30, 0.1404673450893517)	(35, 0.15568376835707737)	(40, 0.17205075769770234)	(45, 0.19003997041966203)	(50, 0.20995266894872958)	(55, 0.2330270204887027)	(60, 0.2505867740079646)	(65, 0.27050588237587836)	(70, 0.30447589164797734)	(75, 0.3258516358936981)	(80, 0.3453845514711261)	(85, 0.37225513006778216)	(90, 0.3939652542399815)	(95, 0.41555626224028835)	(100, 0.43386115952542514)	(105, 0.45182152797257674)	(110, 0.47148264032692955)	(115, 0.4922264812930589)	(120, 0.5130659356886447)	(125, 0.5358555835531975)	(130, 0.5582547654013672)	(135, 0.5832499319822622)	(140, 0.5959814743905972)
NG-13640_KM_H2_lib248380_5885_5_1 - illumina_universal_adapter	(1, 9.798063943390053e-05)	(2, 9.798063943390053e-05)	(3, 0.0001428884325077716)	(4, 0.00023270401865551374)	(5, 0.00028169433837246403)	(6, 0.0003592623445909686)	(7, 0.00040825266430791885)	(8, 0.00048582067052642343)	(9, 0.0005388935168864529)	(10, 0.0007038275932668521)	(15, 0.0009675588144097677)	(20, 0.0012133269183231348)	(25, 0.001504819320638989)	(30, 0.0018469350533290249)	(35, 0.002480543188334915)	(40, 0.003305213570236911)	(45, 0.004173158734555546)	(50, 0.005191340879339495)	(55, 0.006532859134255317)	(60, 0.008387142735541886)	(65, 0.011100389942532313)	(70, 0.01532090598614758)	(75, 0.022061157473871322)	(80, 0.03267082771390552)	(85, 0.0495079840952927)	(90, 0.07651308133393293)	(95, 0.11789193837752635)	(100, 0.17940336730880047)	(105, 0.26852818994853367)	(110, 0.393155480781812)	(115, 0.5578952288940007)	(120, 0.7705916009771119)	(125, 1.0351646391138305)	(130, 1.3582615131844178)	(135, 1.7440202721942988)	(140, 2.0075171563079017)
NG-13640_KM_H2_lib248380_5885_5_1 - polya	(1, 0.011888317584646597)	(2, 0.01760793741160054)	(3, 0.020910701465851604)	(4, 0.025630102265251146)	(5, 0.028189846470461796)	(6, 0.030565876976733884)	(7, 0.03461574340666844)	(8, 0.04032311565369315)	(9, 0.04842284851356225)	(10, 0.06297052395351063)	(15, 0.07935451987751604)	(20, 0.09683589896318112)	(25, 0.12079053229411256)	(30, 0.14238546522534423)	(35, 0.15773004986602165)	(40, 0.17141712868960898)	(45, 0.18668822785071099)	(50, 0.20113955566188269)	(55, 0.21691035608409762)	(60, 0.23046271152846326)	(65, 0.26185162587644195)	(70, 0.2825949437499273)	(75, 0.2976121097538298)	(80, 0.310844395109378)	(85, 0.3244049156070299)	(90, 0.33815813136223505)	(95, 0.3553006607365246)	(100, 0.3721990550175579)	(105, 0.3891399075756793)	(110, 0.40511156830873374)	(115, 0.41835201871756816)	(120, 0.43112216205711984)	(125, 0.4446475728256412)	(130, 0.4609695143446718)	(135, 0.47829983994454295)	(140, 0.48840490989149254)
NG-13640_KM_H2_lib248380_5885_5_2 - illumina_universal_adapter	(1, 0.00011431074600621729)	(2, 0.00011431074600621729)	(3, 0.00016330106572316755)	(4, 0.00023678654529859293)	(5, 0.0002857768650155432)	(6, 0.00036742739787712695)	(7, 0.00041641771759407724)	(8, 0.0004939857238125818)	(9, 0.0005511410968156904)	(10, 0.0007634324822558084)	(15, 0.0011447404707194046)	(20, 0.0015889193694864205)	(25, 0.002465029587091214)	(30, 0.0036865215587005076)	(35, 0.0054771177443550395)	(40, 0.007846616207998201)	(45, 0.010347572029548512)	(50, 0.013113075577570354)	(55, 0.016392977482620176)	(60, 0.020264029245587862)	(65, 0.025198170946413367)	(70, 0.03169102131956651)	(75, 0.04062277310929515)	(80, 0.05361010686625868)	(85, 0.0727334781677702)	(90, 0.10187292033541225)	(95, 0.14577314583377135)	(100, 0.20970388005373422)	(105, 0.30119656814645335)	(110, 0.42821866910856193)	(115, 0.5953605758975383)	(120, 0.8106518019149908)	(125, 1.0779340047320567)	(130, 1.4021609221774483)	(135, 1.7877490315736488)	(140, 2.050632720185461)
NG-13640_KM_H2_lib248380_5885_5_2 - polya	(1, 0.016893495249061682)	(2, 0.022110964298916885)	(3, 0.0241481450938134)	(4, 0.02782650159922775)	(5, 0.030578124556663124)	(6, 0.032541819871984214)	(7, 0.035097481550551785)	(8, 0.04109471318923511)	(9, 0.04985989789192613)	(10, 0.06277374616931422)	(15, 0.08620744910058876)	(20, 0.10851029215173039)	(25, 0.12664324248963088)	(30, 0.14308602679729662)	(35, 0.1592144565534453)	(40, 0.17646313162045485)	(45, 0.19617601976922702)	(50, 0.21741005734521052)	(55, 0.24191338225697182)	(60, 0.26047744740838147)	(65, 0.28145591881650817)	(70, 0.3320465889775456)	(75, 0.35629271471079277)	(80, 0.378366936269922)	(85, 0.40806731759832304)	(90, 0.4304028208626093)	(95, 0.4536887363294044)	(100, 0.4732415894337678)	(105, 0.4929405969919535)	(110, 0.5139901043636699)	(115, 0.5360610599014846)	(120, 0.5583010320423227)	(125, 0.5815036639655989)	(130, 0.6057857159333053)	(135, 0.6326315946328654)	(140, 0.6469457495488298)
NG-13640_KM_H2_lib248380_5904_3_1 - illumina_universal_adapter	(1, 0.00018054297008660903)	(2, 0.00020633482295612463)	(3, 0.00022352939153580167)	(4, 0.00036108594017321806)	(5, 0.0004642533516512804)	(6, 0.000490045204520796)	(7, 0.0005416289102598271)	(8, 0.0005674207631293427)	(9, 0.0006104071845785354)	(10, 0.0007892306978071768)	(15, 0.0010058822619111076)	(20, 0.0012792759023279726)	(25, 0.001540633344739064)	(30, 0.0019206333103499267)	(35, 0.002553393434082042)	(40, 0.003334026847599381)	(45, 0.00416624396685575)	(50, 0.005032850223271473)	(55, 0.006019818459744935)	(60, 0.007682533241399707)	(65, 0.010167148401163041)	(70, 0.013353301958977198)	(75, 0.01906705709800388)	(80, 0.02780533685019576)	(85, 0.04184986046607598)	(90, 0.06450542402665846)	(95, 0.09890143901344443)	(100, 0.1503819773409975)	(105, 0.2232869481188282)	(110, 0.32446494801222187)	(115, 0.457353171280256)	(120, 0.6267729749526719)	(125, 0.837559471714075)	(130, 1.0972576382572274)	(135, 1.407782949521905)	(140, 1.6191437448738693)
NG-13640_KM_H2_lib248380_5904_3_1 - polya	(1, 0.014323075626870983)	(2, 0.019601808180831837)	(3, 0.023238459435433536)	(4, 0.02739954503171538)	(5, 0.03010768958301452)	(6, 0.03245474819414044)	(7, 0.036314928840277934)	(8, 0.04107782433684848)	(9, 0.04811900017022623)	(10, 0.05994542443932811)	(15, 0.07310442777335495)	(20, 0.08829067074292571)	(25, 0.11022062350944584)	(30, 0.12919998830769336)	(35, 0.14281636716593965)	(40, 0.15531509906650687)	(45, 0.1683141929127427)	(50, 0.1806323818432234)	(55, 0.19376903223809666)	(60, 0.20501084117548948)	(65, 0.23645454873714492)	(70, 0.255402963311949)	(75, 0.26901246434276344)	(80, 0.2807632325101147)	(85, 0.29256386492634706)	(90, 0.3051124610757954)	(95, 0.32082485784390424)	(100, 0.33597671167631565)	(105, 0.3508310994722987)	(110, 0.36450765932057383)	(115, 0.375680689983648)	(120, 0.38663019125518633)	(125, 0.39820557482302493)	(130, 0.4122449400683313)	(135, 0.42715606994062716)	(140, 0.43525471174165503)
NG-13640_KM_H2_lib248380_5904_3_2 - illumina_universal_adapter	(1, 0.00018914025437644758)	(2, 0.0001977375386662861)	(3, 0.00022352939153580167)	(4, 0.0003954750773325722)	(5, 0.000490045204520796)	(6, 0.00052443434168015)	(7, 0.0005760180474191812)	(8, 0.0006190044688683739)	(9, 0.0006791854588972436)	(10, 0.0009078732210069483)	(15, 0.0012964704709076496)	(20, 0.0021097735647263743)	(25, 0.0034131218630658955)	(30, 0.0051239814367437615)	(35, 0.007223438260322329)	(40, 0.009733845272955179)	(45, 0.012290677620753155)	(50, 0.015267057441895254)	(55, 0.018430858060555833)	(60, 0.022476740047353845)	(65, 0.02733420567111261)	(70, 0.03310814180016816)	(75, 0.04187393286208753)	(80, 0.05356623949626792)	(85, 0.06979963169234102)	(90, 0.09546080584065106)	(95, 0.1319923862450329)	(100, 0.18639428177427314)	(105, 0.26187156001162354)	(110, 0.3643219579799133)	(115, 0.49800800923004446)	(120, 0.670644916683718)	(125, 0.8851127705780298)	(130, 1.1464977242988486)	(135, 1.4586995060000447)	(140, 1.6720944188149847)
NG-13640_KM_H2_lib248380_5904_3_2 - polya	(1, 0.016833482639503832)	(2, 0.02087420625572794)	(3, 0.02308370831821644)	(4, 0.02587782571241396)	(5, 0.028207689754960203)	(6, 0.029712214505681945)	(7, 0.03199909212677899)	(8, 0.03732081110218904)	(9, 0.04606424922495482)	(10, 0.06006578641938585)	(15, 0.08373067115559538)	(20, 0.10573284111015013)	(25, 0.12271763595315513)	(30, 0.13795202371474896)	(35, 0.1533119318269745)	(40, 0.16972070862256028)	(45, 0.18832007345519697)	(50, 0.20865952862809695)	(55, 0.23154721886450505)	(60, 0.24929889146616366)	(65, 0.2688645910529782)	(70, 0.3208472107830579)	(75, 0.34450865660555147)	(80, 0.36585227458350456)	(85, 0.39468928554848093)	(90, 0.41674475866563265)	(95, 0.4389102770216944)	(100, 0.45871326165490844)	(105, 0.4777063821080197)	(110, 0.4980613123926415)	(115, 0.5209988668779306)	(120, 0.5444728919029057)	(125, 0.568681125006233)	(130, 0.5944127968857198)	(135, 0.6228508938596475)	(140, 0.6380732454232357)
NG-13640_KOPN_8_lib227470_5697_7_1 - illumina_universal_adapter	(1, 6.019761245006244e-05)	(2, 6.019761245006244e-05)	(3, 8.544177250976605e-05)	(4, 0.00017282540348566313)	(5, 0.0002427323082663808)	(6, 0.00029127876991965696)	(7, 0.0003262322223100158)	(8, 0.00036118567470037465)	(9, 0.00040390656095525766)	(10, 0.0005402250252776571)	(15, 0.0007600434036436916)	(20, 0.0009748129499977853)	(25, 0.0012622080029851802)	(30, 0.001575235587725505)	(35, 0.002417613790333153)	(40, 0.003186589742921047)	(45, 0.003748175211326146)	(50, 0.004403358257798761)	(55, 0.005327294515983913)	(60, 0.006850876668510331)	(65, 0.009529476236691498)	(70, 0.014328973621580993)	(75, 0.023447940978532388)	(80, 0.04085709049909044)	(85, 0.07457086044467123)	(90, 0.1356372603724807)	(95, 0.24524468474986114)	(100, 0.4279751198995655)	(105, 0.7161908022747474)	(110, 1.1452953070582148)	(115, 1.7379283737348963)	(120, 2.5182168170030836)	(125, 3.487098554501918)	(130, 4.649104330404577)	(135, 5.992081217686626)	(140, 6.871336089309488)
NG-13640_KOPN_8_lib227470_5697_7_1 - polya	(1, 0.004501227924491765)	(2, 0.010771488911628914)	(3, 0.014515392034329572)	(4, 0.019845793523859293)	(5, 0.022970243795864147)	(6, 0.02577817113788964)	(7, 0.030087155074234432)	(8, 0.03598069551894216)	(9, 0.045476383418322976)	(10, 0.06182333635790734)	(15, 0.08126211634726557)	(20, 0.10169823484482872)	(25, 0.12780535680688096)	(30, 0.150193431434599)	(35, 0.16679787480679237)	(40, 0.18163367348803355)	(45, 0.19837987252825448)	(50, 0.214201746938597)	(55, 0.2317410009763859)	(60, 0.24672399252935978)	(65, 0.26399255149697)	(70, 0.28354590113582995)	(75, 0.3004517209419668)	(80, 0.3151779988057182)	(85, 0.3297322280093704)	(90, 0.34569508134435406)	(95, 0.3646072293176975)	(100, 0.38295351973401043)	(105, 0.4010058127785511)	(110, 0.41727664486626315)	(115, 0.43055313119920113)	(120, 0.4440940986552261)	(125, 0.45865065808903765)	(130, 0.4757052242536802)	(135, 0.4942554098089369)	(140, 0.5052502124441708)
NG-13640_KOPN_8_lib227470_5697_7_2 - illumina_universal_adapter	(1, 6.602318784845558e-05)	(2, 6.602318784845558e-05)	(3, 9.320920637429022e-05)	(4, 0.00018641841274858045)	(5, 0.0002582671759954292)	(6, 0.0003106973545809674)	(7, 0.0003514763823697194)	(8, 0.00039225541015847136)	(9, 0.00044468558874400966)	(10, 0.0006120737885245059)	(15, 0.0009476269314719506)	(20, 0.0014241589990605093)	(25, 0.0022824604410904325)	(30, 0.003464663875271013)	(35, 0.005370015402238796)	(40, 0.0072734250707404465)	(45, 0.009024981407190652)	(50, 0.010933051536011018)	(55, 0.013205802684770795)	(60, 0.016160534526835794)	(65, 0.020207755941946123)	(70, 0.026333931030896346)	(75, 0.03675394356015554)	(80, 0.05551889866176629)	(85, 0.09060362068443559)	(90, 0.15332953285740064)	(95, 0.264159162953364)	(100, 0.44852270107308456)	(105, 0.7378930124922279)	(110, 1.1658832788878293)	(115, 1.7545895193743004)	(120, 2.5328564879792457)	(125, 3.5017304580442157)	(130, 4.66211051003903)	(135, 5.998192634651232)	(140, 6.870840915400625)
NG-13640_KOPN_8_lib227470_5697_7_2 - polya	(1, 0.00770141067667573)	(2, 0.011416185922384421)	(3, 0.013004626147679619)	(4, 0.016072762524166673)	(5, 0.01807093488581552)	(6, 0.019626363517186485)	(7, 0.021537152247859435)	(8, 0.02705979772553613)	(9, 0.03443497617990185)	(10, 0.04549075317097234)	(15, 0.06607950174397338)	(20, 0.08456910131508674)	(25, 0.10033893391853699)	(30, 0.11507996990663098)	(35, 0.1302524868458993)	(40, 0.14772455258075998)	(45, 0.16656213318900406)	(50, 0.18721340960461452)	(55, 0.2111980802631855)	(60, 0.22901230145977852)	(65, 0.2491408295763065)	(70, 0.2727584889847787)	(75, 0.29541648193928893)	(80, 0.3164782672346395)	(85, 0.3461669529516239)	(90, 0.3683969603001989)	(95, 0.39001489386024935)	(100, 0.40760424784646443)	(105, 0.4258891755352476)	(110, 0.44488288156416855)	(115, 0.4644226381937656)	(120, 0.484050555197725)	(125, 0.5059943326083923)	(130, 0.5283249282255127)	(135, 0.5514450834949625)	(140, 0.564005024053898)
NG-13640_KU812_lib236377_5767_8_1 - illumina_universal_adapter	(1, 5.972321457969346e-05)	(2, 6.491653758662333e-05)	(3, 8.309316811087786e-05)	(4, 0.0001791696437390804)	(5, 0.0002570694888430284)	(6, 0.0003297760109400465)	(7, 0.00037911257950588027)	(8, 0.00040248253303706464)	(9, 0.0004310458095751789)	(10, 0.0005852875028809959)	(15, 0.0008548209669406559)	(20, 0.0011560337013425883)	(25, 0.0014894450383874857)	(30, 0.0018924469037252434)	(35, 0.0027654445011901533)	(40, 0.003640519427857837)	(45, 0.004312016092653867)	(50, 0.005003247384876233)	(55, 0.005918830230997969)	(60, 0.007119007177899461)	(65, 0.008780351207816325)	(70, 0.011538005724496083)	(75, 0.01624575303027801)	(80, 0.024870304547886433)	(85, 0.04084081145879716)	(90, 0.07006727534489636)	(95, 0.12304280534168585)	(100, 0.21418406611640295)	(105, 0.36528068300922323)	(110, 0.5990524055108635)	(115, 0.9442577791044988)	(120, 1.4223737910852872)	(125, 2.0543518644600858)	(130, 2.8477893114557333)	(135, 3.805543498390641)	(140, 4.4520254842591935)
NG-13640_KU812_lib236377_5767_8_1 - polya	(1, 0.0027888144547213384)	(2, 0.008436553224757568)	(3, 0.01206408934509808)	(4, 0.017592381685974923)	(5, 0.020542189153911088)	(6, 0.02317520391842453)	(7, 0.0271610793262432)	(8, 0.0332035106448061)	(9, 0.042481382196686304)	(10, 0.05919609229449009)	(15, 0.07676614269153521)	(20, 0.09525125660240137)	(25, 0.11952640633369364)	(30, 0.1406164910648358)	(35, 0.15709334696892222)	(40, 0.1716393253790321)	(45, 0.18775368733723474)	(50, 0.20306723888776884)	(55, 0.21962511063076334)	(60, 0.233567624907468)	(65, 0.24984973119879447)	(70, 0.26688383066152443)	(75, 0.2828075976653728)	(80, 0.29645149586917896)	(85, 0.3100252842123915)	(90, 0.32470057636537397)	(95, 0.34193098343776585)	(100, 0.35871476473156183)	(105, 0.37593374649333844)	(110, 0.39144724097963934)	(115, 0.40453753095090683)	(120, 0.4178729457681013)	(125, 0.43123017254192486)	(130, 0.44664914854949966)	(135, 0.46283206237139385)	(140, 0.4721873144360773)
NG-13640_KU812_lib236377_5767_8_2 - illumina_universal_adapter	(1, 6.491653758662333e-05)	(2, 7.01098605935532e-05)	(3, 9.088315262127267e-05)	(4, 0.00019474961275987)	(5, 0.00027264945786381796)	(6, 0.00035574262597469584)	(7, 0.0004102725175474594)	(8, 0.0004414324555890386)	(9, 0.00048038237814101265)	(10, 0.0007068112612431548)	(15, 0.001164343018153676)	(20, 0.0018680382855926728)	(25, 0.003158059720514051)	(30, 0.0048936682694300125)	(35, 0.007369844679134173)	(40, 0.010040770701598204)	(45, 0.012652492841783233)	(50, 0.015356136799190923)	(55, 0.018370341472413017)	(60, 0.021699780852155754)	(65, 0.02541508413131338)	(70, 0.030321735708260723)	(75, 0.03714680080396794)	(80, 0.048028889832688784)	(85, 0.06621019434764956)	(90, 0.09777365358686721)	(95, 0.15326534858051422)	(100, 0.2468334491963696)	(105, 0.40058333481343034)	(110, 0.6376465854368629)	(115, 0.987299001521332)	(120, 1.4706810430311474)	(125, 2.108761270939089)	(130, 2.907071612912138)	(135, 3.869462917959934)	(140, 4.520185252063645)
NG-13640_KU812_lib236377_5767_8_2 - polya	(1, 0.011999172807511456)	(2, 0.017457355287794747)	(3, 0.019316564924275637)	(4, 0.023089514088810187)	(5, 0.025210986537141038)	(6, 0.027031246251069955)	(7, 0.02905144890076567)	(8, 0.03493288720611375)	(9, 0.04335645712335399)	(10, 0.05577473109752469)	(15, 0.07763498563059457)	(20, 0.09850383480164154)	(25, 0.11588277091203165)	(30, 0.13112984792807705)	(35, 0.14604870693008448)	(40, 0.16293220002561346)	(45, 0.18157571028819097)	(50, 0.20151235797949404)	(55, 0.22517677292517138)	(60, 0.24334769079411828)	(65, 0.26370499764898264)	(70, 0.28862515809773565)	(75, 0.3108058406603331)	(80, 0.3316861151419953)	(85, 0.3613051942474184)	(90, 0.38382707813157124)	(95, 0.4066039541753642)	(100, 0.42541417010646415)	(105, 0.4442373693450815)	(110, 0.4643412420372077)	(115, 0.48509272210829807)	(120, 0.5061558015598042)	(125, 0.5290297927438268)	(130, 0.5519157285707653)	(135, 0.576810961069085)	(140, 0.5903743627662837)
NG-13640_K_562_RNA_lib206692_5568_1_1 - illumina_universal_adapter	(1, 0.0)	(2, 2.9417583330820583e-06)	(3, 1.1767033332328233e-05)	(4, 2.0592308331574406e-05)	(5, 2.0592308331574406e-05)	(6, 2.0592308331574406e-05)	(7, 2.3534066664656467e-05)	(8, 2.3534066664656467e-05)	(9, 2.3534066664656467e-05)	(10, 2.7652528330971348e-05)	(15, 7.472066166028428e-05)	(20, 0.00030358945997406843)	(25, 0.0005242213349552227)	(30, 0.0007342628799372816)	(35, 0.001001962888247749)	(40, 0.0013314398215529394)	(45, 0.0017003363165214297)	(50, 0.002067467756490071)	(55, 0.00250696645145253)	(60, 0.0030164789947423423)	(65, 0.0036001238480258225)	(70, 0.004359685849627611)	(75, 0.005439899509535341)	(80, 0.007084930769394829)	(85, 0.009876071075823086)	(90, 0.014775275403737945)	(95, 0.023133987531357304)	(100, 0.038513500096710306)	(105, 0.06456100508115208)	(110, 0.11000999462393665)	(115, 0.18294030216270718)	(120, 0.2998040053510584)	(125, 0.47422674043615987)	(130, 0.7307927818075781)	(135, 1.0857459306289259)	(140, 1.3380999624190373)
NG-13640_K_562_RNA_lib206692_5568_1_1 - polya	(1, 0.00904884863256041)	(2, 0.012128869607297326)	(3, 0.014841170790398983)	(4, 0.01859485442341169)	(5, 0.02048346327325037)	(6, 0.022666247956397257)	(7, 0.025519753539486854)	(8, 0.029394049264155925)	(9, 0.036230695630238625)	(10, 0.04902734437914558)	(15, 0.06418446001451758)	(20, 0.08000111786816658)	(25, 0.10189780184462957)	(30, 0.12026731757972717)	(35, 0.13244443202368705)	(40, 0.1438549242460457)	(45, 0.15648095101163392)	(50, 0.16911168459055503)	(55, 0.181908333339462)	(60, 0.1933129420451545)	(65, 0.20552947605077768)	(70, 0.2197328736345645)	(75, 0.23383801649002636)	(80, 0.24627871248063035)	(85, 0.2578568849279747)	(90, 0.27133602161015674)	(95, 0.28776574190042)	(100, 0.3038300958057145)	(105, 0.3212317730492281)	(110, 0.3363635895629356)	(115, 0.34828771279025045)	(120, 0.3596899680892765)	(125, 0.3714175818599414)	(130, 0.38561038911372914)	(135, 0.40206599687732353)	(140, 0.4103635204316148)
NG-13640_K_562_RNA_lib206692_5568_1_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 2.9417583330820583e-06)	(4, 1.470879166541029e-05)	(5, 1.470879166541029e-05)	(6, 1.765054999849235e-05)	(7, 2.3534066664656467e-05)	(8, 2.3534066664656467e-05)	(9, 2.6475824997738524e-05)	(10, 3.647780333021753e-05)	(15, 0.00011531692665681667)	(20, 0.00045185407996140416)	(25, 0.0009395976115864093)	(30, 0.0016367943365268572)	(35, 0.0024551915047902858)	(40, 0.00344479900803909)	(45, 0.004556783657944108)	(50, 0.005747019079509109)	(55, 0.007094932747727307)	(60, 0.008703486204256577)	(65, 0.010369698124114254)	(70, 0.012204178620624227)	(75, 0.014338130115441952)	(80, 0.017095146025206457)	(85, 0.021052987686535057)	(90, 0.027145957546014614)	(95, 0.03664842531353628)	(100, 0.05317110516712498)	(105, 0.0804217893097973)	(110, 0.12736931054745387)	(115, 0.20193288231275158)	(120, 0.3197014703643588)	(125, 0.49459782854108647)	(130, 0.7521370035690883)	(135, 1.1068283358987918)	(140, 1.3577626751173577)
NG-13640_K_562_RNA_lib206692_5568_1_2 - polya	(1, 0.006021779307818973)	(2, 0.009613666232512166)	(3, 0.01096393330739683)	(4, 0.012961387215559549)	(5, 0.0142645861571149)	(6, 0.015370687290353754)	(7, 0.016912168656888753)	(8, 0.021027688564870552)	(9, 0.026911205231034668)	(10, 0.037233246870152996)	(15, 0.05425190717869932)	(20, 0.07054042306897468)	(25, 0.08333001159788223)	(30, 0.09494878031022314)	(35, 0.10733240618916536)	(40, 0.12117337914631646)	(45, 0.13644581170834527)	(50, 0.15291789331860492)	(55, 0.1710808976187202)	(60, 0.18591500818911974)	(65, 0.20208232363607212)	(70, 0.22040888969950673)	(75, 0.23822535486798496)	(80, 0.2545468184515908)	(85, 0.2771965925613228)	(90, 0.296698685254657)	(95, 0.3166349814779541)	(100, 0.33468855236807865)	(105, 0.3505699289050555)	(110, 0.36858937539851633)	(115, 0.38852861338014655)	(120, 0.41152316156651575)	(125, 0.43350750994130455)	(130, 0.45211589645304845)	(135, 0.47183097244969774)	(140, 0.48251308530878534)
NG-13640_LAMA_84_lib259816_5981_7_1 - illumina_universal_adapter	(1, 4.3796982300325545e-05)	(2, 4.3796982300325545e-05)	(3, 0.00011470638221513833)	(4, 0.0002836375996592511)	(5, 0.0004442265347604448)	(6, 0.0005339060699468257)	(7, 0.0006256711757189363)	(8, 0.0007341208461768853)	(9, 0.0008112869578488875)	(10, 0.0012021228856146497)	(15, 0.0018015158719533908)	(20, 0.002310812208988605)	(25, 0.002752118944929028)	(30, 0.0031892545396979915)	(35, 0.0036935455073274547)	(40, 0.004328393193623601)	(45, 0.005107979478569396)	(50, 0.006096122822088169)	(55, 0.0073282779241373285)	(60, 0.008940006872789308)	(65, 0.011023909002050513)	(70, 0.014019205477275634)	(75, 0.01844228357549137)	(80, 0.025609555450410354)	(85, 0.037438494698552566)	(90, 0.0565594229426404)	(95, 0.08774996528046368)	(100, 0.13753545496065372)	(105, 0.21653311472104378)	(110, 0.3390186752209542)	(115, 0.5224533676323492)	(120, 0.7862930628353846)	(125, 1.152264400963959)	(130, 1.6425703664737519)	(135, 2.2766263701755562)	(140, 2.7212358156955414)
NG-13640_LAMA_84_lib259816_5981_7_1 - polya	(1, 0.0028322048554210518)	(2, 0.008333940060576231)	(3, 0.010801170063494571)	(4, 0.013869044395103088)	(5, 0.015541672004858379)	(6, 0.01691606302085431)	(7, 0.01924981650628594)	(8, 0.02259924286696798)	(9, 0.027879907590035804)	(10, 0.03750731852788165)	(15, 0.05050709710285256)	(20, 0.06398822536900992)	(25, 0.08211058241665033)	(30, 0.09751502387696769)	(35, 0.1094311399755934)	(40, 0.12104609968163973)	(45, 0.13349487050786085)	(50, 0.14470439529204132)	(55, 0.15697672684670966)	(60, 0.16662082234924136)	(65, 0.18237230275502417)	(70, 0.195246112866617)	(75, 0.20673802390810522)	(80, 0.2167045486231908)	(85, 0.22645751091029753)	(90, 0.23644280576065463)	(95, 0.2479764282138575)	(100, 0.2591083697722488)	(105, 0.26930263879529603)	(110, 0.27909480980941453)	(115, 0.288084036148027)	(120, 0.29706074906312524)	(125, 0.3062635378297165)	(130, 0.3166993159265911)	(135, 0.327615609486418)	(140, 0.3340395840045829)
