Gene	WGCNA_kTotal	Spearman_meanAbs	Variance	Variance_scaled	MX_Score	Rank_kTotal	Rank_MX	Pctl_kTotal	Pctl_MX	Rank_Sum	Rank_Prod	Rank_Combo
ENSG00000170989	11.444904456200499	0.17029633216631637	11.68521350026279	0.31396125777350437	0.05346645064115118	489	133	0.9167093360641748	0.9774705581157194	622	65037	82
ENSG00000170624	12.154340649469733	0.17225046182402962	10.60331532811029	0.2848925453443977	0.0490728725057958	450	174	0.9233657620754395	0.9704727769243898	624	78300	83
ENSG00000163064	11.958134264817334	0.17040439298876983	10.792119537271306	0.28996538436268277	0.04941137531007829	458	168	0.92200034135518	0.9714968424645845	626	76944	84
ENSG00000168350	12.516823480210787	0.19058695372470597	9.15865287663611	0.24607699094200808	0.04689906408537938	425	202	0.9276327018262502	0.9656938044034818	627	85850	85
ENSG00000165757	18.188693586907952	0.17666375896360054	8.008845182041174	0.2151836683694628	0.038015155721726125	259	369	0.9559651817716334	0.9371906468680662	628	95571	86
ENSG00000065371	22.486488816077035	0.19622566110303707	6.624568922870429	0.1779905853825345	0.0349263202868044	185	444	0.9685953234340331	0.924389827615634	629	82140	87
ENSG00000163879	10.85669874217502	0.18819070595895562	11.196573591364846	0.300832357698852	0.05661385377064402	523	107	0.9109062980030722	0.9819081754565625	630	55961	88
ENSG00000119865	15.877536585415584	0.20191573033359234	7.6021407491179644	0.20425623128842366	0.041242546115789216	324	307	0.9448711384195255	0.9477726574500768	631	99468	89
ENSG00000211677	27.860898359848957	0.1554347149301428	7.994521042744478	0.21479880378910982	0.03338719083429596	130	502	0.9779825908858167	0.9144905273937531	632	65260	90
ENSG00000167601	12.634074922983613	0.17229760338720154	10.028757564818147	0.2694551827302977	0.046426482204690755	421	213	0.9283154121863799	0.9638163509131251	634	89673	91
ENSG00000043462	16.894325548895367	0.14036138573410412	10.44206522342728	0.28056003694125653	0.03937979556668621	295	349	0.9498207885304659	0.9406041986687148	644	102955	92
ENSG00000211598	30.439097083199254	0.148331361484619	8.1049954027537	0.2177670567028831	0.032301684007236875	110	541	0.9813961426864652	0.9078341013824884	651	59510	93
ENSG00000243466	28.78518421754804	0.15051056095201445	8.009639593965858	0.2152050128290277	0.03239062720058243	120	535	0.9796893667861409	0.9088581669226831	655	64200	94
ENSG00000177469	13.034579586584721	0.1968271459141621	8.361327047889672	0.2246542398692182	0.04421805285097378	413	250	0.9296808329066394	0.9575012800819253	663	103250	95
ENSG00000185479	9.658533211051356	0.1836536451469229	13.180756531614685	0.3541438844039105	0.06503981527726865	598	69	0.8981054787506401	0.9883939238777949	667	41262	96
ENSG00000172061	13.573690476965135	0.14629090114467957	10.927902066137863	0.2936136235279879	0.042953001574264044	394	275	0.9329237071172555	0.9532343403311145	669	108350	97
ENSG00000050165	10.22886919719069	0.162400628615949	12.890778565492285	0.3463526834157262	0.05624789350953471	562	109	0.9042498719918075	0.9815668202764977	671	61258	98
ENSG00000144218	9.057161534224512	0.19120460520183832	16.431990838504625	0.44149886617506745	0.08441661640406302	647	25	0.889742276839051	0.9959037378392217	672	16175	99
ENSG00000211895	8.985377759679615	0.1535513913374047	23.05547641948879	0.6194603440550988	0.09511899770800783	658	16	0.8878648233486943	0.9974398361495136	674	10528	100
ENSG00000126785	10.991508145814398	0.18797463265479294	9.93484885999043	0.26693202000991373	0.05017644840516537	515	161	0.9122717187233316	0.9726915855948114	676	82915	101
ENSG00000178568	9.789597911168547	0.18720880272774568	12.023347274383964	0.3230463211329713	0.06047711500490641	592	89	0.8991295442908346	0.9849803720771463	681	52688	102
ENSG00000174607	14.31769201588627	0.18473408244428552	8.288973250166075	0.2227102198187947	0.04114216810919017	371	310	0.9368492916880014	0.9472606246799795	681	115010	103
ENSG00000120262	9.825273121681219	0.1960539220259102	11.27090879658116	0.3028296147045576	0.05937093366842377	589	94	0.8996415770609318	0.9841269841269842	683	55366	104
ENSG00000026751	17.97843117802524	0.15114085280679082	8.771585865167797	0.23567717704382898	0.035620449525501335	264	421	0.9551117938214713	0.9283154121863799	685	111144	105
ENSG00000183853	11.694041231203437	0.19227454420230786	9.003311527004733	0.24190324045696954	0.04651183529992509	475	211	0.9190988223246288	0.96415770609319	686	100225	106
ENSG00000162745	15.042492966658461	0.1548250658063328	9.586442153500052	0.2575709409176076	0.03987843787736765	348	340	0.9407748762587472	0.9421402969790067	688	118320	107
ENSG00000138755	9.858843586141285	0.13764368618728848	15.070136036791073	0.40490820855111753	0.05573305839246718	581	112	0.9010069977811913	0.9810547875064004	693	65072	108
ENSG00000162618	10.660439302336085	0.16911595735375587	11.105266950583436	0.2983791078902661	0.05046066848522197	534	159	0.9090288445127155	0.9730329407748762	693	84906	109
ENSG00000139865	19.028241331323727	0.18997924643322586	6.784104813005773	0.18227703583770008	0.03462885391052836	242	456	0.9588667008021847	0.9223416965352449	698	110352	110
ENSG00000144642	15.881667316234276	0.20041557604800694	7.017916825095158	0.1885591558346078	0.037790191835718835	322	376	0.9452124935995904	0.9359959037378393	698	121072	111
ENSG00000211666	28.514393770343474	0.15016652445155676	7.731934396453878	0.2077435596772184	0.031196128333922456	124	580	0.9790066564260113	0.9011776753712237	704	71920	112
ENSG00000169744	11.889156452035893	0.18468897515429025	9.058148540166354	0.24337661513038714	0.04494897762495133	466	240	0.9206349206349207	0.9592080559822496	706	111840	113
