gene_id	gene_symbol	source_category	source_lineage_or_contrast	selection_reason
ENSG00000109047	RCVRN	isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000109458	GAB1	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000109586	GALNT7	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000109790	KLHL5	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000110169	HPX	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000110315	RNF141	isolate rescue	RBL:isolate_NG-30919_RBL_7_lib628468_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000111057	KRT18	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000111145	ELK3	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000111249	CUX2	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000112208	BAG2	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000112309	B3GAT2	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000114251	WNT5A	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000114541	FRMD4B	strict recurrent core	NBL; NBL:isolate_SH_SY5Y_vs_rest; NBL:isolate_SK_N_BE_2_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000115085	ZAP70	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000115295	CLIP4	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000115339	GALNT3	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000115685	PPP1R7	isolate rescue	BRCA:isolate_HCC_1937_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000115694	STK25	isolate rescue	BRCA:isolate_HCC_1937_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000115884	SDC1	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000116703	PDC	isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000117020	AKT3	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000117525	F3	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000117598	PLPPR5	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000118503	TNFAIP3	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000119699	TGFB3	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000119771	KLHL29	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000120903	CHRNA2	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000121281	ADCY7	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000121769	FABP3	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000121905	HPCA	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000122786	CALD1	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000122861	PLAU	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000123384	LRP1	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000124788	ATXN1	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000125386	FAM193A	isolate rescue	BRCA:isolate_HCC_1937_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000125744	RTN2	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000126016	AMOT	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000127328	RAB3IP	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000128283	CDC42EP1	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000128567	PODXL	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000128591	FLNC	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000128596	CCDC136	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000129038	LOXL1	isolate rescue	NBL:isolate_SH_SY5Y_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000129116	PALLD	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000129474	AJUBA	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000129514	FOXA1	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000130508	PXDN	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000130517	PGPEP1	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000130940	CASZ1	isolate rescue	RBL:isolate_NG-30919_RBL_14_lib628470_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000131142	CCL25	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000131724	IL13RA1	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000132323	ILKAP	isolate rescue	BRCA:isolate_HCC_1937_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000132740	IGHMBP2	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000133104	SPART	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000134013	LOXL2	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000134215	VAV3	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000134755	DSC2	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000134871	COL4A2	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000135318	NT5E	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000135605	TEC	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000136111	TBC1D4	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000136158	SPRY2	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000136826	KLF4	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000136878	USP20	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000137177	KIF13A	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000137203	TFAP2A	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000137817	PARP6	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000138623	SEMA7A	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000138821	SLC39A8	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000139289	PHLDA1	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000139679	LPAR6	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000140545	MFGE8	strict recurrent core	BRCA; RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000140873	ADAMTS18	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000141428	C18orf21	isolate rescue	BRCA:isolate_HCC_1937_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000141574	SECTM1	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000142235	LMTK3	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000142910	TINAGL1	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000143320	CRABP2	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000143344	RGL1	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000143416	SELENBP1	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000144406	UNC80	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000145198	VWA5B2	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000145431	PDGFC	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000145920	CPLX2	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000146072	TNFRSF21	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000146966	DENND2A	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000147852	VLDLR	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000149557	FEZ1	isolate rescue	RBL:isolate_NG-30919_RBL_14_lib628470_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000149716	LTO1	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000150625	GPM6A	isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000150687	PRSS23	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000151012	SLC7A11	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000153406	NMRAL1	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000154134	ROBO3	isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000155465	SLC7A7	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000156298	TSPAN7	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000157107	FCHO2	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000157654	PALM2AKAP2	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000157827	FMNL2	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000157978	LDLRAP1	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000158321	AUTS2	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000158486	DNAH3	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000159403	C1R	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000161638	ITGA5	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000161681	SHANK1	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
