tumour_lineage	tumour_sample_id	cell_line_model_id	cell_line_group_id	cell_line_lineage	rank	top10_indicator	is_displayed_model	is_focal_lineage	is_non_focal_lineage	similarity_score	panel	figure_label
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_SKNBE2_libLAB6076	SKNBE2	neuroblastoma	21	FALSE	FALSE	FALSE	TRUE	0.0886542527118041	A	SKNBE2
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468_B	breast cancer	22	FALSE	TRUE	TRUE	FALSE	0.0822703722893751	A	MDA-MB-468-B
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_CAL_120_lib581301_8005_3	CAL_120	breast cancer	23	FALSE	FALSE	TRUE	FALSE	0.0429126594179531	A	CAL-120
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_GIMEN_libLAB6073	GIMEN	neuroblastoma	24	FALSE	FALSE	FALSE	TRUE	0.00846164623198376	A	GIMEN
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T_B	breast cancer	25	FALSE	FALSE	TRUE	FALSE	0.000448255176334083	A	HS-578T-B
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	breast cancer	26	FALSE	FALSE	TRUE	FALSE	-0.000233036790814368	A	MDA-MB-231
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_NMB_libLAB6080	NMB	neuroblastoma	27	FALSE	FALSE	FALSE	TRUE	-0.0274756315838571	A	NMB
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_SHSY5Y_libLAB6081	SHSY5Y	neuroblastoma	28	FALSE	FALSE	FALSE	TRUE	-0.0336820267143315	A	SHSY5Y
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_COLO_824_lib581290_7997_4	COLO_824	breast cancer	29	FALSE	FALSE	TRUE	FALSE	-0.0464134519876082	A	COLO-824
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	breast cancer	30	FALSE	FALSE	TRUE	FALSE	-0.0465629868398849	A	ETCC-007
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	breast cancer	31	FALSE	FALSE	TRUE	FALSE	-0.0491896294086141	A	ETCC-006
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-A0611_LAN6_libLAB6089	LAN6	neuroblastoma	32	FALSE	FALSE	FALSE	TRUE	-0.0659039923359894	A	LAN6
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	breast cancer	33	FALSE	FALSE	TRUE	FALSE	-0.074460320682382	A	HCC-1599
