cell_line_group_id	cell_line_lineage	tumour_sample_id	tumour_lineage	similarity_score	rank	consensus_component_id	consensus_component_label	same_lineage_indicator
BT_474	breast cancer	TCGA-EW-A1P6-01A-11R-A144-07	breast cancer	0.458344935677304	37	4	Component 4 - breast cancer dominant (n = 47, purity = 1.00)	TRUE
BT_474	breast cancer	TCGA-B6-A0I8-01A-11R-A034-07	breast cancer	0.457419077362974	38	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-GM-A5PV-01A-11R-A28M-07	breast cancer	0.456879633877191	39	5	Component 5 - breast cancer dominant (n = 79, purity = 1.00)	TRUE
BT_474	breast cancer	TCGA-E2-A2P5-01A-11R-A19W-07	breast cancer	0.453264244504856	40	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-B6-A0WV-01A-11R-A109-07	breast cancer	0.45009676092836	41	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-A2-A0YG-01A-21R-A109-07	breast cancer	0.449671215484264	42	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-B6-A0WZ-01A-11R-A109-07	breast cancer	0.448919348656929	43	5	Component 5 - breast cancer dominant (n = 79, purity = 1.00)	TRUE
BT_474	breast cancer	TCGA-A7-A0CH-01A-21R-A00Z-07	breast cancer	0.444902870475217	44	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-BH-A18S-01A-11R-A12D-07	breast cancer	0.442494241335975	45	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-A8-A09W-01A-11R-A00Z-07	breast cancer	0.442429955324716	46	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-OL-A5RZ-01A-11R-A28M-07	breast cancer	0.442128789337187	47	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-D8-A1JN-01A-11R-A13Q-07	breast cancer	0.441195943412937	48	5	Component 5 - breast cancer dominant (n = 79, purity = 1.00)	TRUE
BT_474	breast cancer	TCGA-A8-A0A2-01A-11R-A034-07	breast cancer	0.439859213635342	49	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-E2-A1LB-01A-11R-A144-07	breast cancer	0.439528699686151	50	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-EW-A1PG-01A-11R-A144-07	breast cancer	0.459652317493237	1	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-GM-A2DL-01A-11R-A18M-07	breast cancer	0.442607440616671	2	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-A2-A0D2-01A-21R-A034-07	breast cancer	0.437259822745299	3	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_120	breast cancer	TCGA-E9-A22B-01A-11R-A157-07	breast cancer	0.436004848003762	4	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
