Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR17010998_2	SRR17010998_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36601751.0	0.0	35-151	51.0	21.388468485359518	143.21533781266365	151	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR17010999_1	SRR17010999_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54623050.0	0.0	35-151	50.0	15.98658582433564	144.77147938461877	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17010999_2	SRR17010999_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54623050.0	0.0	35-151	50.0	20.081784500599344	144.74837192357438	151	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR17011000_1	SRR17011000_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56199297.0	0.0	35-151	51.0	14.632579039107968	144.14062184799215	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011000_2	SRR17011000_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56199297.0	0.0	35-151	51.0	17.88851620376933	144.1486360763552	151	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR17011001_1	SRR17011001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27732343.0	0.0	35-151	50.0	28.73968776193219	141.11048417365961	151	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR17011001_2	SRR17011001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27732343.0	0.0	35-151	50.0	32.141313195758066	141.17495694467647	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011002_1	SRR17011002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28793514.0	0.0	35-151	50.0	30.51204371950978	141.15429460954297	151	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR17011002_2	SRR17011002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28793514.0	0.0	35-151	50.0	33.9498266148832	141.18157485050278	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011003_1	SRR17011003_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26395564.0	0.0	35-151	50.0	31.221299734865593	141.2080269624093	151	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR17011003_2	SRR17011003_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26395564.0	0.0	35-151	50.0	34.33602065097471	141.28304748479707	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011004_1	SRR17011004_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25533186.0	0.0	35-151	50.0	30.265226759356633	141.94980477563593	151	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR17011004_2	SRR17011004_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25533186.0	0.0	35-151	50.0	33.71441840217262	142.0180820756172	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011005_1	SRR17011005_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33524247.0	0.0	35-151	50.0	27.959202050972564	142.03900183052582	151	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR17011005_2	SRR17011005_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33524247.0	0.0	35-151	50.0	31.282598696046882	142.10883465928407	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011006_1	SRR17011006_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30566102.0	0.0	35-151	50.0	24.334345459869628	143.2235400510016	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011006_2	SRR17011006_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30566102.0	0.0	35-151	50.0	28.28051846730594	143.16046256078056	151	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR17011007_1	SRR17011007_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40686294.0	0.0	35-151	50.0	27.83343506739052	142.42284551647785	151	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR17011007_2	SRR17011007_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40686294.0	0.0	35-151	50.0	31.751106886446173	142.38446337727393	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011008_1	SRR17011008_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27874313.0	0.0	35-151	51.0	26.546458650627912	142.0304645355744	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011008_2	SRR17011008_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27874313.0	0.0	35-151	51.0	30.70941818768935	142.01365016601486	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011009_1	SRR17011009_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28505999.0	0.0	35-151	51.0	27.041103501741677	141.29723420673662	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011009_2	SRR17011009_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28505999.0	0.0	35-151	51.0	29.758945398350296	141.29000832421275	151	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR17011010_1	SRR17011010_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38429802.0	0.0	35-151	50.0	23.175986383055804	142.65367789300606	151	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR17011010_2	SRR17011010_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38429802.0	0.0	35-151	50.0	26.912133757255212	142.59029913815326	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011011_1	SRR17011011_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64581542.0	0.0	35-151	50.0	28.60770291589074	146.1681782853683	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
