Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR17011007_2	0.15895770698604303	0.11592601675640449
SRR17011008_1	1.3802456763687772	0.7119888479403957
SRR17011008_2	0.26432579701605563	0.5574523038469145
SRR17011009_1	1.288925183783245	0.7029748369808053
SRR17011009_2	0.3018978566581722	0.8142987726899169
SRR17011010_1	0.9375692333777832	0.6353792819437374
SRR17011010_2	0.21781532988382296	0.12727101742548658
SRR17011011_1	1.0095160007173567	0.3135772137494022
SRR17011011_2	0.1635064706259259	0.23573299008561918
SRR17011012_1	4.857038179816022	3.769096816095174
SRR17011012_2	1.1910136689648867	5.901402103498925
SRR17011013_1	4.139892262863292	2.490383693525022
SRR17011013_2	0.821150351381668	3.6296451218588155
SRR17011014_1	2.260572038220036	1.3227820643921793
SRR17011014_2	0.35481722749422884	1.5273856011960065
SRR17011015_1	4.163471081762892	2.5263753280930787
SRR17011015_2	1.0040138022091583	4.004636796069646
SRR17011016_1	1.5124372976033054	0.49046738484360874
SRR17011016_2	0.23357984003770504	0.8429379425255873
SRR17011017_1	2.3099141300944366	1.349283484391718
SRR17011017_2	0.3116607641458878	1.4289987977967298
SRR17011018_1	1.2328107628544713	0.39042406659804985
SRR17011018_2	0.13442581973553774	0.11138942200958388
SRR17011019_1	3.0168754997740894	2.5591765488326477
SRR17011019_2	0.8326371914658243	4.047696003785291
SRR17011020_1	3.9956371647727127	2.9800748020533896
SRR17011020_2	1.073964881513009	5.676954095351936
SRR17011021_1	1.3718544227596356	0.7244266242549458
SRR17011021_2	0.29637171693149217	0.8201837180611504
SRR17011022_1	1.1899762611943048	0.8965166110016776
SRR17011022_2	0.34823372493453586	1.115302083811093
SRR17011023_1	1.9571113549654022	1.0332328130715336
SRR17011023_2	0.28175107455354376	1.641650272747687
SRR17011024_1	1.28675883385894	0.4082085799155559
SRR17011024_2	0.27026372059425496	0.6994062850487117
SRR17011025_1	1.2842744574435465	0.4187033896696981
SRR17011025_2	0.1907792199577647	0.6554087770806685
SRR17011026_1	1.7596300657585262	0.6240629760961798
SRR17011026_2	0.41818985719285784	0.7784317530142398
SRR17011027_1	2.903159027262207	1.8917848041910883
SRR17011027_2	0.5013602577021814	2.9121155662442892
SRR17011028_1	1.5725767235668007	0.5083985577296268
SRR17011028_2	0.2574719222569424	1.047236013253832
SRR17011029_1	1.098991883477584	0.36177725949144857
SRR17011029_2	0.19634057249312575	0.5215852177831874
SRR17011030_1	1.0519717499399384	0.3292941701435954
SRR17011030_2	0.17879849874603723	0.2604377925882345
SRR17011031_1	1.3283461976932733	0.4197721350905519
SRR17011031_2	0.2154102230991831	0.6746309206452422
