Sample	Picard_mqc-generalstats-picard-TOTAL_READS	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR17010981._STARpass1					86.69	21235115.0						
SRR17010981_1							74.05015090069466	50.0	144.678090539498	151	40.0	24495254.0
SRR17010981_2							71.33012772790096	50.0	144.64862323942427	151	20.0	24495254.0
SRR17010982	46349836	1.0	309	977.205062	82.84	20294832.0						
SRR17010982._STARpass1					86.01	21072270.0						
SRR17010982_1							69.92668924059934	51.0	142.04967097996425	151	20.0	24498812.0
SRR17010982_2							66.75637693045735	51.0	142.14241237493476	151	10.0	24498812.0
SRR17010983	73085746	1.0	324	1095.289654	84.34	32569851.0						
SRR17010983._STARpass1					86.26	33311520.0						
SRR17010983_1							71.31060504318616	49.0	142.97272744128895	151	20.0	38615482.0
SRR17010983_2							67.42793753919405	50.0	142.87215464512394	151	10.0	38615482.0
SRR17010984	65527009	1.0	306	1060.521916	82.8	28713463.0						
SRR17010984._STARpass1					85.23	29557979.0						
SRR17010984_1							72.5029550988341	50.0	143.29869959513124	151	30.0	34678892.0
SRR17010984_2							68.13465644484278	50.0	143.217639017994	151	10.0	34678892.0
SRR17010985	78592142	1.0	514	1640.205273	80.98	33897184.0						
SRR17010985._STARpass1					85.36	35731469.0						
SRR17010985_1							71.95379842472212	49.0	145.64330445867097	151	40.0	41858729.0
SRR17010985_2							67.47400616947712	50.0	145.68499827120885	151	10.0	41858729.0
SRR17010986	50472363	1.0	259	837.09422	82.83	22104496.0						
SRR17010986._STARpass1					85.24	22747907.0						
SRR17010986_1							69.59704362285717	50.0	141.32392713754743	151	30.0	26686063.0
SRR17010986_2							65.12139539291938	51.0	141.2959397570185	151	10.0	26686063.0
SRR17010987	66585351	1.0	340	1130.333119	82.61	28874559.0						
SRR17010987._STARpass1					86.21	30133217.0						
SRR17010987_1							73.16679416943559	50.0	143.2343666381851	151	40.0	34952415.0
SRR17010987_2							69.15115876446839	50.0	143.13790234523137	151	10.0	34952415.0
SRR17010988	66160975	1.0	372	1216.078218	83.6	29185039.0						
SRR17010988._STARpass1					85.74	29931116.0						
SRR17010988_1							70.9371943571858	50.0	144.14491423743337	151	30.0	34909986.0
SRR17010988_2							67.60355369933059	50.0	144.19300231171675	151	10.0	34909986.0
SRR17010989	50529720	1.0	274	893.1586020000001	81.08	21717350.0						
SRR17010989._STARpass1					84.54	22644038.0						
SRR17010989_1							70.33966308504446	50.0	142.60293654343468	151	40.0	26786527.0
SRR17010989_2							66.15689399940526	50.0	142.54502575119201	151	10.0	26786527.0
SRR17010990	106789822	1.0	380	1236.531241	83.97	47290393.0						
SRR17010990._STARpass1					85.98	48422407.0						
SRR17010990_1							74.6107806939245	50.0	144.09675078216893	151	20.0	56318077.0
SRR17010990_2							71.53168693995256	50.0	144.13890539977066	151	10.0	56318077.0
SRR17010991	58017451	1.0	856	2188.38638	80.91	24800295.0						
SRR17010991._STARpass1					86.18	26416087.0						
SRR17010991_1							73.27646429516699	50.0	147.58290075487164	151	40.0	30652628.0
SRR17010991_2							68.68755710000548	51.0	147.5153730048856	151	20.0	30652628.0
SRR17010992	127511240	1.0	704	1714.521183	85.17	56957038.0						
SRR17010992._STARpass1					88.95	59486549.0						
SRR17010992_1							83.71088090514495	50.0	143.96480949900533	151	20.0	66878076.0
SRR17010992_2							80.22824306028366	50.0	143.95682296542142	151	10.0	66878076.0
SRR17010993	90138046	1.0	491	1366.9184	84.62	40183458.0						
SRR17010993._STARpass1					87.53	41563418.0						
SRR17010993_1							81.53513319065662	50.0	143.4048866132597	151	30.0	47486549.0
SRR17010993_2							77.58505517520106	50.0	143.42164877047603	151	10.0	47486549.0
SRR17010994	119659877	1.0	943	2388.678429	84.46	52871246.0						
SRR17010994._STARpass1					89.37	55942326.0						
SRR17010994_1							83.90585381565074	48.0	145.84966430036084	151	40.0	62599263.0
SRR17010994_2							79.2311242353073	48.0	145.78970418549497	151	10.0	62599263.0
SRR17010995	89470731	1.0	445	1403.819344	80.47	37830599.0						
SRR17010995._STARpass1					86.37	40608039.0						
SRR17010995_1							81.99345198029508	51.0	142.37252941353387	151	40.0	47014242.0
SRR17010995_2							77.33424864774085	51.0	142.57249843568678	151	20.0	47014242.0
SRR17010996	99977703	1.0	716	1804.2865539999998	82.54	44782085.0						
SRR17010996._STARpass1					85.37	46320007.0						
SRR17010996_1							85.39247270817103	49.0	143.7059933039995	151	40.0	54256567.0
SRR17010996_2							78.49016193612766	50.0	143.91086470693952	151	10.0	54256567.0
SRR17010997	103279174	1.0	679	1689.598539	84.75	45977393.0						
SRR17010997._STARpass1					88.43	47975142.0						
SRR17010997_1							83.81227436701234	50.0	144.00299472180006	151	40.0	54251450.0
SRR17010997_2							79.91020033505987	50.0	144.002378627668	151	10.0	54251450.0
SRR17010998	70020867	1.0	594	1570.556869	83.56	30584993.0						
SRR17010998._STARpass1					87.86	32159078.0						
SRR17010998_1							82.19207174922575	51.0	143.18021247125583	151	40.0	36601751.0
SRR17010998_2							78.61153151464049	51.0	143.21533781266365	151	20.0	36601751.0
SRR17010999	103855300	1.0	924	2179.203822	82.01	44795381.0						
SRR17010999._STARpass1					88.4	48287269.0						
SRR17010999_1							84.01341417566437	50.0	144.77147938461877	151	40.0	54623050.0
SRR17010999_2							79.91821549940066	50.0	144.74837192357438	151	10.0	54623050.0
SRR17011000	108058393	1.0	511	1472.3059479999997	80.41	45190278.0						
SRR17011000._STARpass1					85.4	47993348.0						
SRR17011000_1							85.36742096089203	51.0	144.14062184799215	151	40.0	56199297.0
SRR17011000_2							82.11148379623067	51.0	144.1486360763552	151	20.0	56199297.0
SRR17011001	52957080	1.0	281	936.415204	83.87	23258035.0						
SRR17011001._STARpass1					86.06	23867825.0						
SRR17011001_1							71.26031223806781	50.0	141.11048417365961	151	30.0	27732343.0
SRR17011001_2							67.85868680424193	50.0	141.17495694467647	151	10.0	27732343.0
SRR17011002	54911075	1.0	303	1020.048938	84.07	24207461.0						
SRR17011002._STARpass1					86.13	24798892.0						
SRR17011002_1							69.48795628049022	50.0	141.15429460954297	151	20.0	28793514.0
SRR17011002_2							66.0501733851168	50.0	141.18157485050278	151	10.0	28793514.0
SRR17011003	50370121	1.0	248	799.855348	82.35	21736397.0						
SRR17011003._STARpass1					84.81	22387392.0						
SRR17011003_1							68.7787002651344	50.0	141.2080269624093	151	30.0	26395564.0
SRR17011003_2							65.66397934902528	50.0	141.28304748479707	151	10.0	26395564.0
SRR17011004	48568336	1.0	291	937.6622050000001	83.52	21326476.0						
SRR17011004._STARpass1					85.87	21926259.0						
SRR17011004_1							69.73477324064336	50.0	141.94980477563593	151	30.0	25533186.0
SRR17011004_2							66.28558159782739	50.0	142.0180820756172	151	10.0	25533186.0
SRR17011005	64011747	1.0	316	1083.785333	84.32	28268156.0						
SRR17011005._STARpass1					86.34	28945422.0						
SRR17011005_1							72.04079794902744	50.0	142.03900183052582	151	30.0	33524247.0
SRR17011005_2							68.71740130395312	50.0	142.10883465928407	151	10.0	33524247.0
SRR17011006	58713105	1.0	568	1519.863514	84.82	25924845.0						
SRR17011006._STARpass1					88.59	27078508.0						
SRR17011006_1							75.66565454013038	50.0	143.2235400510016	151	40.0	30566102.0
SRR17011006_2							71.71948153269406	50.0	143.16046256078056	151	10.0	30566102.0
SRR17011007	77254005	1.0	344	1164.518123	85.09	34621021.0						
SRR17011007._STARpass1					87.14	35453754.0						
SRR17011007_1							72.16656493260948	50.0	142.42284551647785	151	30.0	40686294.0
SRR17011007_2							68.24889311355383	50.0	142.38446337727393	151	10.0	40686294.0
SRR17011008	53464311	1.0	446	1391.327157	85.32	23782669.0						
SRR17011008._STARpass1					88.47	24660742.0						
SRR17011008_1							73.45354134937209	51.0	142.0304645355744	151	40.0	27874313.0
SRR17011008_2							69.29058181231065	51.0	142.01365016601486	151	10.0	27874313.0
SRR17011009	54796718	1.0	454	1299.287036	85.27	24306030.0						
SRR17011009._STARpass1					88.67	25276672.0						
SRR17011009_1							72.95889649825833	51.0	141.29723420673662	151	40.0	28505999.0
SRR17011009_2							70.24105460164971	51.0	141.29000832421275	151	10.0	28505999.0
SRR17011010	73588854	1.0	471	1386.770981	85.26	32764632.0						
SRR17011010._STARpass1					87.89	33774793.0						
SRR17011010_1							76.8240136169442	50.0	142.65367789300606	151	30.0	38429802.0
SRR17011010_2							73.08786624274478	50.0	142.59029913815326	151	10.0	38429802.0
SRR17011011	119426541	1.0	407	1317.154731	81.79	52822538.0						
SRR17011011._STARpass1					84.31	54450772.0						
SRR17011011_1							71.39229708410926	50.0	146.1681782853683	151	40.0	64581542.0
SRR17011011_2							68.16862778056341	50.0	146.06353555323903	151	10.0	64581542.0
SRR17011012	79803952	1.0	722	1997.672056	73.54	31881517.0						
SRR17011012._STARpass1					83.35	36136118.0						
SRR17011012_1							70.83982783093543	51.0	147.71717466418292	151	40.0	43355002.0
SRR17011012_2							67.66497534198729	51.0	147.55827911160054	151	40.0	43355002.0
SRR17011013	99316968	1.0	738	2089.92524	75.84	41499734.0						
SRR17011013._STARpass1					83.69	45795689.0						
SRR17011013_1							70.90915266794788	50.0	148.04382942108586	151	40.0	54717994.0
SRR17011013_2							67.33378331541188	50.0	147.8845610641355	151	20.0	54717994.0
SRR17011014	77460514	1.0	511	1480.365494	79.25	33349013.0						
SRR17011014._STARpass1					84.13	35403955.0						
SRR17011014_1							66.10404248881653	50.0	145.95684493171612	151	40.0	42081384.0
SRR17011014_2							62.992995100266036	50.0	145.84107930005345	151	10.0	42081384.0
SRR17011015	85296316	1.0	677	1955.666678	78.26	35708874.0						
SRR17011015._STARpass1					86.18	39321956.0						
SRR17011015_1							71.23710373323945	50.0	146.84174811910688	151	40.0	45628058.0
SRR17011015_2							68.02642493595124	50.0	146.70064629969568	151	30.0	45628058.0
SRR17011016	127661695	1.0	660	1672.902519	82.79	56810191.0						
SRR17011016._STARpass1					86.56	59395542.0						
SRR17011016_1							72.9378996399264	51.0	146.35672438504304	151	40.0	68616795.0
SRR17011016_2							69.6350292037003	51.0	146.25507792953604	151	10.0	68616795.0
SRR17011017	51028397	1.0	329	1056.576279	76.48	21147648.0						
SRR17011017._STARpass1					80.87	22361752.0						
SRR17011017_1							66.28206118144988	51.0	145.77042242895692	151	40.0	27650898.0
SRR17011017_2							63.022279518962655	52.0	145.67607883837985	151	10.0	27650898.0
SRR17011018	104403579	1.0	410	1300.181773	83.59	46106021.0						
SRR17011018._STARpass1					86.42	47669909.0						
SRR17011018_1							72.31934602460956	50.0	146.10627426123176	151	40.0	55160534.0
SRR17011018_2							70.4364116933872	50.0	146.01862365944464	151	10.0	55160534.0
SRR17011019	54197306	1.0	473	1405.590961	79.28	22365799.0						
SRR17011019._STARpass1					86.43	24382135.0						
SRR17011019_1							74.1412328295827	50.0	143.3951182488802	151	40.0	28210246.0
SRR17011019_2							70.75813076231779	51.0	143.4168508137079	151	20.0	28210246.0
SRR17011020	77929181	1.0	576	1692.169559	77.9	31940390.0						
SRR17011020._STARpass1					86.94	35643721.0						
SRR17011020_1							74.82068380276488	50.0	145.36223827525228	151	40.0	40999944.0
SRR17011020_2							71.63622309789278	50.0	145.310291716496	151	30.0	40999944.0
SRR17011021	51642660	1.0	402	1294.62795	83.11	22365823.0						
SRR17011021._STARpass1					86.52	23283017.0						
SRR17011021_1							72.85289425983517	50.0	142.38127629055992	151	40.0	26910800.0
SRR17011021_2							69.88156381997453	51.0	142.44338310269484	151	10.0	26910800.0
SRR17011022	53048921	1.0	629	1621.334352	84.99	23515089.0						
SRR17011022._STARpass1					88.6	24513480.0						
SRR17011022_1							74.08378059619571	51.0	143.58260373217644	151	40.0	27668199.0
SRR17011022_2							70.60136921065333	51.0	143.60927633923697	151	10.0	27668199.0
SRR17011023	50603742	1.0	448	1447.113405	83.13	22085439.0						
SRR17011023._STARpass1					87.36	23210347.0						
SRR17011023_1							75.60881311938323	50.0	141.77453135147397	151	40.0	26567778.0
SRR17011023_2							71.6321656593118	50.0	141.88384286408896	151	10.0	26567778.0
SRR17011024	114258096	1.0	410	1220.809331	80.8	49043870.0						
SRR17011024._STARpass1					84.08	51038960.0						
SRR17011024_1							74.69151710657974	51.0	145.41766852677154	151	40.0	60700341.0
SRR17011024_2							72.80864184766253	51.0	145.33682123795649	151	10.0	60700341.0
SRR17011025	66174684	1.0	421	1286.314309	82.93	29107124.0						
SRR17011025._STARpass1					86.5	30359055.0						
SRR17011025_1							68.09069982522985	51.0	145.66331007801722	151	40.0	35097638.0
SRR17011025_2							66.2844542551172	51.0	145.6362547246057	151	10.0	35097638.0
SRR17011026	123120730	1.0	652	1516.72173	80.37	54043009.0						
SRR17011026._STARpass1					84.14	56579156.0						
SRR17011026_1							75.32575708763629	53.0	145.55795846032206	151	30.0	67244816.0
SRR17011026_2							72.64257405268022	53.0	145.41857827375125	151	10.0	67244816.0
SRR17011027	78997389	1.0	817	1898.812775	82.98	34253360.0						
SRR17011027._STARpass1					89.08	36770963.0						
SRR17011027_1							74.82404718877655	50.0	146.19606130323336	151	40.0	41277105.0
SRR17011027_2							73.0655149414812	50.0	146.0978079736939	151	20.0	41277105.0
SRR17011028	133673114	1.0	451	1353.485725	83.12	58936613.0						
SRR17011028._STARpass1					86.47	61313463.0						
SRR17011028_1							75.02725594454759	50.0	145.88288772637299	151	40.0	70905984.0
SRR17011028_2							73.05854738996766	50.0	145.8045817966506	151	10.0	70905984.0
SRR17011029	96745862	1.0	284	899.863031	79.64	41203842.0						
SRR17011029._STARpass1					82.34	42599795.0						
SRR17011029_1							71.22585518498715	51.0	145.12186736940725	151	40.0	51734595.0
SRR17011029_2							68.92236539367818	51.0	145.11315859339385	151	10.0	51734595.0
SRR17011030	92056039	1.0	297	911.348859	78.15	38031266.0						
SRR17011030._STARpass1					80.72	39285416.0						
SRR17011030_1							71.80562652984071	51.0	145.49189037900308	151	40.0	48666516.0
SRR17011030_2							70.08558025580297	51.0	145.44371452437647	151	10.0	48666516.0
SRR17011031	136449670	1.0	378	1244.80683	81.52	58883974.0						
SRR17011031._STARpass1					84.25	60850700.0						
SRR17011031_1							74.37836914125059	50.0	146.03727875999294	151	40.0	72228234.0
SRR17011031_2							72.51852326407797	50.0	145.9631772666628	151	10.0	72228234.0
