Sample	TOTAL_READS	PF_READS	READ_LENGTH	TOTAL_BASES	PF_BASES	Q20_BASES	PF_Q20_BASES	Q30_BASES	PF_Q30_BASES	Q20_EQUIVALENT_YIELD	PF_Q20_EQUIVALENT_YIELD
SRR17011013	99316968	99316968	147	14695128985	14695128985	13118924879	13118924879	12267507441	12267507441	23788175788	23788175788
SRR17011014	77460514	77460514	145	11292748184	11292748184	10064167406	10064167406	9402890962	9402890962	18250574196	18250574196
SRR17011015	85296316	85296316	146	12513852433	12513852433	11283957468	11283957468	10591357637	10591357637	20405996429	20405996429
SRR17011016	127661695	127661695	146	18670419716	18670419716	16886780983	16886780983	15874791209	15874791209	30519138475	30519138475
SRR17011017	51028397	51028397	145	7434352292	7434352292	6731841394	6731841394	6333187287	6333187287	12163763145	12163763145
SRR17011018	104403579	104403579	146	15245543042	15245543042	14178305104	14178305104	13430690950	13430690950	25438143381	25438143381
SRR17011019	54197306	54197306	143	7767016741	7767016741	7379924601	7379924601	7053856284	7053856284	13186805739	13186805739
SRR17011020	77929181	77929181	145	11321898149	11321898149	10690919633	10690919633	10177682751	10177682751	19118389584	19118389584
SRR17011021	51642660	51642660	142	7352355674	7352355674	7050445976	7050445976	6701794622	6701794622	12519256162	12519256162
SRR17011022	53048921	53048921	143	7610941177	7610941177	7212843360	7212843360	6884627995	6884627995	12895013275	12895013275
SRR17011023	50603742	50603742	141	7172432013	7172432013	6861955089	6861955089	6514448428	6514448428	12189417982	12189417982
SRR17011024	114258096	114258096	145	16601365830	16601365830	15446054610	15446054610	14637071764	14637071764	27711291612	27711291612
SRR17011025	66174684	66174684	145	9636329152	9636329152	8973205645	8973205645	8505994090	8505994090	16095538421	16095538421
SRR17011026	123120730	123120730	145	17892020721	17892020721	16107671819	16107671819	15125475743	15125475743	29154613758	29154613758
SRR17011027	78997389	78997389	146	11543154898	11543154898	10770810366	10770810366	10212421373	10212421373	19305089822	19305089822
SRR17011028	133673114	133673114	145	19486367297	19486367297	18154813943	18154813943	17206644317	17206644317	32554153054	32554153054
SRR17011029	96745862	96745862	145	14034141302	14034141302	12908260770	12908260770	12174039602	12174039602	23220303817	23220303817
SRR17011030	92056039	92056039	145	13387047123	13387047123	12444207510	12444207510	11784413200	11784413200	22326202583	22326202583
SRR17011031	136449670	136449670	145	19917992240	19917992240	18492418374	18492418374	17506797560	17506797560	33192263476	33192263476
