Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
SRR17011003_FR	SRR17011003	484.0	133.0	371.0	24.0	3198735.0	799.855348	1010.570159	25184735.0	FR	385.0	551.0	637.0	693.0	743.0	1317.0	3465.0	7595.0	21579.0	70899.0	164999.0			
SRR17011004_FR	SRR17011004	562.0	134.0	442.0	27.0	2735702.0	937.662205	1178.616794	24283839.0	FR	439.0	659.0	767.0	833.0	885.0	1273.0	3297.0	7215.0	19571.0	57181.0	154625.0			
SRR17011005_FR	SRR17011005	643.0	134.0	522.0	23.0	3436003.0	1083.785333	1383.01536	32005469.0	FR	523.0	801.0	921.0	991.0	1045.0	1427.0	3653.0	7965.0	21293.0	57227.0	161667.0			
SRR17011006_FR	SRR17011006	932.0	136.0	796.0	26.0	3198624.0	1519.863514	1958.725394	29354137.0	FR	599.0	1119.0	1395.0	1523.0	1593.0	1679.0	3977.0	9071.0	27473.0	116331.0	153761.0			
SRR17011007_FR	SRR17011007	693.0	133.0	569.0	23.0	3178044.0	1164.518123	1492.393866	38623794.0	FR	549.0	873.0	1009.0	1085.0	1139.0	1473.0	3779.0	8261.0	22267.0	61069.0	169061.0			
SRR17011008_FR	SRR17011008	834.0	123.0	708.0	26.0	2068786.0	1391.327157	1801.692708	26729964.0	FR	609.0	1069.0	1265.0	1359.0	1417.0	1601.0	4133.0	9183.0	26633.0	88813.0	153955.0			
SRR17011009_FR	SRR17011009	788.0	124.0	661.0	24.0	2360144.0	1299.287036	1665.778959	27396131.0	FR	533.0	967.0	1171.0	1265.0	1323.0	1427.0	3591.0	8063.0	23641.0	84385.0	154037.0			
SRR17011010_FR	SRR17011010	832.0	133.0	702.0	24.0	3119922.0	1386.770981	1779.737181	36791458.0	FR	589.0	1043.0	1251.0	1345.0	1405.0	1515.0	3811.0	8427.0	23011.0	63097.0	153961.0			
SRR17011011_FR	SRR17011011	786.0	153.0	646.0	25.0	1919249.0	1317.154731	1682.308798	59713217.0	FR	589.0	969.0	1125.0	1221.0	1293.0	1559.0	4053.0	9071.0	24849.0	72265.0	196135.0			
SRR17011012_FR	SRR17011012	1344.0	77797.0	1172.0	25.0	2068590.0	1997.672056	2685.747689	39901933.0	FR	853.0	1609.0	2027.0	2223.0	2345.0	2471.0	5871.0	16303.0	152845.0	152907.0	153167.0			
SRR17011013_FR	SRR17011013	1357.0	77797.0	1184.0	24.0	2065747.0	2089.92524	2791.293774	49658429.0	FR	877.0	1663.0	2059.0	2249.0	2369.0	2497.0	6041.0	15509.0	98019.0	152879.0	266935.0			
SRR17011014_FR	SRR17011014	909.0	77797.0	765.0	25.0	2067269.0	1480.365494	1900.37777	38730215.0	FR	625.0	1133.0	1345.0	1455.0	1531.0	1645.0	4127.0	9311.0	30335.0	153675.0	153801.0			
SRR17011015_FR	SRR17011015	1267.0	77797.0	1108.0	22.0	1919308.0	1955.666678	2615.51138	42648125.0	FR	835.0	1575.0	1939.0	2109.0	2217.0	2333.0	5651.0	14245.0	84581.0	153057.0	161651.0			
SRR17011016_FR	SRR17011016	1021.0	153.0	867.0	24.0	2735344.0	1672.902519	2118.330545	63830770.0	FR	629.0	1195.0	1501.0	1643.0	1735.0	1831.0	4053.0	8959.0	25411.0	86303.0	153577.0			
SRR17011017_FR	SRR17011017	652.0	148.0	517.0	28.0	2343060.0	1056.576279	1351.91741	25514171.0	FR	501.0	759.0	885.0	967.0	1035.0	1391.0	3831.0	9067.0	34751.0	154237.0	251277.0			
SRR17011018_FR	SRR17011018	779.0	153.0	638.0	24.0	3320585.0	1300.181773	1650.161087	52201782.0	FR	577.0	951.0	1107.0	1205.0	1277.0	1529.0	3921.0	8715.0	24397.0	75051.0	168983.0			
SRR17011019_FR	SRR17011019	889.0	77800.0	755.0	26.0	2815055.0	1405.590961	1846.343931	27098176.0	FR	603.0	1101.0	1333.0	1443.0	1511.0	1615.0	4259.0	10323.0	52929.0	153771.0	267801.0			
SRR17011020_FR	SRR17011020	1119.0	77800.0	973.0	24.0	3678281.0	1692.169559	2264.088565	38963850.0	FR	757.0	1393.0	1701.0	1855.0	1947.0	2043.0	5059.0	13311.0	153181.0	153363.0	267427.0			
SRR17011021_FR	SRR17011021	778.0	133.0	652.0	24.0	2815032.0	1294.62795	1676.5047	25820995.0	FR	579.0	987.0	1159.0	1247.0	1305.0	1523.0	3943.0	8965.0	26379.0	100335.0	166211.0			
SRR17011022_FR	SRR17011022	988.0	134.0	849.0	24.0	4235684.0	1621.334352	2072.887667	26523998.0	FR	619.0	1175.0	1481.0	1621.0	1699.0	1781.0	4017.0	8863.0	25827.0	110497.0	153647.0			
SRR17011023_FR	SRR17011023	874.0	124.0	749.0	24.0	2816900.0	1447.113405	1898.571759	25301527.0	FR	653.0	1143.0	1343.0	1439.0	1499.0	1667.0	4377.0	9901.0	31867.0	153665.0	153877.0			
SRR17011024_FR	SRR17011024	738.0	153.0	599.0	25.0	3119908.0	1220.809331	1531.00349	57129045.0	FR	527.0	879.0	1037.0	1131.0	1199.0	1343.0	3427.0	7603.0	21441.0	76197.0	154135.0			
SRR17011025_FR	SRR17011025	770.0	151.0	630.0	27.0	3177799.0	1286.314309	1622.37609	33087337.0	FR	551.0	929.0	1093.0	1191.0	1261.0	1435.0	3711.0	8115.0	22845.0	73803.0	163019.0			
SRR17011026_FR	SRR17011026	951.0	77797.0	799.0	24.0	3127648.0	1516.72173	1899.468137	61560301.0	FR	531.0	1037.0	1353.0	1507.0	1599.0	1681.0	3379.0	7537.0	22819.0	97997.0	226845.0			
SRR17011027_FR	SRR17011027	1195.0	77797.0	1029.0	26.0	3120257.0	1898.812775	2409.312227	39498692.0	FR	657.0	1275.0	1733.0	1939.0	2059.0	2155.0	4253.0	9647.0	33323.0	153137.0	153225.0			
SRR17011028_FR	SRR17011028	813.0	151.0	671.0	24.0	3186272.0	1353.485725	1711.055967	66836549.0	FR	577.0	991.0	1165.0	1267.0	1343.0	1497.0	3807.0	8365.0	23433.0	80293.0	153991.0			
SRR17011029_FR	SRR17011029	547.0	153.0	419.0	26.0	3029298.0	899.863031	1122.830026	48372922.0	FR	431.0	617.0	715.0	781.0	839.0	1363.0	3523.0	7803.0	21781.0	67715.0	169331.0			
SRR17011030_FR	SRR17011030	556.0	153.0	427.0	26.0	3119896.0	911.348859	1136.375197	46028009.0	FR	421.0	613.0	719.0	791.0	855.0	1353.0	3549.0	7997.0	22667.0	65231.0	163021.0			
SRR17011031_FR	SRR17011031	747.0	153.0	609.0	24.0	3108776.0	1244.80683	1588.134353	68224820.0	FR	579.0	911.0	1057.0	1147.0	1219.0	1565.0	4045.0	9075.0	25689.0	82275.0	166699.0			
